Depth	d18O
6.69	4.13
6.7	4.17
6.71	4.24
6.72	4.08
6.73	4.26
6.74	4.33
6.75	4.28
6.76	4.27
6.77	4.28
6.78	4.29
6.8	4.24
6.81	4.4
6.82	4.24
6.83	4.28
6.84	4.2
6.85	4.26
6.87	4.2
6.88	4.34
6.89	4.47
6.9	4.24
6.91	4.26
6.92	4.3
6.93	4.28
6.94	4.43
6.95	4.33
6.96	4.37
6.97	4.3
6.98	4.3
6.99	4.34
7.0	4.31
7.01	4.3
7.02	4.28
7.03	4.32
7.04	4.39
7.05	4.37
7.06	4.48
7.07	4.33
7.08	4.34
7.1	4.36
7.11	4.41
7.12	4.32
7.13	4.43
7.14	4.4
7.15	4.38
7.16	4.39
7.17	4.41
7.18	4.4
7.2	4.34
7.21	4.32
7.22	4.34
7.23	4.28
7.24	4.29
7.25	4.3
7.26	4.24
7.27	4.27
7.28	4.26
7.29	4.23
7.3	4.17
7.31	4.07
7.32	4.18
7.33	4.14
7.36	4.12
7.37	4.04
7.38	4.08
7.4	4.03
7.41	3.9
7.42	3.15
7.43	3.65
7.46	3.71
7.47	4.03
7.48	4.03
7.49	3.82
7.54	3.36
7.55	3.42
7.56	3.36
7.57	3.34
7.58	3.7
7.59	3.36
7.62	3.48
7.64	3.29
7.65	3.62
7.66	3.62
7.67	3.48
7.68	3.07
7.69	3.48
7.71	3.43
7.72	3.67
7.73	3.53
7.74	3.54
7.76	3.6
7.77	4.5
7.78	4.08
7.79	3.71
7.8	3.95
7.81	3.74
7.82	3.82
7.83	3.85
7.84	3.6
7.85	3.46
7.86	3.64
7.87	3.61
7.88	3.98
7.89	4.31
7.9	4.08
7.91	3.84
7.92	4.02
7.93	3.75
7.94	4.09
7.95	4.44
7.96	4.25
7.97	4.29
7.98	4.48
8.0	4.48
8.01	4.65
8.02	4.75
8.03	4.82
8.04	4.77
8.05	4.62
8.06	4.77
8.07	5.14
8.08	5.1
8.09	4.94
8.1	4.82
8.11	4.79
8.12	4.98
8.14	5.0
8.15	5.16
8.16	5.28
8.17	5.42
8.18	5.1
8.19	5.14
8.2	5.14
8.21	5.04
8.22	5.19
8.23	5.56
8.24	4.9
8.25	5.15
8.26	5.19
8.27	4.87
8.28	5.18
8.29	5.0
8.3	5.11
8.31	5.41
8.32	5.16
8.33	5.07
8.34	5.14
8.35	5.1
8.36	5.14
8.37	5.04
8.38	5.16
8.4	5.09
8.41	5.4
8.42	5.18
8.43	5.15
8.44	5.5
8.45	5.44
8.46	5.25
8.47	5.02
8.48	5.18
8.5	5.13
8.6	5.06
8.7	4.99
8.8	4.97
8.9	4.95
9.0	4.92
9.1	4.83
9.2	4.94
9.3	4.76
9.4	4.94
9.5	4.93
9.6	4.94
9.7	4.87
9.8	4.78
9.9	4.71
10.0	4.72
10.1	4.58
10.2	4.5
10.3	4.55
10.4	4.56
10.5	4.61
10.6	4.71
10.7	4.7
10.8	4.6
10.9	4.43
11.0	4.25
11.1	4.16
11.2	4.11
11.3	3.85
11.5	4.01
