Depth	d18O
0.01	3.37
0.04	3.45
0.06	3.2
0.09	3.42
0.1	3.41
0.11	3.32
0.14	3.41
0.16	3.46
0.19	3.71
0.2	3.38
0.21	3.4
0.26	3.38
0.31	3.35
0.34	3.33
0.35	3.41
0.36	3.73
0.39	3.19
0.4	3.99
0.41	3.32
0.44	3.78
0.45	3.43
0.47	4.02
0.67	4.61
0.72	4.62
0.77	4.67
0.82	4.65
0.86	4.34
0.87	4.36
0.92	4.58
0.97	4.7
1.02	4.68
1.07	4.71
1.11	4.79
1.15	4.82
1.22	4.64
1.27	4.49
1.32	4.37
1.36	4.63
1.47	4.48
1.52	4.46
1.57	4.56
1.62	4.41
1.67	4.56
1.7	4.58
1.71	4.42
1.72	4.12
1.77	4.31
1.82	4.41
1.87	4.2
1.92	4.26
1.97	4.36
2.07	4.41
2.12	4.56
2.17	4.43
2.22	4.37
2.27	4.23
2.32	4.37
2.37	4.29
2.4	4.12
2.45	4.13
2.5	4.28
2.55	4.04
2.6	4.05
2.63	4.28
2.64	4.09
2.65	4.31
2.68	4.02
2.7	3.76
2.73	3.96
2.75	3.85
2.8	4.13
2.85	4.01
2.88	4.18
2.92	3.83
2.95	4.0
2.97	4.12
