Depth	d18O
15.88	4.2
15.9	4.18
15.92	4.76
15.94	3.99
15.96	4.38
15.98	4.35
16.0	3.97
16.02	4.39
16.04	4.29
16.06	4.87
16.08	4.36
16.1	4.29
16.12	4.2
16.14	4.31
16.16	4.33
16.18	4.27
16.22	4.12
16.22	4.24
16.24	4.28
16.26	4.22
16.28	4.05
16.3	4.13
16.32	4.25
16.34	3.62
16.36	4.18
16.38	4.16
16.4	4.16
16.42	4.11
16.44	4.15
16.46	4.08
16.48	4.04
16.5	4.09
16.52	4.16
16.54	4.09
16.56	4.23
16.58	4.02
16.6	3.82
16.62	4.02
16.64	4.08
16.66	4.11
16.68	4.27
16.7	3.73
16.72	3.86
16.74	3.89
16.76	3.93
16.78	3.87
16.8	4.01
16.82	3.65
16.84	3.92
16.86	3.78
16.88	4.15
16.9	3.77
16.92	4.05
16.94	3.98
16.96	4.17
16.98	4.0
17.0	4.12
17.02	3.79
17.04	4.1
17.06	3.9
17.08	3.9
17.08	4.04
17.1	3.9
17.12	3.87
17.14	3.78
17.16	3.92
17.18	3.65
17.2	3.82
17.22	3.75
17.24	3.85
17.26	3.68
17.26	3.61
17.28	2.85
17.28	3.66
17.3	3.55
17.32	3.51
17.34	3.45
17.36	3.26
17.38	3.65
17.4	3.37
17.44	3.69
17.46	3.57
17.46	3.49
17.48	3.38
17.5	3.46
17.52	3.55
17.54	3.56
17.56	3.69
17.58	3.39
17.6	3.38
17.62	3.34
17.64	3.47
17.66	3.4
17.68	3.58
17.7	3.62
17.72	3.37
17.72	3.42
17.74	3.68
17.74	3.67
17.76	3.85
17.78	3.65
17.78	3.61
17.8	3.66
17.8	3.61
17.82	3.52
17.84	3.69
17.86	3.35
17.88	3.47
17.9	3.21
17.92	3.31
17.94	3.27
17.94	3.19
17.96	3.35
17.98	3.11
18.0	3.26
18.02	3.13
18.04	2.92
18.06	2.96
18.08	3.08
18.1	2.95
18.14	2.82
18.14	3.08
18.16	2.93
18.18	2.85
18.2	2.83
18.22	2.78
18.24	2.8
18.26	2.69
18.28	2.8
18.3	2.7
18.32	2.77
18.34	2.63
18.36	2.75
18.38	2.74
18.4	2.75
18.42	2.61
18.44	2.79
18.46	2.71
18.48	2.68
18.5	2.61
18.52	2.82
18.54	2.75
18.56	2.77
18.58	2.82
18.6	2.91
18.62	2.65
18.64	2.9
18.66	2.86
18.68	2.92
18.7	2.85
18.72	2.95
18.74	2.9
18.76	2.98
18.78	2.84
18.8	3.0
18.82	2.7
18.84	3.04
18.86	3.03
18.88	3.11
18.9	2.95
18.92	3.04
18.94	2.89
18.94	2.94
18.96	2.95
18.96	3.18
18.98	3.11
18.98	2.84
19.0	2.9
19.0	3.34
19.02	2.97
19.02	3.18
19.04	3.14
19.04	2.99
19.06	3.45
19.06	3.02
19.08	3.03
19.08	3.26
19.1	3.14
19.1	2.91
19.12	3.14
19.12	3.16
19.14	3.24
19.14	3.31
19.16	3.19
19.16	3.08
19.18	3.33
19.18	3.3
19.2	3.17
19.2	3.35
19.22	3.52
19.22	3.35
19.22	3.52
19.24	3.33
19.24	3.24
19.26	3.25
19.26	3.26
19.28	3.06
19.3	3.45
19.32	3.45
19.34	3.45
19.36	3.18
19.38	3.68
19.4	4.03
19.4	3.9
19.4	4.42
19.42	3.73
19.42	2.13
19.44	3.42
19.46	3.92
19.48	4.87
19.5	4.74
19.52	4.71
19.54	4.91
19.56	4.49
19.58	4.79
19.6	3.52
19.62	3.91
19.64	4.96
19.66	4.93
19.66	4.82
19.68	4.88
19.7	4.83
19.72	4.91
19.74	4.94
19.74	4.72
19.76	4.88
19.78	4.99
19.78	4.58
19.8	4.75
19.82	4.93
19.84	4.84
19.86	4.9
19.88	4.56
19.9	4.8
19.94	4.74
19.96	4.73
19.98	4.75
20.0	4.1
20.02	4.82
20.04	4.91
20.06	4.84
20.08	4.88
20.1	4.85
20.12	3.66
20.12	3.2
20.14	4.78
20.16	4.62
20.18	4.78
20.2	4.15
20.22	4.82
20.24	4.73
20.26	4.84
20.28	4.39
20.3	4.25
20.32	4.69
20.34	4.71
20.36	4.39
20.38	3.58
20.4	4.57
20.42	4.74
20.44	3.71
20.46	4.2
20.48	4.56
20.5	4.54
20.52	4.6
20.54	4.62
20.56	4.37
20.58	4.67
20.6	4.56
20.62	4.53
20.62	4.6
20.64	4.56
20.66	4.6
20.68	4.52
20.7	4.63
20.72	4.33
20.74	4.62
20.76	4.49
20.78	4.54
20.8	4.49
20.82	4.55
20.82	4.49
20.82	4.46
20.84	4.42
20.86	4.53
20.88	4.0
20.88	4.47
20.88	4.67
20.9	4.46
20.92	4.24
20.94	4.48
20.96	4.35
20.96	4.25
20.96	4.24
20.98	4.47
20.98	4.33
20.98	4.32
21.0	4.37
21.02	4.45
21.04	4.28
21.04	4.29
21.06	3.41
21.08	4.31
21.08	4.23
21.1	3.31
21.12	4.34
21.14	4.28
21.16	4.22
21.18	4.29
21.2	4.13
21.22	4.3
21.24	4.32
21.26	3.88
21.28	4.29
21.3	4.35
21.3	4.02
21.3	4.52
21.32	4.2
21.34	4.41
21.36	4.13
21.38	4.49
21.4	4.25
21.42	4.38
21.44	4.28
21.46	4.38
21.48	4.32
21.48	4.0
21.48	4.08
21.5	4.28
21.52	4.37
21.54	4.2
21.56	4.25
21.58	4.39
21.6	4.28
21.62	4.34
21.64	4.16
21.66	4.33
21.68	4.22
21.7	4.37
21.72	4.14
21.74	4.39
21.76	4.18
21.78	4.37
21.8	4.07
21.82	4.36
21.84	4.06
21.86	4.31
21.88	4.22
21.9	4.41
21.92	4.05
21.94	4.3
21.96	4.05
21.98	4.24
22.0	4.24
