depth(m)	initial_age(kiloyear)
3.98	100.22
4.0	100.77
4.02	101.32
4.04	101.87
4.06	102.42
4.08	102.97
4.1	103.51
4.12	104.06
4.14	104.61
4.16	105.16
4.18	105.71
4.2	106.26
4.22	106.81
4.24	107.35
4.26	107.9
4.28	108.45
4.3	109.0
4.38	111.19
4.44	112.84
4.46	113.39
4.48	113.94
4.5	114.49
4.52	115.04
4.54	115.58
4.56	116.13
4.58	116.68
4.6	117.23
4.62	117.78
4.64	118.33
4.66	118.88
4.68	119.42
4.7	119.97
4.72	120.52
4.74	121.07
4.76	121.62
4.78	122.17
4.8	122.72
4.82	123.27
4.84	123.81
4.86	124.36
4.88	124.91
4.9	125.46
4.92	126.01
4.94	126.56
4.96	127.11
4.98	127.65
5.0	128.2
5.02	128.75
5.04	129.3
5.06	129.82
5.08	130.3
5.1	130.79
5.12	131.28
5.14	131.77
5.16	132.25
5.18	132.74
5.2	133.23
5.22	133.72
5.24	134.21
5.26	134.65
5.28	135.09
5.3	135.53
5.34	136.41
5.36	136.85
5.38	137.28
5.4	137.72
5.42	138.16
5.44	138.6
5.46	139.04
5.48	139.48
5.5	139.92
5.52	140.36
5.54	140.8
5.56	141.23
5.58	141.67
5.6	142.11
5.62	142.55
5.64	142.99
5.66	143.43
5.68	143.87
5.7	144.31
5.72	144.75
5.74	145.19
5.8	146.5
5.9	149.06
6.0	151.81
6.1	154.55
6.2	157.29
6.3	160.04
6.4	162.78
6.5	165.52
6.65	169.64
6.8	173.75
6.9	176.5
7.1	181.98
7.2	184.73
7.3	187.47
7.5	192.96
7.6	195.7
7.7	198.52
7.8	201.45
7.9	204.37
8.0	207.3
8.1	210.52
8.2	214.18
8.3	217.83
8.4	222.39
8.6	231.54
8.7	236.11
8.8	240.68
8.9	245.25
9.0	249.83
9.1	253.57
9.2	257.23
9.3	260.18
9.4	263.11
9.5	266.03
9.6	268.96
9.7	271.88
9.8	275.05
9.9	278.71
10.0	282.37
10.1	286.03
10.2	289.69
10.3	294.1
10.4	298.67
