depth(m)	initial_age(kiloyear)
23.23	100.14
23.27	100.5
23.3	100.77
23.33	101.04
23.37	101.39
23.4	101.66
23.44	102.02
23.48	102.38
23.5	102.56
23.52	102.74
23.56	103.09
23.6	103.45
23.64	103.81
23.68	104.17
23.7	104.35
23.72	104.53
23.76	104.88
23.8	105.24
23.84	105.6
23.88	105.96
23.92	106.32
23.96	106.67
24.04	107.39
24.08	107.75
24.12	108.11
24.16	108.46
24.2	108.83
24.24	109.26
24.28	109.68
24.32	110.12
24.36	110.66
24.4	111.2
24.44	111.73
24.48	112.27
24.52	112.81
24.56	113.34
24.6	113.88
24.64	114.42
24.68	114.96
24.72	115.49
24.76	116.03
24.79	116.43
24.84	117.1
24.88	117.64
24.92	118.18
24.96	118.71
25.0	119.25
25.04	119.77
25.08	120.2
25.12	120.62
25.16	121.05
25.2	121.48
25.24	121.91
25.28	122.33
25.32	122.68
25.36	123.04
25.4	123.4
25.44	123.76
25.48	124.12
25.52	124.47
25.56	124.83
25.6	125.19
25.64	125.55
25.68	125.91
25.72	126.26
25.76	126.62
25.8	126.98
25.84	127.34
25.88	127.7
25.92	128.05
25.96	128.41
26.0	128.77
26.04	129.13
26.08	129.48
26.12	129.84
26.16	130.2
26.2	130.56
26.24	130.92
26.28	131.27
26.32	131.63
26.36	131.99
26.4	132.35
26.44	132.71
26.48	133.06
26.52	133.42
26.56	133.78
26.6	134.14
26.63	134.41
26.67	134.76
26.7	135.03
26.73	135.3
26.77	135.66
26.8	135.93
26.83	136.2
26.87	136.55
26.9	136.82
26.93	137.09
26.97	137.45
27.0	137.72
27.03	137.99
27.07	138.34
27.1	138.61
27.13	138.88
27.17	139.24
27.2	139.51
27.24	139.87
27.26	140.04
27.28	140.22
27.32	140.58
27.4	141.3
27.44	141.65
27.48	142.01
27.52	142.37
27.56	142.73
27.6	143.09
27.64	143.44
27.68	143.8
27.8	144.88
28.0	146.67
28.2	148.39
28.4	149.98
28.6	151.41
28.8	152.84
29.0	154.27
29.2	155.7
29.4	157.14
29.6	158.57
29.8	160.0
