Depth	d18O
160.24	3.72
160.34	3.7
160.44	3.76
160.54	3.86
160.64	4.04
160.74	4.04
160.785	4.13
160.885	4.08
160.985	4.12
161.085	4.04
161.185	4.04
161.285	3.88
161.385	3.9
161.485	4.04
161.585	3.95
161.685	3.68
161.785	3.77
161.885	3.58
161.985	3.54
162.085	3.34
162.185	3.41
162.285	3.23
162.385	3.21
162.485	3.24
162.585	3.26
162.685	3.25
162.785	3.16
162.885	3.2
162.985	3.24
163.185	3.35
163.285	3.64
163.385	3.86
163.485	4.08
163.585	4.19
163.685	4.14
163.785	4.31
163.885	4.24
163.985	4.11
164.085	4.04
164.185	3.98
164.285	3.69
164.385	3.65
164.585	3.53
164.685	3.43
164.785	3.3
164.885	3.41
164.985	3.12
165.085	3.4
165.185	3.35
165.285	3.18
165.385	3.29
165.485	3.33
165.585	3.35
165.685	3.35
165.785	3.8
165.99	4.24
166.09	4.22
166.19	4.16
166.29	4.17
166.39	3.97
166.49	4.17
166.62	4.16
166.69	4.09
166.785	4.02
166.885	3.8
166.985	3.63
167.085	3.51
167.185	3.63
167.285	3.65
167.385	3.89
167.485	3.9
167.585	4.12
167.685	4.11
167.885	4.22
167.985	4.22
168.085	4.27
168.185	4.36
168.285	4.25
168.385	4.24
168.485	4.37
168.685	4.32
168.785	4.56
168.885	4.22
168.985	4.22
169.085	4.21
169.185	4.13
169.285	4.05
169.385	4.04
169.485	4.04
169.585	3.97
169.685	3.87
169.785	3.78
169.885	3.72
169.985	3.73
170.085	3.66
170.185	3.62
170.285	3.77
170.385	3.95
170.485	3.96
170.585	3.63
170.685	3.62
170.785	3.56
170.885	3.58
170.985	3.74
171.085	3.6
171.185	3.92
171.285	4.02
171.385	4.11
171.485	4.11
171.585	4.04
171.685	3.91
171.785	3.87
171.885	3.74
171.985	3.6
172.085	3.73
172.185	3.69
172.285	3.49
172.385	3.44
172.485	3.41
172.585	3.43
172.685	3.5
172.785	3.68
172.885	3.7
172.985	3.86
173.085	3.84
173.185	3.85
173.285	3.77
173.385	3.71
173.485	3.58
173.585	3.59
173.685	3.65
173.785	3.76
173.885	3.77
173.985	3.83
174.085	3.56
174.185	3.44
174.285	3.6
174.385	3.58
174.485	3.8
174.585	3.9
174.685	3.92
174.785	3.78
174.985	4.2
175.085	4.2
175.185	4.19
175.285	4.23
175.385	4.1
175.485	4.21
175.585	4.2
175.785	4.12
175.885	4.19
175.985	4.13
176.085	4.08
176.185	4.02
176.285	4.11
176.385	4.06
176.485	3.95
176.585	3.78
176.685	3.71
176.885	3.68
176.985	3.56
177.085	3.61
177.285	3.53
177.385	3.54
177.485	3.56
177.585	3.87
177.685	3.75
177.785	3.71
177.885	3.87
177.985	3.73
178.085	4.24
178.185	4.12
178.285	4.13
178.385	4.19
178.485	4
178.585	3.99
178.685	3.94
178.785	3.8
178.885	3.89
178.985	3.83
179.085	3.66
179.185	3.5
179.285	3.47
179.385	3.48
179.485	3.67
179.585	3.59
179.685	3.79
179.785	3.87
179.885	3.83
179.985	3.86
180.085	3.83
180.285	3.76
180.385	3.71
180.485	3.55
180.585	3.48
180.685	3.55
180.785	3.61
180.885	3.91
180.985	4.17
181.085	4.01
181.185	4.08
181.285	4.04
181.385	3.84
181.485	3.7
181.585	3.52
181.785	3.84
181.885	3.64
181.985	3.5
182.085	3.52
182.185	3.47
182.285	3.61
182.385	3.41
182.485	3.48
182.585	3.48
182.685	3.5
182.785	3.49
182.885	3.65
182.985	3.59
183.085	3.75
183.185	3.76
183.285	3.84
183.385	3.84
183.485	3.88
183.585	3.94
183.685	4.13
183.785	4.12
183.985	4.01
184.085	3.98
184.185	3.93
184.285	3.66
184.385	3.77
184.485	3.59
184.585	3.61
184.685	3.41
184.885	3.43
184.985	3.69
