Depth	d18O
187.535	3.89
187.635	3.67
187.735	3.63
187.935	3.6
188.035	3.6
188.235	3.65
188.335	3.61
189.035	3.45
189.135	3.38
189.235	3.6
189.335	3.45
189.435	3.7
189.535	3.77
189.635	3.98
189.735	4
189.835	4.17
189.935	4.05
190.035	4.12
190.135	3.95
190.235	3.88
190.335	3.91
190.435	3.81
190.535	3.66
190.635	3.81
190.685	3.82
190.785	3.76
190.885	3.9
190.985	3.68
191.085	3.6
191.185	3.55
191.285	3.6
191.385	3.6
191.485	3.53
191.585	3.39
191.685	3.42
191.785	3.24
191.885	3.28
192.185	3.74
192.285	3.65
192.385	3.94
192.485	3.91
192.585	3.96
192.685	3.8
192.785	3.93
192.885	3.85
192.985	3.82
193.085	3.62
193.185	3.66
193.285	3.61
193.385	3.45
193.485	3.5
193.585	3.53
193.685	3.43
193.785	3.25
193.985	3.33
194.085	3.44
194.185	3.15
194.285	3.47
194.385	3.75
194.485	3.94
194.585	3.98
194.685	3.83
194.785	3.76
194.885	3.86
194.985	3.77
195.085	3.6
195.185	3.68
195.285	3.63
195.385	3.66
195.485	3.48
195.585	3.45
195.685	3.31
195.785	3.27
195.885	3.16
195.985	3.2
196.085	3.35
196.185	3.38
196.285	3.34
196.585	3.56
196.785	3.85
196.985	3.83
197.085	3.81
197.185	3.8
197.385	3.62
197.485	3.54
197.785	3.55
197.885	3.62
198.11	4.03
198.21	4.09
198.31	4.09
198.41	4.16
198.51	4.15
198.61	4.04
198.71	4.1
199.11	3.85
199.21	3.6
199.335	3.87
199.435	3.87
199.635	3.85
199.735	3.75
199.935	3.5
200.035	3.26
200.135	3.48
200.235	3.44
200.335	3.43
200.435	3.72
200.535	3.57
200.835	3.54
201.035	3.56
201.235	3.73
201.435	3.29
201.535	3.46
201.835	3.41
201.935	3.46
202.035	3.28
202.135	3.3
202.335	3.71
202.435	4.08
202.535	4.16
202.735	4.09
202.835	4.28
202.935	4.07
203.035	3.91
203.135	3.89
203.235	3.96
203.335	3.24
203.535	3.82
203.635	3.7
203.735	3.56
203.835	3.22
203.935	3.38
204.035	3.34
204.135	3.34
204.435	3.68
204.535	3.64
204.635	3.57
204.735	3.7
204.935	3.83
205.035	3.76
205.135	3.6
205.535	3.34
205.635	3.56
205.835	3.31
205.935	3.31
206.035	3.34
206.135	3.39
206.235	3.43
206.335	3.36
206.435	3.62
206.635	3.93
206.735	3.97
206.835	3.88
206.935	3.94
207.035	3.83
207.335	3.27
207.435	3.18
207.685	3.31
207.785	3.22
207.885	3.33
207.985	3.44
208.085	3.67
208.185	3.82
208.285	3.84
208.385	4.06
208.485	3.89
208.585	3.84
208.685	3.84
208.785	3.82
208.885	3.59
208.985	3.65
209.085	3.61
209.185	3.27
209.285	3.25
209.385	3.36
209.485	3.31
209.585	3.35
209.685	3.42
209.785	3.32
209.885	3.53
209.985	3.61
210.085	3.7
210.185	3.74
210.285	3.68
210.385	3.64
210.485	3.69
210.585	3.6
210.685	3.63
210.785	3.77
210.885	3.74
210.985	3.72
211.085	3.64
211.185	3.34
211.285	3.38
211.385	3.29
211.485	3.17
211.585	3.21
211.685	3.22
211.885	3.05
212.085	3.9
212.185	3.84
212.285	3.89
212.385	3.85
212.485	3.78
212.585	3.76
212.685	3.8
212.785	3.63
212.885	3.45
213.185	3.42
213.485	3.47
213.585	3.22
213.785	3.61
213.985	3.71
214.085	3.68
214.185	3.64
214.285	3.5
214.485	3.41
214.685	3.35
214.785	3.43
214.885	3.24
215.385	4.09
215.485	4.11
215.585	4.09
215.685	4.13
215.785	4.06
215.885	3.9
215.985	4.1
216.085	4.09
216.385	3.68
216.485	3.72
216.585	3.63
216.685	3.53
216.785	3.41
216.985	3.12
217.385	3.74
217.585	4.04
217.785	3.84
217.885	4.08
217.985	4.17
218.085	4.18
218.185	4.05
218.285	3.79
218.385	3.75
218.485	3.69
218.835	3.34
218.935	3.5
219.135	3.4
219.335	3.63
219.435	3.6
219.635	3.97
219.735	4.13
219.835	4.24
219.935	4.15
220.135	4.26
220.235	4.1
220.335	4.05
220.435	4.08
220.535	4.08
220.635	4.12
220.735	4.08
220.835	3.94
220.935	3.86
221.035	3.81
221.135	3.73
221.235	3.45
221.335	3.42
221.435	3.25
221.635	3.17
221.735	3.02
221.835	3.1
221.935	3.09
222.035	3.3
222.135	3.49
222.235	3.32
222.335	3.6
222.435	3.51
222.735	3.47
222.835	3.43
222.935	3.3
223.035	3.35
223.135	3.25
223.235	3.27
223.335	3.25
223.435	3.16
223.635	3.25
223.735	3.42
223.835	3.63
223.935	3.59
224.035	3.85
224.135	3.7
224.235	3.88
224.335	3.89
224.435	3.84
224.535	3.59
224.76	3.37
224.86	3.21
224.96	3.35
225.06	3.32
225.16	3.09
225.26	3.34
225.36	3.32
225.56	3.75
225.685	3.74
225.785	3.75
225.885	3.73
225.985	3.71
226.085	3.37
226.185	3.3
226.285	3.19
226.385	3.16
226.485	3.07
226.585	3.17
226.685	3.17
226.785	3.26
226.885	3.23
226.985	3.26
227.085	3.4
227.185	3.08
227.285	3.65
227.385	3.76
227.485	3.92
227.585	3.82
227.685	3.76
227.785	3.63
227.885	3.66
227.985	3.55
