depth(m)	initial_age(kiloyear)
11.24	503.06
11.34	506.82
11.44	510.68
11.54	515.08
11.64	520.06
11.75	525.29
11.94	535.0
12.01	538.48
12.01	538.48
12.14	544.96
12.35	554.43
12.44	557.86
12.62	564.41
12.71	567.68
12.92	575.3
13.0	578.32
13.22	587.96
13.3	592.03
13.42	598.43
13.51	603.55
13.61	609.36
13.71	615.3
13.81	622.39
14.03	638.37
14.11	644.1
14.23	651.2
14.31	655.49
14.41	660.66
14.51	665.64
14.62	670.26
14.72	674.07
14.85	678.81
15.05	685.97
15.14	688.97
15.25	692.14
15.34	694.5
15.45	697.37
15.56	700.25
15.66	702.86
15.76	705.48
15.87	708.35
