Depth	d18O
175	4.42
176	4.49
177	4.56
178	4.54
179	4.58
180	4.49
181	4.56
182	4.58
183	4.47
184	4.5
185	4.69
186	4.57
187	4.5
188	4.56
189	4.49
190	4.38
191	4.23
192	3.86
193	4.02
194	3.94
195	4.01
196	3.92
197	3.84
198	3.92
199	3.67
200	3.63
201	3.63
202	3.73
203	3.71
204	3.88
205	3.92
206	3.87
207	3.88
208	3.81
209	3.74
210	3.67
211	3.7
212	3.71
213	3.75
214	3.66
215	3.64
216	3.63
217	3.58
218	3.82
219	4.04
220	4.08
221	4.33
222	4.48
223	4.54
224	4.49
225	4.38
226	4.39
227	4.29
228	4.29
229	4.12
230	4.4
231	4.32
232	4.27
233	4.07
234	3.94
235	3.81
236	3.76
237	3.57
238	3.61
239	3.54
240	3.54
241	3.64
242	3.78
243	3.88
244	4.15
245	4.27
246	4.48
247	4.41
248	4.48
249	4.46
250	4.6
251	4.68
252	4.73
253	4.62
254	4.67
255	4.47
256	4.53
257	4.65
258	4.61
259	4.62
260	4.56
261	4.62
262	4.55
263	4.56
264	4.52
265	4.54
266	4.6
267	4.6
268	4.43
269	4.62
270	4.61
271	4.6
272	4.54
273	4.54
274	4.48
275	4.48
276	4.4
277	4.54
278	4.41
279	4.33
280	4.24
281	4.31
282	4.08
283	3.97
284	3.96
285	3.94
286	3.92
287	3.99
288	4.12
289	4.16
290	4.2
291	4.21
292	4.37
293	4.32
294	4.43
295	4.41
296	4.33
297	4.4
298	4.27
299	4.33
300	4.12
301	4.16
302	4.16
303	4.1
304	4.17
305	4.17
306	4.15
307	4.1
308	3.95
309	3.96
310	3.9
311	3.8
312	3.89
313	3.79
314	3.87
315	3.72
316	3.79
317	3.99
318	3.86
319	3.68
320	3.76
321	3.63
322	3.63
323	3.57
324	3.31
325	3.41
326	3.33
327	3.32
328	3.33
329	3.29
330	3.4
331	3.39
332	3.49
333	3.48
334	3.61
335	3.85
336	4.18
337	4.33
338	4.27
339	4.52
340	4.7
341	4.94
342	4.93
343	4.9
344	4.86
345	4.89
346	4.78
347	4.63
348	4.59
349	4.72
350	4.77
351	4.74
352	4.57
353	4.57
354	4.5
355	4.69
356	4.56
357	4.65
358	4.68
359	4.59
360	4.64
361	4.6
362	4.6
363	4.63
364	4.46
365	4.56
366	4.42
367	4.47
368	4.5
369	4.48
370	4.46
371	4.37
372	4.52
373	4.39
374	4.44
375	4.3
376	4.31
377	4.3
378	4.29
379	4.27
380	4.29
