depth(m)	initial_age(kiloyear)
32.35	1400.180296
32.4	1403.031003
32.5	1407.580308
32.55	1410.307075
32.6	1413.187165
32.65	1415.666027
32.7	1418.501168
32.75	1421.010954
32.8	1423.47281
32.85	1425.980701
32.9	1428.039986
32.95	1431.256927
33	1433.829265
33.05	1435.577496
33.1	1437.460328
33.15	1438.90466
33.2	1440.534068
33.25	1442.27323
33.3	1443.973282
33.35	1445.929585
33.4	1448.289685
33.45	1453.951541
33.5	1468.283795
33.55	1471.435801
33.6	1474.526426
33.65	1476.775699
33.7	1478.863212
33.75	1480.710465
33.8	1483.313052
33.85	1485.859674
33.9	1488.227004
33.95	1491.569876
34	1496.035915
34.05	1500.319219
34.1	1505.131289
34.15	1510.000883
34.2	1513.113235
34.25	1515.45071
34.3	1517.939095
34.35	1520.307212
34.4	1522.861488
34.45	1525.617741
34.5	1530.566674
34.55	1534.707971
34.6	1538.774498
34.65	1542.597972
34.7	1546.105486
34.75	1549.53281
34.8	1552.750175
34.85	1555.447615
34.9	1558.264919
34.95	1560.778487
35	1564.726024
35.05	1567.65008
35.1	1569.293577
35.15	1571.03443
35.2	1572.475471
35.25	1573.762563
35.35	1575.717768
35.4	1577.007289
35.5	1579.25619
35.55	1580.537265
35.6	1582.206375
35.65	1583.768637
35.7	1584.934799
35.75	1586.033983
35.8	1587.385016
35.83	1588.293176
35.88	1589.319586
35.93	1590.345947
36.03	1592.843399
36.08	1593.694227
36.13	1594.845131
36.18	1596.01503
36.23	1597.168211
36.28	1598.538932
36.38	1600.995076
36.43	1602.670801
36.48	1603.97274
36.53	1605.726985
36.58	1607.113683
36.63	1608.738617
36.68	1611.018812
36.73	1612.24593
36.78	1613.97125
36.83	1615.661162
36.88	1617.524586
36.93	1618.931959
36.98	1620.908429
37.03	1622.584173
37.08	1624.705334
37.13	1627.35103
37.18	1630.313353
37.23	1633.213299
37.28	1635.700139
37.33	1638.486451
37.38	1642.274152
37.43	1645.607235
37.48	1649.26737
37.58	1655.572393
37.63	1659.227928
37.68	1662.678101
37.73	1666.046418
37.78	1670.203718
37.83	1673.128168
37.88	1675.500495
37.93	1678.238895
37.98	1680.961611
38.03	1682.715456
38.08	1685.16721
38.13	1688.093297
38.18	1690.119318
38.23	1692.065111
38.28	1694.590272
38.33	1696.590986
38.38	1698.972907
38.43	1700.584413
38.48	1702.950914
38.53	1705.125973
38.58	1707.841001
38.63	1709.912196
38.68	1712.786637
38.73	1715.919434
38.78	1720.014449
38.83	1724.930849
38.88	1728.827159
38.93	1732.811514
38.98	1735.643314
39.03	1738.848116
39.08	1741.662069
39.13	1743.894229
39.2	1747.471043
39.25	1749.753919
39.3	1751.61098
39.35	1753.967833
39.4	1755.738088
39.45	1757.419428
39.5	1759.654277
39.55	1761.913725
39.65	1765.847208
39.7	1767.907977
39.75	1769.556062
39.8	1771.581568
39.85	1773.074133
39.9	1774.665571
39.95	1776.884684
40	1778.581648
40.05	1780.42203
40.1	1782.015925
40.15	1784.367038
40.2	1786.275321
40.25	1788.454498
40.3	1790.734668
40.35	1793.345783
40.4	1796.084788
40.45	1798.686224
40.5	1801.743837
40.55	1807.391354
40.6	1811.177926
40.65	1814.958612
40.7	1819.061773
40.75	1823.606197
40.8	1827.645179
40.85	1831.018237
40.9	1833.497682
40.95	1836.091839
41	1838.65584
41.05	1841.335146
41.1	1843.636039
41.15	1845.648021
41.2	1847.650873
41.25	1849.563351
41.3	1851.756506
41.35	1853.55976
41.4	1855.838803
41.45	1857.856494
41.5	1860.413758
41.55	1863.157625
41.6	1866.445892
41.65	1869.250055
41.7	1872.415411
41.75	1875.354993
41.8	1878.557364
41.85	1881.855511
41.9	1884.113525
41.95	1886.371288
42	1888.398287
42.05	1890.177661
42.1	1891.931817
42.15	1894.054396
42.2	1895.934182
42.25	1897.836572
42.3	1899.735355
42.35	1902.256722
42.4	1904.074291
42.45	1906.590358
42.5	1909.223176
42.55	1911.008632
42.6	1912.840725
42.65	1914.3807
42.7	1916.030076
42.75	1917.505368
42.8	1919.136656
42.85	1920.559417
42.9	1922.265028
42.95	1924.114835
43	1926.020729
43.05	1928.271652
43.1	1930.64523
43.15	1934.065229
43.2	1937.526859
43.25	1941.510292
43.3	1943.887942
43.35	1947.127068
43.4	1950.642332
43.45	1955.835896
43.5	1958.817107
43.55	1962.314954
43.6	1965.023744
43.65	1967.436144
43.7	1970.09605
43.75	1972.119735
43.8	1974.55715
43.85	1977.947861
43.9	1981.984963
43.95	1985.446712
44	1989.657623
44.05	1994.27525
44.1	1999.398247
44.15	2004.47145
44.2	2009.789187
44.25	2013.179813
44.3	2016.8529
44.35	2018.968835
44.4	2021.285149
44.45	2023.826739
44.5	2025.764848
44.55	2027.941396
44.6	2029.528189
44.65	2031.419344
44.7	2033.497729
44.75	2035.3981
44.8	2037.135119
44.85	2038.716076
44.9	2040.013626
44.95	2041.35691
45	2042.715849
45.05	2044.161353
45.1	2045.488341
45.15	2046.879026
45.2	2048.664745
45.25	2050.126609
45.3	2051.900901
45.35	2053.285864
45.4	2054.798583
45.45	2056.516711
45.5	2057.982134
45.55	2060.211872
45.6	2062.344101
45.65	2064.368098
45.7	2066.121514
45.75	2067.811349
45.8	2069.320212
45.85	2070.709016
45.9	2071.893974
45.95	2073.08016
46.05	2075.230981
46.1	2076.711262
46.15	2078.054
46.2	2079.560731
46.25	2081.15775
46.3	2082.388219
46.35	2084.222112
46.4	2085.741284
46.44	2087.438541
46.5	2089.545805
46.55	2091.664325
46.6	2093.825885
46.65	2096.95328
46.7	2099.650914
46.75	2102.374124
46.8	2104.620084
46.85	2106.974818
46.9	2109.359918
46.95	2111.624309
47	2113.650292
47.05	2116.048255
47.1	2117.91884
47.15	2120.01744
47.2	2121.9984
47.25	2123.722021
47.3	2125.883123
47.35	2128.11407
47.4	2130.405771
47.45	2132.152516
47.5	2133.726264
47.55	2135.770477
47.6	2138.532904
47.65	2141.998183
47.7	2148.344412
47.75	2151.633573
47.8	2154.180644
47.85	2156.286846
47.9	2158.33832
47.95	2160.839891
48	2163.524448
48.05	2165.965263
48.1	2168.306332
48.15	2170.509102
48.2	2172.91335
48.25	2176.403595
48.3	2179.017457
48.35	2181.481973
48.4	2184.452991
48.45	2187.487596
48.5	2189.384974
48.55	2191.569561
48.6	2193.680251
48.65	2195.529089
48.7	2197.057834
48.75	2198.718
48.8	2200.631624
48.85	2202.40588
48.9	2204.220669
48.95	2205.936156
49	2207.556118
49.05	2209.243783
49.1	2210.843997
49.15	2212.494973
49.2	2213.873903
49.25	2215.233806
49.3	2216.622978
49.35	2218.228881
49.4	2219.584349
49.45	2220.905578
49.5	2222.563724
49.55	2224.383657
49.6	2225.810854
49.65	2227.349718
49.7	2228.832155
49.75	2230.587604
49.8	2232.214769
49.85	2233.841557
49.9	2235.617021
49.95	2237.846438
50	2240.614918
50.03	2242.216377
50.08	2244.882443
50.13	2248.062122
50.18	2251.386241
50.23	2254.15327
50.28	2257.182026
50.33	2259.714093
50.38	2262.198735
50.43	2265.062808
50.48	2267.213916
50.53	2269.798763
50.58	2271.484377
50.63	2273.784663
50.68	2277.065214
50.73	2279.837356
50.78	2282.451752
50.83	2285.075216
50.88	2289.07197
50.93	2291.612669
50.98	2293.443311
51.03	2295.615749
51.08	2297.337544
51.13	2298.856503
51.18	2300.596078
51.23	2302.150307
51.28	2303.65318
51.33	2305.713897
51.38	2308.179497
51.43	2312.156212
51.48	2317.738668
51.53	2322.776645
51.58	2328.132281
51.63	2331.519704
51.68	2333.501707
