Depth	d18O
19.4	4.06
19.42	4.07
19.44	4.06
19.46	4.26
19.48	3.88
19.5	4.16
19.52	4.35
19.54	4.19
19.56	4.25
19.58	4.31
19.6	4.21
19.62	4.02
19.64	4.15
19.66	4.2
19.68	4.12
19.7	4.13
19.72	4.01
19.74	3.98
19.76	4.12
19.78	3.9
19.8	4.08
19.82	4.0
19.86	3.93
19.88	3.88
19.9	3.83
19.92	3.77
19.94	4.6
19.96	4.1
19.98	3.82
20.0	3.73
20.02	3.77
20.04	3.56
20.06	3.75
20.08	3.92
20.1	3.97
20.12	3.43
20.14	3.82
20.16	3.95
20.18	3.61
20.2	3.86
20.22	3.72
20.24	3.65
20.26	3.67
20.28	3.96
20.3	3.76
20.32	3.69
20.34	3.5
20.36	3.57
20.38	3.74
20.4	3.63
20.42	3.66
20.44	3.57
20.46	4.42
20.52	3.58
20.54	3.48
20.56	3.41
20.58	3.54
20.6	3.52
20.62	3.49
20.64	3.44
20.66	3.44
20.68	3.34
20.7	3.4
20.72	3.31
20.74	3.47
20.76	3.4
20.78	3.4
20.8	3.43
20.82	3.34
20.84	3.39
20.86	3.52
20.88	3.34
20.9	3.5
20.92	3.38
20.94	3.38
20.96	3.26
20.98	3.22
21.0	3.24
21.02	3.3
21.04	3.27
21.06	3.63
21.08	3.53
21.1	3.43
21.12	3.2
21.14	3.15
21.16	3.2
21.18	3.2
21.2	3.28
21.22	3.17
21.24	3.15
21.26	3.1
21.3	3.09
21.32	2.74
21.34	3.14
21.36	2.94
21.38	2.98
21.4	2.93
21.42	2.65
21.44	2.82
21.46	2.68
21.83	4.62
21.85	5.13
21.87	5.07
21.89	5.21
21.91	5.14
21.93	5.18
21.95	5.11
21.97	5.18
21.99	5.21
22.01	5.14
22.03	5.04
22.05	5.12
22.07	5.17
22.09	5.12
22.11	5.05
22.13	5.15
22.15	5.14
22.17	5.05
22.19	4.88
22.21	4.83
22.23	4.84
22.27	4.9
22.29	4.92
22.31	4.88
22.33	4.88
22.35	4.78
22.37	4.83
22.39	4.5
22.41	5.19
22.43	4.72
22.45	4.64
22.47	4.7
22.51	4.69
22.53	4.31
22.55	4.82
22.57	4.69
22.59	4.67
22.63	4.54
22.65	4.74
22.67	4.66
22.69	4.79
22.71	4.84
22.73	4.67
22.75	4.87
22.77	4.83
22.79	4.9
22.81	4.82
22.83	4.93
22.85	4.87
22.87	4.81
22.89	4.84
22.91	4.67
22.93	4.29
22.95	4.9
22.97	4.81
22.99	4.76
23.01	4.77
23.03	4.74
23.05	4.74
23.07	4.73
23.09	4.65
23.11	4.58
23.13	4.8
23.15	3.46
23.17	4.56
23.19	4.61
23.21	4.7
23.23	4.68
23.25	4.66
23.27	4.67
23.29	4.72
23.31	4.65
23.33	4.7
23.35	4.71
23.37	4.67
23.39	4.64
23.41	4.65
23.43	4.7
23.45	4.67
23.47	4.54
23.49	4.58
23.51	4.47
23.53	4.51
23.55	4.46
23.61	4.4
23.63	4.36
23.65	4.56
23.67	4.37
23.69	4.32
23.71	4.42
23.73	4.27
23.75	4.54
23.77	4.54
23.81	4.64
23.83	4.46
23.85	4.47
23.87	4.45
23.89	4.47
23.91	4.39
23.93	4.39
23.95	4.37
23.97	4.17
23.99	4.28
24.01	4.16
24.03	4.37
24.05	4.22
24.07	4.13
24.09	4.01
24.11	4.27
24.13	4.18
24.15	3.97
24.17	4.0
24.21	4.05
24.23	4.06
24.25	4.12
24.27	4.04
24.29	4.21
24.31	4.14
24.33	4.22
24.35	4.05
24.37	4.04
24.39	4.12
24.41	4.05
24.43	4.34
24.45	4.05
24.47	4.1
24.49	3.99
24.51	3.93
24.53	4.03
24.55	4.01
24.57	3.91
24.59	3.96
24.61	4.07
24.63	4.2
24.65	4.0
24.67	3.98
24.69	4.15
24.73	4.19
24.75	4.04
24.77	4.04
24.79	4.3
24.81	3.98
24.83	4.04
24.85	4.07
24.87	3.73
24.89	3.95
24.91	3.9
24.93	3.63
24.95	3.86
24.97	3.73
24.99	3.69
25.01	3.7
25.03	3.76
25.05	3.7
25.07	3.85
25.09	3.61
25.11	3.69
25.13	3.74
25.17	3.67
25.19	3.48
25.21	3.64
25.23	3.56
25.25	3.47
25.27	3.48
25.29	3.51
25.31	3.48
25.33	3.43
25.35	3.43
25.37	3.34
25.39	3.36
25.41	3.39
25.43	3.3
25.45	3.41
25.47	3.41
25.49	3.4
25.51	3.5
25.53	3.46
25.55	3.39
25.57	3.36
25.59	3.31
25.61	3.28
25.63	3.37
25.65	3.31
25.67	3.33
25.69	3.4
25.71	3.36
25.73	3.3
25.75	3.34
