depth(m)	initial_age(kiloyear)
4.55	103.08
4.67	108.26
4.79	112.77
4.9	115.39
5.02	118.13
5.12	120.42
5.22	122.71
5.32	124.94
5.42	127.47
5.52	131.39
5.62	134.54
5.72	137.69
5.82	140.26
5.92	142.27
6.02	144.25
6.13	146.32
6.23	148.21
6.33	150.1
6.43	151.99
6.53	153.88
6.63	156.19
6.72	158.49
6.82	161.04
6.91	163.34
7.0	165.65
7.09	167.95
7.18	170.22
7.27	172.14
7.36	174.15
7.45	176.24
7.53	178.87
7.62	182.0
7.71	185.12
7.79	187.78
7.88	190.21
7.95	192.16
8.03	194.85
8.1	197.28
8.18	200.3
8.26	203.53
8.34	206.93
8.42	210.1
8.5	213.09
8.59	216.21
8.68	219.08
8.77	221.58
8.87	224.39
8.98	227.52
9.08	230.36
9.19	233.49
9.29	236.33
9.4	240.09
9.49	243.14
9.58	245.31
9.68	247.62
9.78	250.06
9.87	252.27
9.96	254.47
10.06	256.92
10.16	259.36
10.27	262.05
10.38	264.64
10.5	267.31
10.55	268.42
10.61	269.75
10.71	272.15
10.73	272.71
10.84	275.77
10.91	277.71
10.94	278.55
11.03	280.62
11.12	282.43
11.2	284.01
11.23	284.59
11.28	285.58
11.32	286.36
11.36	287.23
11.41	288.46
11.49	290.84
11.59	293.91
11.71	297.87
