Depth	d18O
2.875	3.91
2.885	4.04
2.895	4.03
2.905	4.08
2.915	3.96
2.925	3.96
2.935	3.82
2.945	4.01
2.955	3.95
2.965	4.07
2.975	3.98
2.985	4.0
2.995	3.93
3.005	4.02
3.015	4.05
3.025	4.01
3.035	4.02
3.045	4.05
3.055	3.96
3.065	4.04
3.075	4.15
3.085	4.07
3.095	4.08
3.105	4.15
3.115	4.16
3.125	4.1
3.135	4.26
3.145	4.15
3.155	4.17
3.165	4.15
3.175	4.18
3.185	4.15
3.195	4.24
3.205	4.24
3.215	4.2
3.225	4.14
3.235	4.25
3.245	4.19
3.255	4.04
3.265	4.11
3.275	4.29
3.285	4.12
3.295	4.13
3.305	4.13
3.315	4.28
3.325	4.22
3.335	4.25
3.345	4.11
3.355	3.95
3.365	4.17
3.375	4.0
3.385	3.97
3.395	3.94
3.405	4.01
3.415	3.88
3.425	3.52
3.435	3.76
3.445	3.75
3.455	3.8
3.465	3.7
3.475	3.6
3.485	3.76
3.495	3.45
3.505	3.59
3.515	3.52
3.525	3.47
3.535	3.42
3.545	3.47
3.555	3.39
3.565	3.43
3.575	3.31
3.585	3.43
3.595	3.38
3.605	3.33
3.615	3.36
3.625	3.27
3.635	3.43
3.645	3.4
3.655	3.24
3.665	3.15
3.675	3.22
3.685	3.23
3.695	3.26
3.705	3.23
3.715	3.21
3.725	3.28
3.735	3.16
3.745	3.24
3.755	3.24
3.765	3.24
3.775	3.43
3.785	3.16
3.795	3.26
3.805	3.68
3.815	4.19
3.825	3.39
3.835	3.63
3.845	3.66
3.855	3.39
3.865	3.39
3.875	3.45
3.885	3.69
3.895	3.64
3.905	3.85
3.915	3.72
3.925	3.85
3.935	4.36
3.945	4.38
3.955	4.48
3.965	4.44
3.975	4.6
3.985	4.49
3.995	4.57
4.005	4.78
4.015	4.98
4.025	5.01
4.035	5.01
4.045	5.09
4.055	5.11
4.065	5.03
4.075	5.04
4.085	5.16
4.095	5.24
4.105	5.1
4.115	5.1
4.125	5.03
4.135	5.16
4.145	5.14
4.155	5.18
4.165	5.04
4.175	5.14
4.185	5.17
4.195	5.22
4.205	5.12
4.215	5.2
4.225	5.14
4.235	5.2
4.245	5.1
4.255	5.12
4.265	5.09
4.275	5.05
4.285	4.87
4.295	4.93
4.305	5.05
4.315	4.99
4.325	4.93
4.335	4.93
4.345	4.92
4.355	5.02
4.365	4.92
4.375	4.88
4.385	4.81
4.395	5.04
4.405	4.94
4.415	4.99
4.425	4.95
4.435	4.97
4.445	4.94
4.455	4.85
4.465	4.98
4.475	4.93
4.485	4.88
4.495	4.83
4.505	4.94
4.515	4.92
4.525	4.89
4.535	4.93
4.545	4.83
4.555	4.87
4.565	4.82
4.575	4.89
4.585	4.84
4.595	4.92
4.605	4.85
4.615	
4.625	4.82
4.635	4.92
4.645	4.86
4.655	4.79
4.665	4.96
4.675	4.9
4.685	4.91
4.695	5.0
4.705	4.96
4.715	4.96
4.725	4.96
4.735	5.06
4.745	5.01
4.755	5.05
4.765	4.94
4.775	5.07
4.785	4.96
4.795	5.05
4.805	4.91
4.815	5.05
4.825	4.92
4.835	4.95
4.845	4.73
4.855	4.89
4.865	4.92
4.875	4.85
4.885	4.86
4.895	4.66
4.905	4.85
4.915	4.6
4.925	4.76
4.935	4.83
4.945	4.77
4.955	4.83
4.965	4.74
4.975	4.68
4.985	4.78
4.995	4.85
5.005	4.56
5.015	4.77
5.025	4.71
5.035	4.73
5.045	4.71
5.055	4.76
5.065	4.72
5.075	4.74
5.085	4.52
5.095	4.65
5.105	4.64
5.115	4.83
5.125	4.76
5.135	4.75
5.145	4.79
5.155	4.73
5.165	4.83
5.175	4.73
5.185	4.78
5.195	4.58
5.205	4.7
5.215	4.56
5.225	4.63
5.235	4.57
5.245	4.52
5.255	4.52
5.265	4.55
5.275	4.56
5.285	4.54
5.295	4.55
5.305	4.53
5.315	
5.325	4.48
5.335	4.59
5.345	4.54
5.355	4.66
5.365	4.56
5.375	4.66
5.385	4.59
5.395	4.67
5.405	4.59
5.415	4.68
5.425	4.61
5.435	4.73
5.445	4.73
5.455	4.62
5.465	4.68
5.475	4.67
5.485	4.6
5.495	4.63
5.505	4.63
5.515	4.63
5.525	4.61
5.535	4.59
5.545	4.6
5.555	4.63
5.565	4.6
5.575	4.5
5.585	4.69
5.595	4.7
5.605	4.63
5.615	4.66
5.625	4.74
5.635	4.63
5.645	4.68
5.655	4.55
5.665	4.68
5.675	4.55
5.685	4.63
5.695	4.53
5.705	4.62
5.715	4.5
5.725	4.58
5.735	4.67
5.745	4.59
5.755	4.44
5.765	4.37
5.775	4.31
5.785	4.31
5.795	4.25
5.805	3.98
5.815	4.22
5.825	4.12
5.835	4.1
5.845	4.09
5.855	4.02
5.865	4.19
5.875	3.93
5.885	3.86
5.895	4.11
5.905	4.05
5.915	4.05
5.925	3.96
5.935	3.99
5.945	3.87
5.955	4.04
5.965	3.94
5.975	3.8
5.985	3.89
5.995	3.77
6.005	3.81
6.015	3.65
6.025	3.81
6.035	3.6
6.045	3.83
6.055	3.98
6.065	3.85
6.075	3.74
6.085	3.98
6.095	3.96
6.105	3.91
6.115	3.56
6.125	3.97
6.135	3.9
6.145	3.84
6.155	3.84
6.165	3.74
6.175	3.68
6.185	3.81
6.195	3.73
6.205	3.63
6.215	3.67
6.225	3.85
6.235	3.76
6.245	3.8
6.255	3.84
6.265	3.73
6.275	3.7
6.285	3.58
6.295	3.79
6.305	3.62
6.315	3.8
6.325	3.78
6.335	3.68
6.345	4.19
6.355	3.89
6.365	3.94
6.375	4.19
6.385	4.2
6.395	4.29
6.405	4.27
6.415	4.44
6.425	4.51
6.435	4.49
6.445	4.46
6.455	4.53
6.465	4.34
6.475	4.45
6.485	4.78
6.495	4.65
6.505	4.67
6.515	4.67
6.525	4.61
6.535	4.45
6.545	4.35
6.555	4.35
6.565	4.46
6.575	4.4
6.585	4.35
6.595	4.35
6.605	4.18
6.615	4.45
6.625	4.44
6.635	4.56
6.645	4.65
6.655	4.33
6.665	4.23
6.675	4.32
6.685	4.33
6.695	4.32
6.705	4.39
6.715	4.21
6.725	4.17
6.735	4.35
6.745	4.35
6.755	4.3
6.765	4.17
6.775	4.23
6.785	4.22
6.795	4.22
6.805	3.89
6.815	4.1
6.825	4.03
6.835	4.05
6.845	3.95
6.855	3.72
6.865	3.77
6.875	3.74
6.885	3.62
6.895	3.81
6.905	4.23
6.915	3.96
6.925	3.73
6.935	3.73
6.945	3.95
6.955	3.89
6.965	4.34
6.975	4.51
6.985	4.03
6.995	4.11
7.005	4.02
7.015	4.03
7.025	4.46
7.035	4.09
7.045	4.31
7.055	4.26
7.065	4.29
7.065	4.77
7.075	4.55
7.085	4.58
7.095	4.39
7.105	4.55
7.115	4.6
7.125	4.7
7.135	4.61
7.145	4.84
7.155	4.63
7.175	4.73
7.185	4.65
7.195	4.82
7.205	4.81
7.215	4.82
7.225	4.73
7.235	4.85
7.245	4.83
7.255	4.72
7.265	4.86
7.275	4.81
7.285	4.7
7.295	4.9
7.305	4.59
7.315	4.58
7.325	4.64
7.335	4.77
7.345	4.75
7.355	4.79
7.365	4.7
7.375	4.78
7.385	4.73
7.395	4.7
7.405	4.72
7.415	4.51
7.425	4.74
7.435	4.6
7.445	4.67
7.455	4.64
7.465	4.7
7.475	4.61
7.485	4.62
7.495	4.59
7.505	4.8
7.515	
7.525	4.53
7.535	4.69
7.545	4.71
7.555	4.63
7.565	4.62
7.575	4.55
7.585	4.67
7.595	4.78
7.605	4.76
7.615	4.78
7.625	4.81
7.635	4.78
7.645	4.76
7.655	4.74
7.665	4.83
7.675	4.81
7.685	4.87
7.695	4.88
7.705	4.83
7.715	4.76
7.725	4.8
7.735	4.91
7.745	4.84
7.755	4.88
7.765	4.93
7.775	4.57
7.785	4.87
7.795	4.79
7.805	4.5
7.815	4.89
7.825	4.8
7.835	4.76
7.845	4.83
7.855	4.86
7.865	4.78
7.875	4.78
7.885	4.72
7.895	4.84
7.905	4.78
7.915	4.79
7.925	4.69
7.935	4.63
7.945	4.74
7.955	4.68
7.965	4.74
7.975	4.69
7.985	4.64
7.995	4.6
8.005	4.5
8.015	4.53
8.025	4.53
8.035	4.68
8.045	4.67
8.055	4.35
8.065	4.49
8.075	4.8
8.085	4.82
8.095	4.5
8.105	4.63
8.115	4.44
8.125	4.62
8.135	4.28
8.145	4.15
8.155	4.3
8.165	4.1
8.175	4.18
8.185	4.05
8.195	4.02
8.205	4.14
8.215	4.14
8.225	4.06
8.235	3.94
8.245	3.95
8.255	4.07
8.265	4.02
8.275	4.08
8.285	3.92
8.295	3.96
8.305	4.04
8.315	4.04
8.325	3.99
8.335	3.97
8.345	3.97
8.355	4.15
8.365	4.18
8.375	4.0
8.385	3.99
8.395	4.09
8.405	3.95
8.415	4.06
8.425	4.39
8.435	4.11
8.445	4.21
8.455	4.18
8.465	4.18
8.475	4.19
8.485	4.3
