depth(m)	initial_age(kiloyear)
0.02	5.28
0.05	5.69
0.12	6.65
0.15	7.07
0.18	7.5
0.25	8.44
0.28	8.86
0.38	10.81
0.42	11.7
0.45	12.36
0.48	13.02
0.52	13.66
0.55	13.96
0.58	14.25
0.62	14.65
0.65	14.95
0.68	15.24
0.72	15.64
0.75	15.94
0.78	16.23
0.82	16.63
0.85	16.91
0.88	17.2
0.92	17.58
0.95	17.86
0.98	18.14
1.02	18.52
1.05	18.8
1.08	19.09
1.12	19.47
1.15	19.75
1.18	20.03
1.22	20.41
1.25	20.64
1.28	20.74
1.32	20.88
1.35	20.99
1.38	21.09
1.42	21.24
1.45	21.34
1.48	21.45
1.52	21.59
1.55	21.7
1.58	21.8
1.62	21.94
1.65	22.05
1.68	22.16
1.72	22.3
1.75	22.4
1.78	22.51
1.82	22.65
1.85	22.76
1.88	22.86
1.92	23.0
1.95	23.11
1.98	23.22
2.02	23.36
2.05	23.46
2.08	23.57
2.12	23.71
2.15	23.82
2.18	23.92
2.22	24.06
2.25	24.17
2.28	24.28
2.32	24.42
2.35	24.52
2.38	24.63
2.42	24.89
2.45	25.17
2.48	25.45
2.52	25.83
2.55	26.11
2.58	26.39
2.62	26.77
2.68	27.34
2.72	27.71
2.75	27.99
2.78	28.28
2.82	28.65
2.85	28.94
2.88	29.22
2.92	29.59
2.95	29.88
2.98	30.16
3.02	30.54
3.05	30.82
3.08	31.1
3.12	31.48
3.15	31.76
3.18	32.04
3.22	32.42
3.25	32.7
3.28	33.14
3.32	33.73
3.35	34.17
3.38	34.61
3.42	35.2
3.45	35.64
3.48	36.08
3.52	36.67
3.55	37.11
3.58	37.55
3.62	38.14
3.65	38.58
3.68	39.02
3.72	39.61
3.75	40.05
3.78	40.49
3.82	41.08
3.85	41.52
3.88	41.96
3.92	42.55
3.95	42.99
3.98	43.44
4.02	44.02
4.05	44.46
4.08	44.91
4.12	45.49
4.15	45.94
4.18	46.38
4.22	46.96
4.25	47.41
4.28	47.85
4.32	48.44
4.35	48.88
4.38	49.32
4.42	49.91
4.45	50.35
4.48	50.79
4.52	51.38
4.55	51.82
4.58	52.26
4.62	52.85
4.65	53.29
4.68	53.73
4.7	54.0
4.72	54.24
4.75	54.76
4.78	55.2
4.82	55.79
4.85	56.23
4.88	56.67
4.92	57.26
4.95	57.7
4.98	58.17
5.02	58.8
5.08	59.73
5.12	60.36
5.15	60.83
5.18	61.3
5.22	61.92
5.25	62.39
5.28	62.86
5.32	63.49
5.35	63.96
5.38	64.43
5.42	65.05
5.45	65.52
5.52	66.62
5.55	67.09
5.58	67.56
5.62	68.18
5.65	68.65
5.68	69.12
5.72	69.75
5.75	70.22
5.78	70.69
5.82	71.2
5.85	71.5
5.88	71.8
5.92	72.2
5.95	72.5
5.95	72.5
6.02	73.2
6.05	73.5
6.08	73.8
6.12	74.2
6.15	74.5
6.18	74.8
6.22	75.2
6.25	75.5
6.28	75.8
6.32	76.49
6.35	77.23
6.38	77.96
6.42	78.95
6.45	79.68
6.48	80.42
6.52	81.4
6.55	82.14
6.58	82.88
6.62	83.86
6.65	84.59
6.68	85.33
6.72	86.31
6.75	87.05
6.78	87.79
6.82	88.77
6.85	89.51
6.88	90.24
6.92	91.23
6.95	91.96
6.98	92.7
7.02	93.68
7.05	94.42
7.08	95.15
7.12	96.14
7.15	96.87
7.18	97.61
7.22	98.59
7.25	99.33
7.28	100.07
7.32	101.05
7.35	101.78
7.38	102.52
7.42	103.5
7.45	104.24
7.48	104.98
7.52	105.96
7.55	106.7
7.58	107.43
7.62	108.41
7.65	109.15
7.68	109.89
7.72	110.87
7.75	111.61
7.78	112.57
7.82	114.22
7.85	115.45
7.88	116.68
7.92	118.25
7.95	118.77
7.98	119.29
8.02	119.99
8.05	120.51
8.08	121.03
8.12	121.73
8.15	122.25
8.18	122.77
8.22	123.46
8.25	123.98
8.28	124.51
8.32	125.2
8.35	125.72
8.38	126.26
8.4	126.65
8.42	127.0
8.45	127.55
8.48	128.1
8.52	128.84
8.55	129.39
8.58	129.94
8.6	130.3
8.62	130.68
8.65	131.24
8.68	131.79
8.72	132.53
8.75	133.08
8.78	133.63
8.8	134.27
8.82	134.9
8.85	136.25
8.88	137.6
8.92	139.41
8.95	140.76
8.98	142.11
9.0	143.0
9.02	143.91
9.05	145.26
9.08	146.61
9.12	148.41
9.15	149.28
9.18	149.78
9.22	150.45
9.25	150.95
9.28	151.45
9.3	151.79
9.32	152.12
9.35	152.62
9.38	153.12
9.42	153.79
9.45	154.29
9.48	154.79
9.5	155.12
9.52	155.45
9.55	155.95
9.58	156.45
9.62	157.12
9.65	157.62
9.68	158.12
9.72	158.79
9.75	159.29
9.78	159.79
9.82	160.46
9.85	160.96
9.89	161.62
9.92	162.12
9.95	162.62
9.98	163.13
10.02	163.79
10.05	164.29
10.08	164.79
10.12	165.46
10.15	165.96
10.18	166.46
10.22	167.13
10.25	167.63
10.28	168.13
10.32	168.8
10.35	169.3
10.38	169.8
10.42	170.46
10.45	170.96
10.48	171.46
10.52	172.13
10.55	172.63
10.58	173.13
10.62	173.8
10.65	174.3
10.68	174.8
10.72	175.47
10.75	175.97
10.78	176.47
10.82	177.13
10.85	177.63
10.88	178.13
10.92	178.8
10.95	179.3
10.98	179.8
11.02	180.47
11.05	180.97
11.08	181.47
11.12	182.14
11.15	182.64
11.18	183.14
11.22	183.8
11.25	184.3
11.28	184.81
11.32	185.47
11.35	185.97
11.38	186.47
11.41	186.97
11.44	187.47
11.46	187.81
11.49	188.31
11.52	188.81
11.55	189.31
11.58	189.81
11.62	190.48
11.65	190.98
11.68	191.48
11.72	192.14
11.75	192.64
11.78	193.14
11.82	193.81
11.85	194.31
11.92	195.48
11.95	195.98
11.98	196.48
12.02	197.15
12.05	197.65
12.08	198.15
12.12	198.81
12.15	199.31
12.18	199.81
12.22	200.48
12.25	200.98
12.28	201.48
12.32	202.15
12.35	202.65
12.38	203.15
12.42	203.82
12.45	204.32
12.48	204.82
12.52	205.48
12.55	205.98
12.58	206.48
12.62	207.15
12.65	207.65
12.68	208.15
12.72	208.82
12.75	209.32
12.78	209.82
12.82	210.49
12.85	210.99
12.88	211.49
12.92	212.15
12.95	212.66
12.98	213.16
13.02	213.82
13.05	214.32
13.08	214.82
13.12	215.49
13.15	215.99
13.18	216.49
13.22	217.16
13.25	217.66
13.28	218.16
13.32	218.83
13.35	219.33
13.38	219.83
13.42	220.49
13.45	220.99
13.48	221.49
13.52	222.16
13.55	222.66
13.58	223.16
13.62	223.83
13.65	224.33
13.68	224.83
13.72	225.5
13.75	226.0
13.78	226.5
13.82	227.16
13.85	227.66
13.88	228.16
13.92	228.83
13.95	229.33
13.98	229.83
14.02	230.5
14.05	231.0
14.08	231.5
14.15	232.67
14.18	233.17
14.22	233.83
14.25	234.34
14.28	234.84
