depth(m)	initial_age(kiloyear)
65.25	2700.017544
65.35	2703.526316
65.45	2707.035088
65.55	2710.54386
65.65	2714.052632
65.85	2721.070175
65.96	2724.929825
66.06	2728.438596
66.16	2731.947368
66.26	2735.45614
66.36	2738.964912
66.46	2742.473684
66.56	2745.982456
66.66	2749.491228
66.76	2753.0
66.86	2757.158416
66.96	2761.316832
67.06	2765.475248
67.16	2769.633663
67.26	2773.792079
67.36	2777.950495
67.46	2782.108911
67.67	2790.841584
67.77	2795.0
67.97	2802.413793
68.07	2806.12069
68.17	2809.827586
68.27	2813.534483
68.37	2817.241379
68.47	2820.948276
68.57	2824.655172
68.67	2828.362069
68.77	2832.068966
68.87	2835.775862
68.97	2839.482759
69.19	2847.637931
69.29	2851.344828
69.39	2855.051724
69.49	2858.758621
69.59	2862.465517
69.69	2866.172414
69.79	2869.87931
69.89	2873.586207
69.99	2877.293103
70.09	2881.0
70.19	2884.706897
70.29	2888.413793
70.49	2895.827586
70.59	2899.534483
70.7	2903.612069
70.8	2907.318966
70.9	2911.025862
71.0	2914.732759
71.1	2918.439655
71.2	2922.146552
71.3	2925.626214
71.4	2928.878641
71.5	2932.131068
71.6	2935.383495
71.7	2938.635922
71.8	2941.88835
71.9	2945.140777
72.31	2958.475728
72.41	2961.728155
72.51	2964.980583
72.61	2968.23301
72.71	2971.485437
72.81	2974.737864
72.91	2977.990291
73.01	2981.242718
73.11	2984.495146
73.16	2986.121359
73.26	2989.373786
73.36	2992.629213
73.46	2995.88764
73.56	2999.146067
73.67	3002.730337
73.77	3005.988764
73.87	3009.247191
73.97	3012.505618
74.07	3015.764045
74.17	3019.022472
74.27	3022.280899
74.37	3025.539326
74.57	3032.05618
74.67	3035.314607
74.77	3038.573034
74.87	3041.831461
75.07	3048.348315
75.17	3051.606742
75.27	3054.865169
75.37	3058.123596
75.47	3061.382022
75.57	3064.640449
76.27	3087.449438
76.37	3090.707865
76.47	3093.966292
76.57	3097.224719
76.67	3100.483146
76.77	3103.741573
76.87	3107.0
76.97	3109.698962
77.07	3112.397924
77.1	3113.207612
77.17	3115.096886
77.27	3117.795848
77.37	3120.49481
77.47	3123.193772
77.57	3125.892734
77.67	3128.591696
77.77	3131.290657
77.87	3133.989619
77.95	3136.148789
78.06	3139.117647
78.16	3141.816609
78.26	3144.515571
78.36	3147.214533
78.46	3149.913495
78.56	3152.612457
78.66	3155.311419
78.76	3158.010381
78.86	3160.709343
78.96	3163.408304
79.06	3166.107266
79.16	3168.806228
79.26	3171.50519
79.36	3174.204152
79.46	3176.903114
79.56	3179.602076
79.66	3182.301038
79.76	3185.0
79.86	3188.714286
79.96	3192.428571
80.06	3196.142857
80.16	3199.857143
80.26	3203.571429
80.46	3211.0
80.56	3214.153527
80.66	3217.307054
80.76	3220.460581
80.86	3223.614108
80.96	3226.767635
81.06	3229.921162
81.16	3233.074689
81.26	3236.228216
81.36	3239.381743
81.46	3242.53527
81.56	3245.688797
81.66	3248.842324
81.76	3251.995851
81.86	3255.149378
81.96	3258.302905
82.06	3261.456432
82.16	3264.609959
82.26	3267.763485
82.36	3270.917012
82.46	3274.070539
82.57	3277.539419
82.67	3280.692946
82.77	3283.846473
82.87	3287.0
82.97	3289.661871
83.07	3292.323741
83.17	3294.985612
83.27	3297.647482
83.37	3300.309353
83.47	3302.971223
83.55	3305.100719
83.65	3307.76259
83.75	3310.42446
83.85	3313.086331
83.95	3315.748201
84.05	3318.410072
84.15	3321.071942
84.25	3323.733813
84.35	3326.395683
84.45	3329.057554
84.65	3334.381295
84.75	3337.043165
84.85	3339.705036
84.95	3342.366906
85.05	3345.028777
85.15	3347.690647
85.25	3350.352518
85.35	3353.014388
85.45	3355.676259
85.55	3358.338129
85.65	3361.0
85.75	3363.709163
85.85	3366.418327
85.95	3369.12749
86.05	3371.836653
86.15	3374.545817
86.25	3377.25498
86.35	3379.964143
86.45	3382.673307
86.55	3385.38247
86.65	3388.091633
86.75	3390.800797
86.85	3393.50996
86.95	3396.219124
87.05	3398.928287
87.15	3401.63745
87.25	3404.346614
87.35	3407.055777
87.45	3409.76494
87.56	3412.74502
87.66	3415.454183
87.76	3418.163347
87.86	3420.87251
87.96	3423.581673
88.06	3426.290837
88.16	3429.0
88.26	3431.481752
88.36	3433.963504
88.46	3436.445255
88.56	3438.927007
88.66	3441.408759
88.76	3443.890511
88.86	3446.372263
88.96	3448.854015
89.07	3451.583942
89.17	3454.065693
89.23	3455.554745
89.33	3458.036496
89.43	3460.518248
89.53	3463.0
89.63	3466.187661
89.73	3469.375321
89.83	3472.562982
89.93	3475.750643
90.03	3478.938303
90.13	3482.125964
90.23	3485.313625
90.33	3488.501285
90.43	3491.688946
90.53	3494.876607
90.63	3498.064267
