Depth	d18O
97.47	3.14
97.6	3.07
97.73	3.13
97.85	3.0
97.85	3.11
97.96	3.12
98.05	3.08
98.13	3.05
98.21	2.98
98.37	3.03
98.46	3.15
98.55	3.14
98.66	3.17
98.77	3.2
98.9	3.14
99.02	3.17
99.03	3.07
99.15	3.26
99.16	2.97
99.28	2.92
99.4	2.96
99.5	2.88
99.6	2.74
99.69	2.92
99.69	3.12
99.77	3.29
99.85	3.29
99.93	3.42
100.0	3.23
100.08	3.2
100.16	3.24
100.25	3.21
100.34	3.16
100.43	3.21
100.53	3.29
100.63	3.46
100.74	3.47
100.84	3.62
100.95	3.67
101.05	3.46
101.15	3.3
101.24	3.28
101.34	3.22
101.44	3.08
101.53	3.12
101.63	3.25
101.73	3.26
101.83	3.41
101.93	3.7
102.03	3.73
102.13	3.51
102.23	3.44
102.33	3.36
102.44	3.27
102.61	2.89
102.71	3.15
102.81	3.0
103.01	3.05
103.11	3.02
103.21	3.14
103.28	3.1
103.35	3.37
103.41	3.43
103.52	3.26
103.68	2.73
103.82	2.95
103.92	2.98
