Depth	d18O
265.82	2.74
266.12	2.93
266.42	2.82
268.16	2.94
268.46	2.78
268.76	2.77
269.06	2.86
269.66	2.73
269.96	2.83
270.26	2.94
270.56	2.96
270.86	3.03
271.17	3.18
271.47	3.04
271.77	3.24
272.07	3.0
272.68	3.05
272.98	2.93
273.28	2.69
273.88	2.84
274.18	3.07
275.38	2.71
275.68	2.57
276.28	2.9
276.58	2.92
276.88	2.88
277.48	2.83
278.62	3.07
279.52	3.01
279.82	3.11
280.12	3.12
280.42	3.0
280.72	2.86
281.02	2.81
281.32	2.87
281.62	2.9
281.92	2.91
282.22	2.79
282.52	2.89
282.82	2.92
283.14	2.78
283.44	2.75
283.74	2.71
284.04	2.77
284.34	2.78
284.94	2.7
285.24	2.88
285.54	2.9
285.84	2.99
286.15	3.06
286.45	3.1
286.75	3.12
287.05	3.19
287.15	3.16
287.45	3.0
287.75	2.71
289.08	3.07
289.28	2.84
289.48	2.71
289.68	2.86
289.88	2.92
290.08	2.87
290.28	2.68
290.48	2.76
290.58	2.92
290.78	3.04
290.98	2.73
291.18	2.73
291.38	2.79
291.58	2.64
291.68	2.74
291.88	2.59
292.08	2.89
292.28	2.82
292.48	2.98
292.68	2.84
292.88	2.82
293.08	2.75
293.28	2.92
293.48	2.95
293.58	3.1
293.78	3.05
293.98	3.2
294.18	3.13
294.38	3.05
294.58	2.94
294.78	2.94
294.98	2.83
295.08	2.79
295.28	2.7
295.48	2.7
295.68	2.69
295.88	2.55
296.08	2.81
296.28	2.99
296.48	2.97
296.58	2.98
296.78	2.92
296.98	2.85
297.18	2.92
297.38	2.79
297.58	2.81
297.78	2.6
299.64	2.77
299.84	3.03
300.04	2.92
300.24	3.12
300.44	2.93
300.64	2.84
300.84	2.7
301.04	2.92
301.14	2.73
301.34	2.71
301.54	2.75
301.74	2.8
301.94	2.8
302.14	2.83
302.34	2.87
302.54	2.74
302.64	2.79
302.84	2.82
303.04	2.78
303.24	3.0
303.44	2.73
303.64	2.64
303.84	2.64
304.04	2.77
304.14	2.73
304.34	2.78
304.54	2.75
304.74	2.81
304.94	2.76
305.14	2.79
305.34	2.78
305.54	2.85
305.64	2.9
305.84	3.02
306.04	2.84
306.24	2.86
