depth	d18O			
0	-2.23			
0.02	-2.83			
0.05	-2.79			
0.07	-2.94			
0.1	-2.8			
0.12	-2.8			
0.15	-2.38			
0.17	-2.44			
0.2	-2.52			
0.22	-2.57			
0.25	-2.57			
0.27	-2.4			
0.3	-2.66			
0.32	-2.68			
0.35	-2.5			
0.37	-2.66			
0.4	-2.53			
0.42	-2.63			
0.45	-2.53			
0.47	-2.21			
0.5	-2.79			
0.52	-2.4			
0.55	-2.29			
0.57	-2.08			
0.6	-2.57			
0.62	-2.21			
0.65	-2.58			
0.67	-2.19			
0.7	-2.62			
0.72	-2.45			
0.75	-2.48			
0.77	-2.46			
0.8	-2.33			
0.82	-1.95			
0.85	-2.86			
0.87	-2.27			
0.9	-2.39			
0.92	-2.72			
0.95	-2.72			
0.97	-2.94			
1	-2.52			
1.01	-2.31			
1.02	-2.58			
1.05	-2.38			
1.06	-2.07			
1.1	-2.43			
1.11	-2.33			
1.15	-2.63			
1.16	-1.87			
1.2	-2.26			
1.21	-1.71			
1.25	-2.48			
1.26	-2.25			
1.27	-2.26			
1.3	-2.14			
1.31	-2.2			
1.32	-2.38			
1.35	-1.93			
1.36	-1.78			
1.37	-1.94			
1.4	-1.79			
1.41	-1.71			
1.42	-2.04			
1.45	-1.84			
1.46	-1.66			
1.47	-2.08			
1.5	-1.6			
1.51	-1.82			
1.52	-2.03			
1.55	-1.83			
1.56	-1.97			
1.57	-1.96			
1.6	-1.85			
1.61	-1.58			
1.65	-1.74			
1.66	-1.54			
1.67	-1.66			
1.7	-1.6			
1.71	-1.32			
1.72	-1.47			
1.75	-1.36			
1.76	-1.2			
1.77	-1.5			
1.8	-1.31			
1.81	-1.42			
1.82	-1.38			
1.85	-1.38			
1.86	-1.22			
1.87	-1.11			
1.9	-1.24			
1.91	-1.07			
1.92	-1.24			
1.95	-1.23			
1.96	-0.84			
1.97	-0.91			
2	-1.28			
2.01	-0.73			
2.02	-1.13			
2.05	-1.08			
2.06	-1.15			
2.07	-0.99			
2.1	-1.02			
2.11	-1.3			
2.12	-1.28			
2.15	-0.81			
2.16	-0.7			
2.17	-0.78			
2.2	-1.1			
2.21	-0.7			
2.22	-0.82			
2.25	-0.95			
2.26	-0.92			
2.27	-0.83			
2.3	-0.92			
2.31	-0.65			
2.32	-1.31			
2.35	-0.86			
2.36	-0.9			
2.37	-0.83			
2.4	-1.08			
2.41	-0.96			
2.42	-1.16			
2.45	-0.98			
2.46	-1.47			
2.47	-1.09			
2.5	-1.02			
2.51	-0.91			
2.52	-1.47			
2.55	-0.97			
2.56	-1.76			
2.57	-1.06			
2.6	-1.12			
2.61	-0.74			
2.62	-0.89			
2.65	-0.86			
2.66	-0.95			
2.67	-0.93			
2.7	-0.96			
2.71	-1.38			
2.72	-1.18			
2.75	-1.04			
2.76	-0.85			
2.77	-1.35			
2.8	-0.96			
2.81	-1.01			
2.82	-1.3			
2.85	-1.07			
2.86	-1.3			
2.87	-0.91			
2.9	-1.26			
2.92	-0.98			
2.95	-1.16			
2.97	-1.2			
3	-1.25			
3.02	-1.24			
3.07	-1.14			
3.1	-1.35			
3.12	-1.2			
3.17	-1.16			
3.2	-1.25			
3.22	-1.22			
3.27	-1.27			
3.3	-1.28			
3.32	-1.3			
3.37	-1.15			
3.4	-1.2			
3.42	-1.3			
3.47	-1.38			
3.5	-1.27			
3.52	-1.48			
3.57	-1.3			
3.6	-1.42			
3.62	-1.4			
