depth	d18O
0.015	-2.835
0.025	-2.978
0.035	-2.68
0.045	-2.864
0.055	-2.751
0.065	-2.738
0.075	-2.993
0.085	-2.932
0.095	-2.625
0.105	-2.933
0.115	-2.529
0.125	-2.626
0.135	-2.734
0.145	-2.642
0.155	-2.422
0.165	-2.784
0.175	-2.334
0.185	-2.613
0.195	-2.813
0.205	-2.598
0.215	-2.641
0.225	-2.863
0.235	-2.902
0.245	-2.881
0.255	-2.645
0.265	-2.776
0.275	-2.843
0.285	-2.534
0.295	-2.599
0.305	-2.688
0.315	-2.671
0.325	-2.691
0.435	-2.591
0.445	-2.527
0.455	-2.88
0.465	-2.55
0.475	-2.62
0.485	-2.699
0.495	-2.576
0.505	-2.965
0.515	-2.64
0.525	-2.681
0.535	-2.666
0.545	-2.718
0.555	-2.648
0.565	-2.825
0.575	-2.495
0.585	-2.673
0.595	-2.688
0.605	-2.771
0.615	-2.503
0.625	-2.527
0.635	-2.646
0.645	-2.75
0.655	-2.51
0.665	-2.675
0.675	-2.626
0.685	-2.522
0.695	-2.674
0.705	-2.52
0.715	-2.596
0.725	-2.826
0.735	-2.469
0.745	-2.471
0.755	-2.716
0.765	-2.48
0.775	-2.623
0.785	-2.715
0.795	-2.414
0.805	-2.468
0.815	-2.509
0.825	-2.636
0.835	-2.41
0.845	-2.679
0.855	-2.467
0.865	-2.62
0.875	-2.536
0.885	-2.535
0.895	-2.672
0.905	-2.349
0.915	-2.719
0.925	-2.501
0.935	-2.563
0.945	-2.516
0.955	-2.583
0.965	-2.475
0.985	-2.499
0.995	-2.571
1.005	-2.672
1.015	-2.466
1.025	-2.365
1.035	-2.299
1.045	-2.595
1.055	-2.367
1.065	-2.501
1.075	-2.55
1.085	-2.483
1.095	-2.432
1.105	-2.381
1.115	-2.614
1.125	-2.478
1.135	-2.282
1.145	-2.437
1.155	-2.236
1.165	-2.516
1.175	-2.528
1.185	-2.356
1.195	-2.272
1.205	-2.405
1.215	-2.455
1.225	-2.25
1.235	-2.488
1.245	-2.622
1.255	-2.192
1.265	-2.195
1.275	-2.47
1.285	-2.321
1.295	-2.403
1.305	-2.137
1.315	-2.23
1.325	-2.038
1.335	-2.29
1.345	-2.183
1.355	-2.093
1.365	-2.053
1.375	-1.976
1.385	-1.875
1.395	-2.206
1.405	-1.989
1.415	-1.862
1.425	-2.027
1.435	-1.889
1.445	-1.826
1.455	-1.878
1.465	-1.961
1.475	-1.849
1.485	-1.894
1.495	-1.928
1.505	-1.769
1.515	-1.901
1.525	-1.671
1.535	-1.814
1.545	-1.781
1.555	-1.982
1.565	-1.992
1.575	-1.895
1.585	-1.69
1.595	-1.864
1.605	-1.803
1.615	-1.77
1.625	-1.833
1.635	-1.511
1.645	-1.717
1.655	-1.751
1.665	-1.654
1.675	-1.771
1.685	-1.797
1.695	-1.65
1.705	-1.571
1.715	-1.764
1.725	-1.546
1.735	-1.569
1.745	-1.416
1.755	-1.604
1.765	-1.375
1.775	-1.526
1.785	-1.109
1.795	-1.363
1.805	-1.119
1.815	-1.218
1.825	-1.169
1.835	-1.325
1.845	-1.288
1.855	-1.553
1.865	-1.41
1.875	-1.285
1.885	-0.981
1.895	-1.256
1.905	-1.124
1.915	-1.568
1.925	-0.978
1.935	-1.164
1.945	-1.105
1.955	-1.147
1.965	-1.24
1.975	-1.141
1.985	-1.069
1.995	-1.115
2.005	-1.092
2.025	-1.097
2.045	-1.046
2.065	-1.036
2.085	-1.115
2.105	-0.977
2.125	-0.923
2.145	-1.067
2.165	-1.22
2.185	-0.959
2.205	-1.248
2.225	-0.796
2.245	-1.1
2.265	-1.062
2.285	-1.242
2.305	-0.983
2.325	-1.025
2.345	-1.151
2.365	-0.824
2.385	-1.364
2.405	-1.168
2.425	-1.043
2.445	-1.128
2.465	-1.234
2.485	-1.207
2.505	-1.146
2.525	-1.133
2.545	-1.205
2.565	-1.15
2.585	-1.001
2.605	-1.104
2.625	-1.254
2.645	-1.3
2.665	-1.356
2.685	-1.026
2.705	-1.196
2.725	-1.177
2.745	-1.141
2.765	-1.228
2.785	-1.108
2.805	-1.093
2.825	-1.282
2.845	-1.273
2.865	-1.118
2.885	-0.872
2.905	-1.069
2.925	-1.204
2.945	-1.246
2.965	-1.116
2.985	-1.334
3.005	-1.457
3.025	-1.21
3.045	-1.283
3.065	-1.54
3.085	-1.611
3.105	-1.254
3.125	-1.521
3.145	-1.469
3.165	-1.362
3.185	-1.437
3.205	-1.461
3.225	-1.191
3.245	-1.431
3.265	-1.35
3.285	-1.513
3.305	-1.409
3.325	-1.371
3.345	-1.345
3.365	-1.555
3.385	-1.195
3.405	-1.569
3.425	-1.164
3.445	-1.435
3.465	-1.274
3.485	-1.551
3.505	-1.442
3.525	-1.625
3.545	-1.411
3.565	-1.374
3.585	-1.29
3.605	-1.432
3.625	-1.364
3.645	-1.653
3.665	-1.108
3.685	-1.585
3.705	-1.293
3.725	-1.73
3.745	-1.409
3.765	-1.622
3.785	-1.307
3.805	-1.284
3.825	-1.507
3.845	-1.51
3.865	-1.549
3.885	-1.62
3.905	-1.757
3.925	-1.565
3.945	-1.792
3.965	-1.564
3.985	-1.701
4.005	-1.858
4.025	-1.458
4.045	-1.453
4.065	-1.45
4.085	-1.612
4.105	-1.533
4.125	-1.599
4.145	-1.809
4.165	-1.949
4.185	-1.816
4.205	-1.788
4.225	-1.641
4.245	-1.63
4.265	-1.666
4.285	-1.379
4.305	-1.446
4.325	-1.747
4.345	-1.354
4.365	-1.514
4.385	-1.453
4.405	-1.521
4.425	-1.336
4.445	-1.64
4.465	-1.575
4.485	-1.486
4.505	-1.545
4.525	-1.863
4.545	-1.556
4.565	-1.504
4.585	-1.371
4.605	-1.629
4.625	-1.402
4.645	-1.695
4.665	-1.668
4.685	-1.413
4.705	-1.303
4.725	-1.552
4.745	-1.348
4.765	-1.368
4.785	-1.548
4.805	-1.673
4.825	-1.422
4.845	-1.554
4.865	-1.673
4.885	-1.48
4.905	-1.645
4.925	-1.343
4.945	-1.472
4.965	-1.399
4.985	-1.364
5.005	-1.253
5.025	-1.295
5.045	-1.551
5.065	-1.509
5.085	-1.662
5.105	-1.638
5.125	-1.641
5.145	-1.458
5.165	-1.677
5.185	-1.788
5.205	-1.555
5.225	-1.768
5.245	-1.485
5.265	-1.674
5.285	-1.534
5.305	-1.569
5.325	-1.421
5.345	-1.503
5.365	-1.441
5.385	-1.555
5.405	-1.247
5.425	-1.567
5.445	-1.393
5.465	-1.493
5.485	-1.636
5.505	-1.6
5.525	-1.652
5.545	-1.724
5.565	-1.537
5.585	-1.648
5.605	-1.499
5.625	-1.535
5.645	-1.64
5.665	-1.464
5.685	-1.553
5.705	-1.55
5.725	-1.657
5.745	-1.533
5.765	-1.822
5.785	-1.433
5.805	-1.85
5.825	-1.676
5.845	-1.859
5.865	-1.625
5.885	-1.574
5.905	-1.62
5.925	-1.649
5.945	-2.086
5.965	-1.724
5.985	-1.773
6.005	-1.884
6.025	-1.616
6.045	-1.626
6.065	-1.58
6.085	-1.712
6.105	-1.569
6.125	-1.604
6.145	-1.722
6.165	-1.493
6.185	-1.786
6.205	-1.577
6.225	-1.641
6.245	-1.691
6.265	-1.807
6.285	-1.783
6.305	-2.039
