depth	d18O
0.01	-2.4
0.06	-2.24
0.16	-2.44
0.26	-1.93
0.36	-1.93
0.46	-0.79
0.56	-0.66
0.66	-0.57
0.76	-0.53
0.86	-0.92
0.96	-0.91
1.06	-0.9
1.16	-1.04
1.26	-1.21
1.36	-1.05
1.46	-1.37
1.56	-1.32
1.66	-1.48
1.76	-1.32
1.86	-1.22
1.96	-1.68
2.06	-1.65
2.16	-1.82
2.26	-1.7
2.36	-1.24
2.46	-1.6
2.56	-0.81
2.66	-1.4
2.76	-1.72
2.86	-1.52
2.96	-1.7
3.06	-1.64
3.16	-1.6
3.26	-1.74
3.36	-2.17
3.46	-2.25
3.56	-2.08
3.66	-1.51
3.76	-1.46
3.86	-1.05
3.96	-1.63
4.06	-0.57
4.16	-0.47
4.26	-0.62
