depth	d18O
0.01	-2.524
0.04	-2.61116666666667
0.07	-2.55633333333333
0.1	-2.50666666666667
0.13	-2.664
0.16	-2.55866666666667
0.19	-2.61333333333333
0.22	-2.62
0.25	-2.52833333333333
0.28	-2.47733333333333
0.31	-2.618
0.34	-2.5775
0.37	-2.57666666666667
0.4	-2.63
0.43	-2.62933333333333
0.46	-2.643
0.49	-2.593
0.52	-2.5715
0.55	-2.58533333333333
0.58	-2.647
0.61	-2.63066666666667
0.64	-2.59633333333333
0.67	-2.68933333333333
0.7	-2.658
0.73	-2.4975
0.76	-2.54066666666667
0.79	-2.50966666666667
0.82	-2.48216666666667
0.85	-2.47033333333333
0.88	-2.48833333333333
0.91	-2.4205
0.94	-2.364
0.97	-2.51833333333333
1	-2.34777776666667
1.03	-2.49166666666667
1.06	-2.50883333333333
1.09	-2.50816666666667
1.12	-2.50483333333333
1.15	-2.54466666666667
1.18	-2.59033333333333
1.21	-2.5505
1.24	-2.56733333333333
1.27	-2.43366666666667
1.3	-2.49266666666667
1.33	-2.56533333333333
1.36	-2.487
1.39	-2.4395
1.42	-2.36866666666667
1.45	-2.29233333333333
1.48	-2.444
1.51	-2.37733333333333
1.54	-2.2565
1.57	-2.07733333333333
1.6	-1.93166666666667
1.63	-1.84766666666667
1.66	-1.95633333333333
1.69	-1.95233333333333
1.72	-1.922
1.75	-1.90433333333333
1.78	-1.824
1.81	-1.94816666666667
1.84	-1.92266666666667
1.87	-1.91966666666667
1.9	-2.02883333333333
1.93	-1.93816666666667
1.96	-1.945
1.99	-2.09233333333333
2.02	-2.07166666666667
2.05	-2.10133333333333
2.08	-1.98733333333333
2.11	-1.903
2.14	-1.84833333333333
2.17	-1.8855
2.2	-1.78466666666667
2.23	-1.64166666666667
2.26	-1.43633333333333
2.29	-1.47283333333333
2.32	-1.63333333333333
2.35	-1.46966666666667
2.38	-1.40666666666667
2.41	-1.31866666666667
2.44	-1.2385
2.47	-1.39633333333333
2.5	-1.47133333333333
2.54	-1.48733333333333
2.57	-1.53933333333333
2.6	-1.38933333333333
2.63	-1.471
2.66	-1.41066666666667
2.69	-1.35633333333333
2.72	-1.38166666666667
2.75	-1.47733333333333
2.78	-1.43166666666667
2.81	-1.47466666666667
2.84	-1.4665
2.87	-1.41633333333333
2.9	-1.468
2.93	-1.55266666666667
2.96	-1.54316666666667
2.99	-1.50733333333333
3.02	-1.52933333333333
