depth	d18O
0.1	-2.854
0.2	-3.087
0.3	-2.782
0.4	-3.083
0.5	-2.772
0.6	-2.329
0.7	-1.365
0.8	-1.529
0.9	-1.365
1	-1.641
1.1	-1.432
1.2	-1.309
1.3	-1.728
1.4	-1.397
1.5	-1.542
1.6	-1.543
1.7	-1.409
1.8	-1.522
1.9	-1.796
2	-1.684
2.1	-1.839
2.2	-1.617
2.3	-1.993
2.4	-1.582
2.5	-1.727
2.6	-2.394
2.7	-1.768
2.8	-1.594
2.9	-2.182
3	-2.274
3.1	-1.988
3.2	-1.975
3.3	-2.132
3.4	-2.216
3.5	-2.134
3.6	-2.384
3.7	-2.147
3.8	-2.292
3.9	-2.122
4	-2.092
4.1	-2.249
4.2	-2.532
4.3	-2.323
4.4	-2.407
4.5	-1.901
4.6	-1.49
4.7	-1.933
4.8	-1.857
4.9	-2.089
5	-1.781
5.2	-2.166
5.3	-1.871
5.4	-2.16
5.5	-2.282
5.6	-2.546
5.7	-2.726
5.8	-2.688
5.9	-2.446
6	-2.415
6.1	-2.554
6.2	-1.97
6.3	-2.378
6.4	-2.437
6.5	-2.793
6.6	-2.199
6.7	-2.362
6.8	-2.376
6.9	-2.778
7	-3.129
7.1	-2.615
7.2	-3.008
7.3	-2.89
7.4	-2.273
7.5	-2.295
7.6	-2.683
7.7	-2.666
7.8	-2.755
7.9	-3.255
8	-3.188
8.1	-3.322
8.2	-2.503
8.3	-1.891
8.4	-1.793
8.5	-1.994
8.6	-1.999
8.7	-1.897
8.8	-1.704
8.9	-1.686
9	-1.85
