depth	d18O
0.25	-2.61
0.3	-2.61
0.35	-2.48
0.4	-2.56
0.45	-2.61
0.5	-2.56
0.55	-2.58
0.6	-2.49
0.65	-2.41
0.7	-2.53
0.75	-2.41
0.8	-2.49
0.85	-2.43
0.9	-2.49
0.95	-2.23
1	-2.55
1.05	-2.45
1.1	-2.02
1.14	-1.99
1.2	-1.95
1.3	-2.11
1.35	-2.12
1.41	-1.96
1.45	-1.92
1.55	-1.67
1.6	-1.28
1.65	-1.33
1.7	-1.42
1.75	-1.5
1.8	-1.42
1.85	-1.25
1.96	-1.38
2	-1.46
2.05	-1.62
2.1	-1.65
2.15	-1.56
2.2	-1.46
2.25	-1.57
2.3	-1.36
2.35	-1.37
2.4	-1.55
2.45	-1.62
2.5	-1.59
2.55	-1.82
2.6	-1.94
2.65	-1.73
2.7	-1.78
2.75	-1.89
2.8	-1.96
2.85	-2.02
2.9	-1.99
2.95	-1.93
2.99	-1.99
3.1	-2.16
3.2	-1.93
3.3	-1.8
3.4	-2
3.5	-2
3.6	-1.8
3.7	-1.81
3.8	-1.98
3.9	-2.01
4	-1.98
4.1	-2.05
4.2	-2.03
4.3	-2.2
4.4	-2.12
4.59	-2.11
4.79	-2.27
4.99	-2
5.19	-1.99
5.39	-1.63
5.59	-1.79
6.02	-2
6.19	-2.06
6.39	-2.2
6.59	-2.09
6.79	-1.97
6.99	-1.8
7.19	-1.96
7.39	-2.17
7.6	-2.08
8.22	-2.1
8.6	-2.61
8.8	-2.38
9	-2.2
9.2	-2.07
9.4	-1.7
9.6	-1.5
9.8	-1.43
10.1	-1.46
