depth(m)	initial_age(kiloyear)
5.33	304.5
5.38	309.625
5.44	314.75
5.5	319.875
5.55	325.0
5.7	334.294
5.8	338.941
5.91	300.98
5.91	343.588
6.01	304.9
6.11	308.83
6.11	352.882
6.26	357.529
6.27	315.11
6.41	362.176
6.71	332.38
6.71	366.824
6.77	334.74
6.77	371.471
7.01	344.16
7.01	376.118
7.11	348.08
7.11	380.765
7.28	354.76
7.28	385.412
7.45	390.059
7.61	367.71
7.75	399.353
7.76	373.6
7.86	410.0
7.97	418.0
8.07	420.0
8.21	391.26
8.21	422.0
8.42	437.1
8.63	444.78
8.84	452.47
9.05	460.16
9.26	432.48
9.26	468.6
9.81	491.3
10.01	462.92
10.11	467.85
10.11	504.94
10.16	507.21
10.21	472.77
10.21	509.49
10.24	510.85
10.27	512.21
10.31	477.69
10.31	514.03
10.34	515.4
10.37	518.25
10.41	482.62
10.43	524.35
10.51	487.54
10.51	532.48
10.61	492.46
10.61	542.65
10.73	498.37
10.73	554.84
10.88	570.09
11.01	582.66
11.11	589.61
11.21	522.01
11.31	526.93
11.42	611.16
11.52	537.27
11.52	618.12
11.61	624.38
11.62	542.19
11.71	546.62
11.91	556.47
12.01	666.78
12.1	565.83
12.26	693.92
12.36	578.63
12.47	699.71
12.71	595.86
12.81	600.78
12.81	705.88
12.91	605.71
13.01	610.63
13.1	615.06
13.21	620.48
13.21	708.7
13.31	625.4
13.59	639.19
13.63	711.0
13.73	646.08
13.89	653.96
14.74	715.0
14.8	698.76
14.8	717.0
14.9	703.69
14.9	719.13
14.95	723.07
15.01	727.79
15.1	713.53
15.1	734.86
15.16	738.73
15.19	740.24
15.22	741.74
15.28	744.76
15.33	724.86
15.33	747.27
15.39	750.29
15.45	753.67
15.51	757.65
15.57	736.67
15.57	761.62
15.68	742.09
15.68	764.0
15.78	772.0
15.83	776.0
15.88	751.94
15.88	780.0
15.93	784.0
15.98	756.86
15.98	788.0
16.01	790.0
16.04	791.5
16.09	793.0
16.1	762.77
16.1	795.0
16.3	772.61
16.3	799.0
16.35	801.0
16.4	777.54
16.4	803.0
16.5	782.47
16.5	805.0
16.6	787.41
16.7	809.0
16.8	797.29
16.8	813.0
16.9	802.24
