depth(m)	initial_age(kiloyear)
140.38	2618.445392
140.44	2620.831058
140.5	2623.216724
140.56	2625.602389
140.62	2627.988055
140.68	2630.37372
140.74	2632.759386
140.8	2635.145051
140.86	2637.530717
140.92	2639.916382
140.98	2642.302048
141.22	2651.84471
141.28	2654.230375
141.34	2656.616041
141.4	2659.001706
141.46	2661.387372
141.52	2663.773038
141.58	2666.158703
141.64	2668.544369
141.7	2670.930034
141.76	2673.3157
141.82	2675.701365
141.88	2678.087031
141.94	2680.472696
142.0	2682.858362
142.06	2685.244027
142.11	2687.232082
142.18	2690.015358
142.24	2692.401024
142.36	2697.172355
142.42	2699.55802
