Depth	d18O
3.97	4.78
4.02	4.8
4.07	4.71
4.12	4.65
4.17	4.21
4.22	4.69
4.27	4.32
4.32	4.01
4.37	4.1
4.42	4.04
4.47	4.5
4.52	4.1
4.57	4.38
4.62	4.62
4.67	4.54
4.72	4.6
4.77	4.37
4.82	4.3
4.87	4.29
4.92	4.25
4.97	4.39
5.02	4.42
5.07	4.66
5.12	4.84
5.22	4.84
5.27	4.7
5.32	4.76
5.37	4.83
5.42	4.35
5.47	4.81
5.52	5.08
5.57	4.68
5.62	4.8
5.67	4.97
5.72	4.98
5.77	4.79
5.82	4.82
5.87	4.87
5.92	4.76
5.97	4.75
6.02	4.45
6.07	4.49
6.12	4.07
6.17	4.6
6.22	4.56
6.27	4.69
6.32	4.81
6.37	4.79
6.42	4.47
6.47	4.55
6.52	4.62
6.57	4.53
6.62	4.59
6.67	4.48
6.72	4.32
6.77	4.35
6.82	4.19
6.87	4.31
6.92	4.96
6.97	4.81
7.02	4.81
7.07	4.78
7.12	4.69
7.17	4.61
7.22	4.61
7.27	4.46
7.32	4.74
7.37	4.92
7.42	4.94
7.47	4.78
7.52	4.75
7.57	4.62
7.62	4.39
7.67	4.66
7.72	4.48
7.77	4.5
7.82	4.62
7.87	4.33
