Depth	d18O
30.96	3.28
31.24	3.35
31.32	3.22
31.36	3.34
31.4	3.31
31.44	3.29
31.52	3.34
31.6	3.25
31.64	3.51
31.68	3.61
31.84	3.44
31.96	3.32
32	3.52
32.04	3.56
32.08	3.45
32.12	3.58
32.16	3.49
32.2	3.57
32.24	3.74
32.28	3.56
32.32	3.60
32.36	3.57
32.4	3.67
32.44	3.58
32.48	3.44
32.52	3.44
32.56	3.14
32.6	3.34
32.64	3.33
32.68	3.21
32.72	3.35
32.76	3.11
32.8	3.21
32.84	3.16
32.88	3.20
32.92	3.14
32.96	3.04
33.24	2.97
33.28	2.61
33.32	2.64
33.36	2.51
33.4	2.52
33.44	2.49
33.48	2.41
33.52	2.43
33.56	2.38
33.6	2.40
33.64	2.35
33.68	2.73
33.72	2.98
33.8	3.02
33.84	3.79
34.08	3.53
34.24	4.28
34.28	3.85
34.32	4.58
