depth(m)	initial_age(kiloyear)
0.02	3.0
0.1	6.1
0.2	9.3
0.3	12.5
0.4	17.4
0.5	23.1
0.6	29.5
0.7	36.7
0.8	44.8
0.9	53.5
1.0	61.8
1.1	67.8
1.2	73.8
1.3	79.5
1.4	84.0
1.5	88.4
1.6	93.6
1.7	98.6
1.8	103.6
1.9	108.5
2.0	113.2
2.1	117.7
2.2	122.2
2.4	132.2
2.5	137.0
2.6	141.8
2.7	146.6
2.8	151.4
2.9	158.4
3.0	167.4
3.1	176.9
3.2	185.0
3.3	189.6
3.4	194.0
3.5	200.5
3.6	208.0
3.7	215.1
3.8	220.6
3.9	226.1
4.0	231.6
4.1	237.3
4.2	243.4
4.3	250.0
4.4	256.8
4.5	263.6
4.6	270.2
4.7	276.4
4.8	282.1
4.9	287.4
5.0	292.5
5.1	298.0
