Depth	d18O
0.04	3.7
0.09	4.88
0.19	5.08
0.29	4.93
0.59	4.57
0.69	4.5
0.79	4.39
0.89	4.4
0.99	4.36
1.09	4.4
1.19	4.41
1.29	4.45
1.39	4.27
1.49	4.39
1.59	4.58
1.69	4.44
1.79	4.62
2.09	4.01
2.19	3.9
2.235	3.44
2.335	3.87
2.435	3.76
2.535	4.09
2.635	4.41
2.69	4.37
2.835	4.49
3.09	4.55
3.19	4.12
3.235	4.42
3.39	3.79
3.49	4.08
3.59	4.05
3.635	4.1
3.735	3.82
3.835	4.05
3.935	4.01
3.98	3.72
4.09	3.66
4.135	3.71
4.235	4.38
4.335	4.84
4.435	4.54
4.535	4.71
4.635	4.56
4.735	4.74
4.835	4.23
4.935	4.25
5.035	4.13
5.135	3.94
