depth(m)	initial_age(kiloyear)
26.82	543.09
26.89	544.6
27.02	547.41
27.11	549.35
27.2	551.29
27.32	553.89
27.4	555.61
27.52	558.2
27.61	560.15
27.72	562.52
27.82	564.68
27.85	565.33
27.9	566.41
28.02	569.0
28.1	570.73
28.2	572.88
28.315	575.37
28.4	577.2
28.515	579.69
28.6	581.48
28.65	582.49
28.72	583.91
28.85	586.55
29.07	591.02
29.15	592.64
29.22	594.06
29.4	597.71
29.51	599.94
29.6	601.77
29.7	603.73
29.815	605.89
29.9	607.49
30.03	609.93
30.1	611.25
30.15	612.19
30.27	614.45
30.36	616.14
30.45	617.83
30.6	620.65
30.65	621.68
30.68	622.33
30.765	624.19
30.82	625.39
30.9	627.13
31.015	629.64
31.1	631.5
31.2	633.68
31.315	636.19
31.4	638.04
31.52	640.66
31.7	644.59
31.81	646.99
31.9	648.95
32.05	652.23
32.15	654.41
32.3	657.68
32.4	659.86
32.56	663.35
32.64	664.99
32.77	667.83
32.85	669.68
32.94	671.54
33.04	673.83
33.15	676.23
33.24	678.08
33.3	679.5
33.4	681.68
33.54	684.74
33.66	687.36
33.8	690.41
33.9	692.6
34.105	697.07
34.23	699.8
