depth(m)	initial_age(kiloyear)
62.032	301.38
62.332	303.45
62.632	305.52
62.932	307.59
63.232	309.66
63.532	311.73
63.832	313.8
64.092	315.59
64.442	318.01
64.742	320.08
65.042	322.15
65.342	324.22
65.632	326.22
65.972	328.57
66.232	330.36
66.532	332.43
66.832	334.5
67.133	336.58
67.432	338.7
67.732	340.88
68.032	343.06
68.332	345.24
68.624	347.36
68.924	349.54
69.224	351.72
69.834	356.15
70.029	357.57
70.174	358.63
70.434	360.51
70.724	362.62
71.034	364.87
71.334	367.06
71.634	369.24
71.934	371.42
72.214	373.45
72.534	375.78
72.814	377.81
73.134	380.14
73.434	382.31
74.034	385.81
74.341	387.6
74.641	389.36
74.941	391.11
75.241	392.86
75.541	394.61
75.841	396.37
76.141	398.12
76.741	401.62
77.041	403.38
77.341	405.13
77.641	406.88
77.961	408.75
78.266	410.53
78.566	412.28
78.866	414.04
79.176	415.85
79.476	417.6
80.376	422.86
80.676	424.61
80.976	426.36
81.306	428.34
81.586	431.43
81.906	434.97
82.166	437.49
82.496	439.93
82.786	442.08
83.106	444.44
83.406	446.66
83.78	449.43
84.12	451.94
84.42	454.16
84.72	456.38
85.02	458.6
85.33	460.89
85.63	463.11
85.93	465.33
86.23	467.55
86.52	469.7
86.82	471.92
87.12	474.13
87.42	476.35
87.72	478.57
88.01	480.72
88.31	482.94
88.49	484.27
88.79	486.49
89.09	488.71
89.39	490.93
89.69	492.51
90.01	494.2
90.3	495.73
90.6	497.32
90.9	498.91
91.2	500.49
91.49	502.02
91.8	503.66
92.11	505.3
92.41	506.88
92.71	508.47
93.01	510.06
93.33	511.75
93.63	513.48
93.97	516.1
94.23	518.09
94.53	520.4
94.83	522.71
95.044	524.35
95.334	526.58
95.644	528.97
95.944	531.27
96.244	533.58
96.544	536.0
96.844	538.67
97.154	541.43
97.454	544.1
97.754	546.78
98.054	549.45
98.374	552.3
98.674	554.49
98.974	556.32
99.274	558.15
99.574	559.98
99.909	562.03
100.209	563.86
100.509	565.69
100.809	567.52
101.109	569.35
101.409	571.18
101.699	572.95
102.019	574.91
102.319	576.74
102.599	578.45
102.919	580.4
103.219	582.29
103.519	584.19
103.819	586.08
104.119	587.98
104.419	589.87
104.719	591.77
104.944	593.19
105.134	594.39
106.154	600.83
106.454	602.72
106.754	604.62
107.054	606.51
107.354	608.41
107.654	610.3
107.964	612.26
108.263	614.15
108.564	616.05
108.864	617.95
109.164	619.84
109.794	625.19
109.864	625.92
110.384	631.33
110.623	633.82
110.763	635.28
111.083	638.61
111.383	641.74
111.683	644.86
111.983	647.99
112.303	651.32
112.613	654.55
113.013	658.71
113.393	662.69
113.813	667.26
114.113	670.53
114.413	673.8
114.713	677.07
114.831	678.35
115.021	680.42
115.321	683.69
115.631	687.06
115.931	690.28
116.231	692.27
116.531	694.26
116.921	696.84
117.131	698.24
