depth(m)	initial_age(kiloyear)
8.19	301.11
8.22	304.48
8.25	307.85
8.28	311.22
8.31	314.59
8.34	317.96
8.4	324.7
8.43	328.07
8.49	334.4
8.52	336.63
8.55	338.61
8.58	340.41
8.61	342.2
8.64	344.0
8.67	345.8
8.7	347.6
8.73	349.39
8.76	351.19
8.79	352.94
8.82	354.62
8.85	356.31
8.88	357.99
8.94	361.36
8.97	363.05
9.03	366.42
9.06	368.1
9.09	369.79
9.14	372.59
9.18	374.84
9.24	378.21
9.27	379.9
9.3	381.6
9.33	383.4
9.36	385.2
9.39	386.99
9.42	388.79
9.45	390.59
9.46	391.19
9.48	392.39
9.51	394.18
9.53	395.38
9.54	395.98
9.57	397.78
9.6	399.58
9.63	401.37
9.66	403.17
9.69	404.97
9.72	406.76
9.75	408.56
9.78	410.36
9.81	412.16
9.84	413.95
9.87	415.75
9.9	417.55
9.93	419.35
9.96	421.14
9.99	422.94
10.02	424.63
10.03	425.19
10.05	426.3
10.08	427.92
10.1	429.0
10.11	429.53
10.14	431.08
10.17	432.62
10.2	434.15
10.23	435.5
10.26	436.85
10.29	438.2
10.32	439.55
10.35	440.89
10.37	441.79
10.38	442.24
10.41	443.59
10.44	444.94
10.47	446.28
10.5	447.63
10.52	448.53
10.53	449.03
10.59	452.11
10.62	453.67
10.65	455.28
10.68	456.91
10.71	458.59
10.74	460.31
10.77	462.11
10.8	463.91
10.85	466.9
10.89	469.3
10.92	471.1
10.95	472.9
10.98	474.69
11.01	476.49
11.04	478.29
11.07	480.08
11.1	481.88
11.13	483.68
11.18	486.67
11.22	489.07
11.25	490.87
11.28	492.67
11.31	494.46
11.34	496.48
11.37	498.55
11.4	500.79
11.43	503.04
11.46	505.29
11.49	507.53
11.52	509.78
11.55	512.03
11.58	514.27
11.61	516.52
11.64	518.77
11.67	521.01
11.7	523.26
11.73	525.51
11.74	526.26
11.79	530.0
