Depth	d18O
13.49	3.75
13.59	3.5
13.68	3.95
13.78	3.59
13.88	3.71
13.99	2.84
14.09	3.67
14.19	3.47
14.29	3.7
14.39	3.73
14.52	4.15
14.62	3.93
14.72	3.48
15.02	4.07
15.22	3.5
15.32	3.57
15.39	3.38
15.52	3.58
15.53	3.21
15.61	2.71
15.72	3.06
15.83	2.9
16.3	3.39
16.4	3.98
16.5	3.86
16.6	4.01
16.71	3.97
16.8	4.25
17.21	4.6
17.3	5.08
17.41	4.84
17.6	4.72
18.3	4.45
18.4	4.17
18.51	4.01
18.61	4.51
18.71	4.34
18.8	4.48
18.9	4.63
19.0	4.73
19.1	4.5
19.3	5.33
19.7	5.4
19.8	5.04
19.9	4.63
20.01	4.84
20.2	4.63
20.3	4.87
20.4	4.45
20.5	4.14
