Depth	d18O
3.98	3.75
4.0	3.84
4.02	3.84
4.04	3.93
4.06	3.8
4.08	3.86
4.1	4.06
4.12	3.99
4.14	4.07
4.16	4.1
4.18	4.09
4.2	4.02
4.22	4.09
4.24	4.0
4.26	4.11
4.28	4.11
4.3	4.25
4.38	4.12
4.44	4.23
4.46	3.17
4.48	4.19
4.5	4.13
4.52	3.95
4.54	3.89
4.56	3.99
4.58	3.95
4.6	3.64
4.62	3.38
4.64	3.89
4.66	3.25
4.68	3.53
4.7	3.33
4.72	3.49
4.74	3.33
4.76	3.18
4.78	3.39
4.8	3.1
4.82	3.13
4.84	3.37
4.86	3.94
4.88	3.37
4.9	3.48
4.92	3.54
4.94	3.79
4.96	3.77
4.98	3.58
5.0	3.8
5.02	4.93
5.04	3.11
5.06	4.3
5.08	3.82
5.1	4.23
5.12	4.01
5.14	3.91
5.16	4.02
5.18	3.21
5.2	4.98
5.22	4.9
5.24	4.92
5.26	4.93
5.28	4.94
5.3	4.93
5.34	4.9
5.36	4.92
5.38	4.9
5.4	5.03
5.42	4.92
5.44	4.77
5.46	4.79
5.48	4.87
5.5	4.86
5.52	4.8
5.54	4.87
5.56	4.79
5.58	4.76
5.6	4.77
5.62	4.8
5.64	4.72
5.66	4.82
5.68	4.7
5.7	4.98
5.72	4.79
5.74	4.68
5.8	4.77
5.9	4.79
6.0	4.8
6.1	4.57
6.2	4.63
6.3	4.52
6.4	4.61
6.5	4.49
6.65	4.44
6.8	4.42
6.9	4.65
7.1	4.59
7.2	4.49
7.3	4.48
7.5	4.12
7.6	4.0
7.7	3.8
7.8	3.49
7.9	3.95
8.0	3.69
8.1	3.64
8.2	3.38
8.3	3.48
8.4	4.56
8.6	4.27
8.7	3.69
8.8	3.56
8.9	4.42
9.0	4.69
9.1	4.69
9.2	4.57
9.3	4.57
9.4	4.54
9.5	4.58
9.6	4.65
9.7	4.62
9.8	4.51
9.9	4.34
10.0	3.92
10.1	3.8
10.2	3.88
10.3	4.3
10.4	4.44
