depth(m)	initial_age(kiloyear)
12.0	100.72
12.1	102.03
12.2	103.33
12.3	104.64
12.4	105.94
12.5	107.24
12.6	108.55
12.7	109.86
12.8	111.17
12.9	112.49
13.0	113.82
13.1	115.14
13.2	116.46
13.3	117.77
13.4	119.07
13.5	120.36
13.6	121.63
13.7	122.9
13.8	124.17
13.9	125.43
14.0	126.7
14.1	127.97
14.2	129.25
14.3	130.52
14.4	131.8
14.5	133.08
14.6	134.35
14.7	135.63
14.8	136.91
14.9	138.18
15.0	139.45
15.1	140.71
15.2	141.98
15.3	143.26
15.4	144.57
15.5	145.9
15.6	147.25
15.7	148.63
15.8	150.04
15.9	151.47
16.0	152.92
16.1	154.39
16.2	155.87
16.3	157.37
16.4	158.87
16.49	160.23
16.69	163.26
16.89	166.28
17.09	169.27
17.29	172.21
17.49	175.11
17.69	177.97
17.89	180.81
17.99	182.22
18.19	185.03
18.39	187.83
18.59	190.65
18.79	193.5
18.99	196.41
19.19	199.41
19.39	202.5
19.47	203.75
19.67	206.85
19.87	209.88
20.07	212.8
20.27	215.62
20.47	218.33
20.67	220.95
20.87	223.48
20.97	224.72
21.17	227.15
21.37	229.52
21.57	231.85
21.77	234.15
21.97	236.42
22.17	238.66
22.37	240.89
22.48	242.11
22.68	244.3
22.88	246.48
23.08	248.62
23.28	250.74
23.48	252.81
23.68	254.87
23.88	256.94
23.98	257.99
24.18	260.1
24.38	262.26
24.58	264.46
24.78	266.7
24.98	268.99
25.18	271.33
25.46	274.81
25.66	277.25
25.87	279.71
26.06	282.18
26.26	284.63
26.46	287.07
26.66	289.49
26.87	291.9
26.96	293.11
27.16	295.54
27.37	298.02
