depth(m)	initial_age(kiloyear)
1.9	101.58
1.95	104.93
2.0	108.3
2.05	111.68
2.1	115.06
2.15	118.41
2.2	121.73
2.25	125.0
2.3	128.2
2.35	131.34
2.4	134.43
2.45	137.47
2.5	140.48
2.55	143.46
2.6	146.41
2.65	149.36
2.7	152.3
2.75	155.25
2.8	158.21
2.85	161.2
2.9	164.21
2.95	167.26
3.0	170.36
3.05	173.51
3.1	176.72
3.15	180.01
3.2	183.37
3.25	186.82
3.3	190.35
3.35	193.95
3.4	197.62
3.45	201.34
3.5	205.12
3.55	208.94
3.6	212.79
3.65	216.68
3.7	220.59
3.75	224.51
3.8	228.43
3.85	232.36
3.9	236.28
3.95	240.19
4.0	244.07
4.05	247.92
4.1	251.74
4.15	255.51
4.2	259.23
4.25	262.89
4.3	266.48
4.35	270.0
4.4	273.44
4.45	276.81
4.5	280.13
4.55	283.39
4.6	286.62
4.65	289.82
4.7	293.0
4.75	296.18
4.8	299.36
