depth(m)	initial_age(kiloyear)
0.02	6.01
0.02	6.01
0.02	6.01
0.02	6.01
0.02	6.16
0.02	6.16
0.02	6.16
0.02	6.16
0.04	6.77
0.04	6.77
0.06	7.37
0.06	7.37
0.08	7.98
0.08	7.98
0.1	8.43
0.1	8.43
0.1	8.43
0.1	8.43
0.1	8.43
0.1	8.43
0.1	8.43
0.1	8.43
0.14	9.8
0.14	9.8
0.2	11.33
0.2	11.33
0.2	11.33
0.2	11.33
0.2	11.33
0.2	11.33
0.25	12.73
0.25	12.73
0.25	12.73
0.3	14.12
0.3	14.12
0.3	14.12
0.3	14.12
0.3	14.12
0.3	14.12
0.31	14.4
0.31	14.4
0.31	14.4
0.35	15.51
0.35	15.51
0.35	15.51
0.4	16.91
0.4	16.91
0.4	16.91
0.4	16.91
0.4	16.91
0.41	17.19
0.41	17.19
0.45	18.3
0.45	18.3
0.45	18.3
0.45	18.3
0.5	19.54
0.5	19.54
0.5	19.54
0.5	19.54
0.5	19.54
0.5	19.54
0.55	20.79
0.55	20.79
0.55	20.79
0.6	22.03
0.6	22.03
0.6	22.03
0.6	22.03
0.6	22.03
0.6	22.03
0.6	22.03
0.6	22.03
0.6	22.03
0.6	22.03
0.65	23.28
0.65	23.28
0.7	24.52
0.7	24.52
0.7	24.52
0.7	24.52
0.71	24.77
0.71	24.77
0.71	24.77
0.75	25.77
0.75	25.77
0.75	25.77
0.8	27.01
0.8	27.01
0.8	27.01
0.8	27.01
0.8	27.01
0.8	27.01
0.9	29.5
0.9	29.5
0.9	29.5
0.9	29.5
0.9	29.5
0.9	29.5
1.0	31.99
1.0	31.99
1.0	31.99
1.0	31.99
1.0	31.99
1.0	31.99
