Depth	d18O
26.82	4.94
26.89	5.0
27.02	4.57
27.11	4.84
27.2	4.84
27.32	4.91
27.4	4.82
27.52	4.71
27.61	4.61
27.72	4.43
27.82	4.2
27.85	3.94
27.9	3.88
28.02	4.02
28.1	3.77
28.2	3.4
28.315	3.46
28.4	3.62
28.515	3.56
28.6	4.48
28.65	4.64
28.72	4.58
28.85	3.93
29.07	4.29
29.15	4.19
29.22	4.43
29.4	4.22
29.51	4.06
29.6	4.14
29.7	3.79
29.815	3.85
29.9	4.01
30.03	3.42
30.1	3.56
30.15	2.93
30.27	3.59
30.36	3.9
30.45	4.0
30.6	4.25
30.65	5.23
30.68	3.98
30.765	5.34
30.82	4.59
30.9	5.47
31.015	5.52
31.1	5.48
31.2	5.39
31.315	5.32
31.4	5.31
31.52	5.28
31.7	5.22
31.81	5.25
31.9	5.17
32.05	5.03
32.15	4.99
32.3	5.1
32.4	4.94
32.56	5.16
32.64	4.92
32.77	5.0
32.85	4.73
32.94	4.82
33.04	4.86
33.15	4.82
33.24	4.65
33.3	4.88
33.4	4.04
33.54	4.15
33.66	3.91
33.8	3.68
33.9	3.72
34.105	3.8
34.23	3.94
