depth(m)	initial_age(kiloyear)
0.05	5.0
0.15	7.2
0.25	9.4
0.3	10.5
0.35	11.6
0.45	13.2
0.5	14.0
0.55	14.8
0.65	16.1
0.75	17.1
0.85	18.2
1.25	22.9
1.55	26.3
1.78	29.3
1.85	30.5
1.95	32.4
2.05	34.4
2.15	36.6
2.25	39.0
2.33	40.6
2.47	44.3
2.6	48.9
2.7	52.1
2.8	55.5
2.9	58.1
3.28	65.6
3.35	66.9
3.45	68.6
3.55	70.4
3.65	75.6
3.8	81.1
4.0	89.1
4.1	91.8
4.2	95.2
4.3	98.0
4.4	101.2
4.5	104.2
4.6	107.3
4.7	110.4
4.75	112.0
4.85	115.2
4.97	119.0
5.05	121.5
5.15	124.6
5.25	127.8
5.35	130.9
5.45	134.4
5.55	137.0
5.65	138.5
5.75	140.1
5.93	143.9
6.05	144.8
6.1	145.6
6.25	149.2
6.3	150.3
6.4	152.5
6.53	155.0
6.75	160.0
6.8	161.0
6.9	163.1
7.05	166.3
7.15	168.4
7.23	170.2
7.3	171.6
7.4	173.8
7.45	174.8
7.55	177.0
7.65	179.1
7.7	180.3
7.78	182.2
7.88	184.4
8.1	188.0
8.18	189.1
8.25	190.0
8.32	192.1
8.4	195.0
8.52	202.6
8.63	209.5
8.75	216.0
8.85	219.3
8.95	222.8
9.05	225.0
9.15	227.5
9.25	230.0
9.35	232.5
9.55	237.5
