Depth	d18O
0.1	3.31
0.2	3.29
0.3	3.4
0.31	3.28
0.4	3.71
0.45	4.88
0.55	4.79
0.6	4.59
0.7	4.77
0.78	4.64
0.8	4.81
0.88	4.69
0.9	4.75
1.0	4.56
1.05	4.41
1.1	4.35
1.2	4.24
1.28	4.17
1.45	4.27
1.55	4.25
1.65	4.12
1.75	4.41
1.82	4.23
1.9	3.99
2.0	4.17
2.1	4.13
2.15	4.03
2.22	4.09
2.37	4.32
2.47	4.98
2.67	3.87
2.77	3.76
2.87	4.12
3.09	3.8
3.19	3.93
3.4	4.08
3.55	3.96
3.75	3.53
3.82	3.94
3.98	3.72
4.08	3.88
4.18	3.95
4.28	4.05
4.38	3.83
4.48	3.49
4.58	3.11
4.65	3.08
4.81	3.95
4.91	4.31
5.01	4.54
5.21	4.66
5.31	4.33
5.41	4.41
5.71	4.2
5.88	4.23
5.96	4.89
6.06	4.29
6.16	4.23
6.36	4.14
6.68	3.64
6.78	3.5
6.88	3.48
6.98	4.56
7.08	4.15
7.28	3.45
7.33	3.51
7.5	4.33
7.6	4.29
7.7	4.38
7.8	4.45
7.9	4.37
