Depth	d18O
0.0	2.7
0.05	2.68
0.06	2.7
0.08	2.68
0.1	3.08
0.12	2.8
0.14	2.77
0.16	3.12
0.18	2.88
0.2	2.96
0.22	2.77
0.24	4.27
0.26	4.22
0.28	4.51
0.3	4.37
0.32	4.29
0.34	4.37
0.36	4.49
0.38	4.3
0.4	4.59
0.42	4.55
0.44	4.53
0.46	4.52
0.48	4.57
0.5	4.46
0.52	4.5
0.54	4.43
0.56	4.56
0.58	4.46
0.6	4.49
0.62	4.36
0.64	4.47
0.66	4.37
0.68	4.62
0.7	4.33
0.72	4.36
0.74	4.28
0.76	4.39
0.78	4.47
0.8	4.23
0.82	4.34
0.84	4.1
0.86	4.26
0.88	4.07
0.9	4.16
0.92	4.06
0.94	4.07
0.96	4.2
0.98	4.16
1.0	4.03
1.02	4.12
1.04	4.15
1.06	3.98
1.08	4.05
1.1	4.04
1.12	3.93
1.14	4.13
1.16	4.06
1.18	4.08
1.2	3.99
1.22	4.06
1.24	4.0
1.26	4.15
1.28	3.86
1.29	4.0
1.3	3.98
1.32	3.94
1.34	3.87
1.36	3.96
1.38	3.93
1.4	3.86
1.42	3.91
1.44	3.86
1.46	3.81
1.48	3.8
1.5	3.82
1.52	4.18
1.54	4.04
1.56	3.98
1.58	3.59
1.6	3.66
1.62	3.99
1.64	4.2
1.66	4.06
1.68	4.07
1.7	4.26
1.72	4.14
1.74	4.12
1.76	4.1
1.8	4.14
1.82	4.19
1.84	4.19
