Depth	d18O
0.02	3.22
0.05	3.19
0.12	3.38
0.15	3.35
0.18	3.31
0.25	3.62
0.28	3.29
0.38	3.5
0.42	4.02
0.45	4.05
0.48	4.16
0.52	4.05
0.55	3.94
0.58	4.32
0.62	4.14
0.65	4.41
0.68	4.49
0.72	4.57
0.75	4.24
0.78	4.46
0.82	4.67
0.85	4.86
0.88	4.61
0.92	4.64
0.95	4.73
0.98	4.74
1.02	4.77
1.05	4.93
1.08	4.83
1.12	4.94
1.15	4.81
1.18	4.67
1.22	4.85
1.25	4.95
1.28	4.76
1.32	4.85
1.35	4.82
1.38	4.56
1.42	4.7
1.45	4.71
1.48	4.74
1.52	4.75
1.55	5.02
1.58	4.66
1.62	4.65
1.65	4.65
1.68	4.63
1.72	4.7
1.75	4.93
1.78	4.76
1.82	4.65
1.85	4.67
1.88	4.77
1.92	4.44
1.95	4.76
1.98	4.65
2.02	4.49
2.05	4.28
2.08	4.86
2.12	4.26
2.15	4.49
2.18	4.47
2.22	4.34
2.25	4.72
2.28	4.55
2.32	4.33
2.35	4.07
2.38	4.66
2.42	4.87
2.45	4.21
2.48	4.6
2.52	4.5
2.55	4.59
2.58	4.53
2.62	4.21
2.68	4.32
2.72	4.47
2.75	4.29
2.78	4.27
2.82	4.32
2.85	4.08
2.88	4.3
2.92	4.41
2.95	4.38
2.98	4.3
3.02	4.46
3.05	4.5
3.08	4.51
3.12	4.4
3.15	4.49
3.18	4.56
3.22	4.23
3.25	4.33
3.28	4.32
3.32	4.42
3.35	4.37
3.38	4.23
3.42	4.36
3.45	4.09
3.48	4.24
3.52	4.39
3.55	4.26
3.58	3.72
3.62	4.27
3.65	4.31
3.68	4.27
3.72	4.27
3.75	4.29
3.78	4.38
3.82	4.34
3.85	4.32
3.88	4.21
3.92	4.31
3.95	4.35
3.98	4.26
4.02	3.9
4.05	4.13
4.08	4.25
4.12	4.1
4.15	4.15
4.18	4.22
4.22	4.2
4.25	4.37
4.28	4.16
4.32	4.04
4.35	4.16
4.38	4.22
4.42	4.24
4.45	4.21
4.48	4.41
4.52	4.23
4.55	4.34
4.58	4.32
4.62	4.3
4.65	4.16
4.68	4.39
4.7	4.31
4.72	4.17
4.75	4.4
4.78	4.28
4.82	4.31
4.85	4.25
4.88	4.38
4.92	4.4
4.95	4.42
4.98	4.53
5.02	4.39
5.08	4.47
5.12	4.49
5.15	4.64
5.18	4.45
5.22	4.45
5.25	4.44
5.28	4.52
5.32	4.54
5.35	4.38
5.38	4.48
5.42	4.63
5.45	4.4
5.52	4.43
5.55	4.36
5.58	4.36
5.62	4.39
5.65	4.33
5.68	4.32
5.72	4.24
5.75	4.36
5.78	4.35
5.82	4.23
5.85	4.08
5.88	4.25
5.92	4.07
5.95	4.14
5.95	4.01
6.02	4.07
6.05	4.04
6.08	4.01
6.12	3.98
6.15	3.95
6.18	3.95
6.22	3.91
6.25	3.93
6.28	3.82
6.32	3.65
6.35	3.7
6.38	3.83
6.42	3.85
6.45	3.73
6.48	3.61
6.52	3.59
6.55	3.63
6.58	3.77
6.62	3.75
6.65	3.83
6.68	3.77
6.72	3.93
6.75	3.88
6.78	4.01
6.82	4.12
6.85	4.06
6.88	3.88
6.92	3.99
6.95	3.79
6.98	3.94
7.02	3.84
7.05	3.71
7.08	3.76
7.12	3.95
7.15	3.86
7.18	3.95
7.22	3.84
7.25	3.82
7.28	3.78
7.32	3.79
7.35	3.93
7.38	3.85
7.42	3.91
7.45	3.94
7.48	3.94
7.52	4.02
7.55	4.14
7.58	4.15
7.62	4.14
7.65	3.99
7.68	3.75
7.72	3.84
7.75	3.89
7.78	3.46
7.82	3.38
7.85	3.13
7.88	3.25
7.92	3.27
7.95	2.96
7.98	2.91
8.02	3.02
8.05	3.21
8.08	3.26
8.12	3.07
8.15	2.97
8.18	3.2
8.22	3.21
8.25	3.53
8.28	3.87
8.32	4.24
8.35	3.77
8.38	4.07
8.4	4.105
8.42	4.14
8.45	4.17
8.48	4.32
8.52	3.86
8.55	4.56
8.58	4.69
8.6	4.625
8.62	4.56
8.65	4.48
8.68	4.62
8.72	4.38
8.75	4.28
8.78	4.89
8.8	4.595
8.82	4.3
8.85	4.43
8.88	4.63
8.92	4.65
8.95	4.64
8.98	4.78
9.0	4.63
9.02	4.48
9.05	4.56
9.08	4.51
9.12	4.5
9.15	4.59
9.18	4.61
9.22	4.65
9.25	4.64
9.28	4.74
9.3	4.655
9.32	4.57
9.35	4.26
9.38	4.52
9.42	4.16
9.45	4.76
9.48	4.53
9.5	4.495
9.52	4.46
9.55	4.74
9.58	4.04
9.62	4.51
9.65	4.62
9.68	4.37
9.72	4.49
9.75	4.51
9.78	4.47
9.82	3.71
9.85	4.43
9.89	4.49
9.92	4.04
9.95	4.58
9.98	4.6
10.02	4.51
10.05	4.68
10.08	4.63
10.12	4.59
10.15	4.63
10.18	4.55
10.22	4.55
10.25	4.43
10.28	4.52
10.32	4.45
10.35	4.51
10.38	4.49
10.42	4.24
10.45	4.3
10.48	4.47
10.52	4.49
10.55	4.47
10.58	4.44
10.62	4.56
10.65	4.49
10.68	4.43
10.72	4.37
10.75	4.45
10.78	4.47
10.82	4.42
10.85	4.4
10.88	4.29
10.92	4.39
10.95	4.38
10.98	4.23
11.02	4.32
11.05	4.31
11.08	4.31
11.12	4.27
11.15	4.35
11.18	4.25
11.22	4.21
11.25	4.28
11.28	4.32
11.32	4.38
11.35	4.34
11.38	4.37
11.41	4.34
11.44	4.3
11.46	4.33
11.49	4.42
11.52	4.37
11.55	4.28
11.58	4.46
11.62	4.39
11.65	4.3
11.68	4.4
11.72	4.44
11.75	4.32
11.78	4.4
11.82	4.33
11.85	4.21
11.92	4.13
11.95	4.09
11.98	4.02
12.02	3.95
12.05	4.05
12.08	3.8
12.12	3.89
12.15	3.74
12.18	3.67
12.22	3.62
12.25	3.49
12.28	3.72
12.32	3.87
12.35	3.47
12.38	3.49
12.42	3.62
12.45	3.53
12.48	3.71
12.52	3.81
12.55	3.92
12.58	3.76
12.62	3.66
12.65	3.76
12.68	3.77
12.72	3.79
12.75	3.61
12.78	3.58
12.82	3.53
12.85	3.35
12.88	3.5
12.92	3.36
12.95	3.4
12.98	3.52
13.02	3.48
13.05	3.51
13.08	3.66
13.12	3.6
13.15	3.81
13.18	4.02
13.22	4.1
13.25	4.03
13.28	4.14
13.32	4.32
13.35	4.32
13.38	4.33
13.42	4.06
13.45	4.15
13.48	4.28
13.52	4.37
13.55	4.14
13.58	4.21
13.62	4.09
13.65	3.95
13.68	3.92
13.72	4.02
13.75	4.07
13.78	4.02
13.82	3.96
13.85	4.18
13.88	3.95
13.92	4.05
13.95	4.0
13.98	4.01
14.02	3.79
14.05	3.72
14.08	3.18
14.15	3.72
14.18	3.97
14.22	3.88
14.25	4.13
14.28	4.21
