Depth	d18O
82.91	1.954
82.94	1.934
82.97	1.986
83	1.928
83.03	1.946
83.06	1.93
83.09	1.914
83.12	1.935
83.15	2.032
83.18	2.029
83.21	2.018
83.24	2.079
83.27	2.066
83.3	2.056
83.33	2.039
83.36	2.057
83.39	2.066
83.42	2.063
83.45	2.049
83.48	2.028
83.51	2.021
83.54	1.978
83.57	2.038
83.6	1.996
83.63	2.049
83.66	2.07
83.69	2.125
83.72	2.134
83.75	2.085
83.78	2.106
83.81	2.055
83.84	2.075
83.87	2.101
83.9	2.058
83.93	2.055
83.96	2.053
83.99	2.063
84.02	2.074
84.05	2.061
84.08	1.906
84.11	2.095
84.14	2.079
84.17	2.072
84.2	2.038
84.23	2.086
84.26	2.02
84.29	1.929
84.32	1.898
84.35	1.866
84.38	1.873
84.41	1.907
84.44	1.948
84.47	1.966
84.5	1.976
84.53	1.916
84.56	1.966
84.59	1.896
84.62	1.96
84.65	1.958
84.68	1.976
84.71	1.927
84.74	1.808
84.77	1.873
84.8	1.85
84.83	1.927
84.86	1.845
84.89	2.002
84.92	1.973
84.95	1.997
84.98	1.934
85.01	1.973
85.04	1.995
85.07	1.96
85.1	2.022
85.13	2.058
85.16	2.072
85.19	2.093
85.22	2.077
85.25	2.12
85.28	2.077
85.31	2.094
85.34	2.109
85.37	2.089
85.4	2.056
85.43	2.06
85.46	2.047
85.49	2.051
85.52	2.053
85.55	1.99
85.58	1.986
85.61	2.084
85.64	2.024
85.67	2.044
85.7	2.035
85.73	2.043
85.76	2.043
85.79	2.11
85.82	2.089
85.85	2.061
85.88	2.015
85.91	1.99
85.94	1.984
85.97	2
86	2.034
86.03	2.122
86.06	2.058
86.09	2.079
86.12	2.135
86.15	2.147
86.18	2.128
86.21	2.135
86.24	2.124
86.27	2.142
86.3	2.176
86.33	2.239
86.36	2.244
86.39	2.216
86.42	2.229
86.45	2.158
86.48	2.149
86.51	2.215
86.54	2.18
86.57	2.201
86.6	2.164
86.63	2.18
86.66	2.173
86.69	2.15
86.72	2.141
86.75	2.202
86.78	2.231
86.81	2.235
86.84	2.276
86.96	2.258
86.99	2.192
87.02	2.173
87.05	2.208
87.08	2.159
87.11	2.139
87.14	2.229
87.17	2.258
87.2	2.269
87.23	2.243
87.26	2.233
87.29	2.259
87.32	2.239
87.35	2.275
87.38	2.274
87.41	2.377
87.44	2.417
87.47	2.335
87.5	2.438
87.53	2.389
87.56	2.477
87.59	2.432
87.62	2.426
87.65	2.395
87.68	2.415
87.71	2.397
87.74	2.329
87.77	2.404
87.8	2.405
87.83	2.4
87.86	2.433
87.89	2.42
87.92	2.427
87.95	2.428
87.98	2.404
88.009	2.436
88.04	2.409
88.07	2.406
88.1	2.425
88.13	2.389
88.16	2.401
88.19	2.382
88.22	2.413
88.25	2.442
88.28	2.352
88.31	2.409
88.34	2.413
88.37	2.4
88.4	2.336
88.43	2.33
88.46	2.289
88.49	2.192
88.52	2.284
88.55	2.277
88.7	2.307
88.73	2.343
88.76	2.396
88.79	2.376
88.82	2.388
88.85	2.338
88.88	2.317
88.91	2.345
88.94	2.352
88.97	2.352
89	2.35
89.03	2.406
89.06	2.387
89.09	2.424
89.12	2.394
89.15	2.383
89.18	2.368
89.21	2.365
89.24	2.322
89.27	2.354
89.3	2.352
89.33	2.37
89.36	2.345
89.39	2.378
89.42	2.381
89.45	2.385
89.48	2.373
89.51	2.448
89.54	2.409
89.57	2.43
89.6	2.44
89.63	2.496
89.66	2.506
89.69	2.478
89.72	2.442
89.75	2.469
89.78	2.426
89.81	2.405
89.84	2.43
89.87	2.421
89.9	2.448
89.93	2.506
89.96	2.494
89.99	2.518
90.02	2.523
90.05	2.504
90.08	2.425
90.11	2.477
90.14	2.529
90.17	2.492
90.2	2.37
90.23	2.454
90.26	2.544
90.29	2.469
90.32	2.499
90.35	2.491
90.38	2.423
90.41	2.474
90.44	2.476
90.47	2.482
90.5	2.562
90.53	2.544
90.56	2.548
90.59	2.533
90.62	2.489
90.65	2.493
90.68	2.503
90.71	2.518
90.74	2.517
90.77	2.54
90.8	2.521
90.83	2.504
90.86	2.442
90.89	2.496
90.92	2.503
90.95	2.544
90.98	2.493
91.01	2.525
91.04	2.403
91.07	2.541
91.1	2.56
91.13	2.412
91.16	2.536
91.19	2.545
91.22	2.519
91.25	2.545
91.28	2.589
91.31	2.489
91.34	2.602
91.37	2.569
91.4	2.627
91.43	2.614
91.46	2.617
91.49	2.527
91.52	2.491
91.55	2.5
91.58	2.594
91.61	2.651
91.64	2.629
91.67	2.622
91.7	2.619
91.73	2.576
91.76	2.588
91.79	2.552
91.82	2.54
91.85	2.552
91.88	2.499
91.91	2.502
91.94	2.539
91.97	2.467
92	2.469
92.03	2.374
92.06	2.412
92.12	2.365
92.15	2.265
92.18	2.294
92.21	2.249
92.24	2.261
92.27	2.299
92.3	2.316
92.33	2.317
92.36	2.376
92.39	2.334
92.42	2.341
92.45	2.343
92.48	2.375
92.51	2.312
92.54	2.334
92.57	2.339
92.6	2.339
92.63	2.328
92.66	2.341
92.69	2.348
92.72	2.354
92.75	2.36
92.78	2.329
92.81	2.302
92.84	2.268
92.87	2.275
92.9	2.265
92.93	2.24
92.96	2.301
92.99	2.297
93.02	2.293
93.05	2.282
93.08	2.303
93.11	2.326
93.14	2.292
93.17	2.266
93.2	2.296
93.23	2.311
93.26	2.362
93.29	2.424
93.32	2.35
93.35	2.375
93.38	2.351
93.425	2.377
93.477	2.373
93.51	2.3
93.529	2.35
93.54	2.31
93.58	2.39
93.62	2.39
93.66	2.39
93.7	2.4
93.74	2.3
93.78	2.25
93.82	2.21
93.86	2.28
93.91	2.21
93.94	2.29
93.98	2.25
94.02	2.27
94.06	2.23
94.11	2.24
94.14	2.24
94.17	2.24
94.23	2.26
94.26	2.12
94.3	2.08
94.34	2.08
94.4	1.98
94.42	2.05
94.46	2.12
94.5	2.02
94.53	2.12
94.58	2.13
94.62	2.12
94.66	2.13
94.7	2.18
94.74	2.15
94.78	2.18
94.82	2.15
94.86	2.15
94.9	2.18
94.94	2.16
94.98	2.29
95.02	2.22
95.06	2.2
95.1	2.23
95.14	2.26
95.17	2.19
95.22	2.15
95.26	2.17
95.3	2.08
95.34	2.1
95.38	2.2
95.42	2.18
95.46	2.13
95.5	2.14
95.54	2.13
95.58	2.09
95.62	2.16
95.66	2.2
95.7	2.09
95.74	2.1
95.78	2.18
95.83	2.13
95.87	2.22
95.9	2.11
95.94	2.18
95.97	2.13
96.02	2.27
96.06	2.23
96.1	2.28
96.14	2.17
96.18	2.12
96.22	2.11
96.26	2.04
96.3	2.13
96.34	2.02
96.38	2.09
96.42	2.03
96.46	2.08
96.49	2.1
96.6	1.96
96.64	2.06
96.68	2.09
96.72	2.16
96.76	2.14
96.8	2.23
96.84	2.12
96.88	2.09
96.92	2.08
96.96	2
97	2.06
97.04	2.06
97.08	2.08
97.11	2.11
97.14	2.19
97.18	2.19
97.22	2.13
97.26	2.14
97.3	2.06
97.34	2.06
97.38	1.95
97.42	1.92
97.46	2.04
97.5	1.95
97.54	1.91
97.58	1.89
97.62	1.87
97.66	1.84
97.7	1.74
97.74	1.81
97.78	1.81
97.82	1.72
97.86	1.79
97.9	1.7
97.94	1.72
97.98	1.74
98.02	1.75
98.06	1.7
98.1	1.65
98.14	1.82
98.18	1.88
98.22	1.78
98.26	1.77
98.3	1.82
98.34	1.8
98.38	1.78
98.42	1.76
98.46	1.62
98.5	1.63
98.54	1.73
98.58	1.67
98.62	1.66
98.66	1.68
98.7	1.72
98.74	1.66
98.78	1.59
98.82	1.73
98.86	1.68
98.9	1.72
98.94	1.76
98.98	1.66
99.02	1.68
99.06	1.7
99.1	1.65
99.14	1.72
99.18	1.82
99.22	1.81
99.26	1.79
99.3	1.86
99.34	1.86
99.37	1.87
99.42	1.84
99.46	1.85
99.5	1.79
99.53	1.79
99.58	1.72
99.62	1.75
99.66	1.67
99.7	1.7
99.74	1.68
99.78	1.74
99.82	1.72
99.86	1.69
99.9	1.73
99.94	1.63
99.98	1.69
100.02	1.65
100.06	1.81
100.1	1.77
100.14	1.71
100.18	1.7
100.22	1.78
100.26	1.84
100.3	1.77
100.34	1.89
100.38	1.89
100.42	1.85
100.46	1.88
100.49	1.92
100.54	1.89
100.57	1.97
100.62	1.86
100.65	1.91
100.7	1.91
100.74	1.93
100.78	1.87
100.83	1.81
100.86	1.91
100.9	1.8
100.94	1.76
100.97	1.91
101.02	1.94
101.06	1.99
101.1	1.87
101.15	1.9
101.18	1.91
101.22	1.87
101.26	1.91
101.31	1.97
101.34	1.92
101.38	1.96
101.42	1.96
101.45	1.87
101.5	1.94
101.54	1.83
101.58	1.9
101.62	1.9
101.66	1.98
101.7	1.86
101.74	1.9
101.78	1.93
101.82	1.88
101.86	1.96
101.9	1.89
101.93	1.97
101.98	1.96
102.02	1.88
102.06	1.96
102.1	1.92
102.14	1.91
102.18	1.88
102.22	1.84
102.26	1.88
102.3	1.7
102.34	1.79
102.38	1.79
102.42	1.71
102.46	1.82
102.5	1.84
102.54	1.71
102.58	1.78
102.62	1.67
102.66	1.84
102.7	1.79
102.74	1.73
102.78	1.8
102.82	1.84
102.86	1.79
102.9	1.88
102.94	1.84
102.98	1.87
103.02	1.83
103.06	1.83
103.1	1.76
103.14	1.81
103.18	1.84
103.22	1.86
103.26	1.9
103.3	1.84
103.34	1.86
103.38	1.91
103.42	1.89
103.46	1.94
103.5	1.9
103.54	1.86
103.57	1.89
103.62	1.8
103.66	1.81
103.7	1.75
103.74	1.89
103.78	1.96
103.82	1.89
103.86	1.98
103.9	2.02
103.94	1.98
103.98	2.09
104.02	1.93
104.06	1.98
104.1	1.93
104.14	1.98
104.18	1.99
104.22	2.08
104.26	2.02
104.3	1.95
104.34	2.03
104.38	2.03
104.42	2.01
104.46	2.07
104.5	2.03
104.54	2.03
104.58	2.06
104.62	1.98
104.66	2.01
104.7	1.99
104.74	2.05
104.78	1.99
104.82	1.94
104.86	1.93
104.9	2
104.94	2.03
104.98	2.01
105.02	1.98
105.06	2.05
105.1	2.08
105.14	2.06
105.18	1.95
105.22	2.07
105.26	2.04
105.3	1.99
105.34	2.02
105.38	2
105.42	1.97
105.46	2.03
