depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
42.215000 102.682826 105.410753 108.162632 107.744311 109.828899 111.055457
42.245000 103.352112 105.801666 108.616880 108.135466 110.176354 111.354767
42.275000 103.823177 106.158630 109.036711 108.525691 110.523328 111.759800
42.305000 104.150832 106.598399 109.406610 108.914764 110.875953 112.017993
42.335000 104.639315 107.073671 109.803337 109.309052 111.255667 112.323559
42.355000 105.150048 107.315196 110.050382 109.566911 111.507645 112.644369
42.365000 105.223743 107.441463 110.162422 109.693204 111.617723 112.745993
42.375000 105.334862 107.568174 110.275945 109.820714 111.721718 112.841735
42.395000 105.568961 107.852836 110.523528 110.094604 111.943889 113.041439
42.425000 106.156585 108.449391 110.918733 110.511343 112.212662 113.359789
42.435000 106.410141 108.580390 111.034242 110.638389 112.314348 113.447433
42.455000 106.712659 108.915547 111.279395 110.920449 112.495905 113.646151
42.465000 106.791979 109.055849 111.419098 111.052642 112.585543 113.775746
42.475000 106.899451 109.374865 111.545544 111.186369 112.694548 113.909493
42.485000 107.052933 109.485427 111.652601 111.312136 112.787950 113.987648
42.495000 107.263362 109.691590 111.806725 111.447905 112.894711 114.098440
42.505000 107.420051 109.920339 111.936880 111.587659 112.992960 114.203194
42.515000 107.567119 110.106953 112.060674 111.723345 113.088637 114.307461
42.525000 107.696380 110.280031 112.177045 111.854863 113.191172 114.378841
42.535000 107.857210 110.472743 112.317185 111.992504 113.277579 114.473487
42.545000 108.039644 110.612105 112.429953 112.119585 113.374306 114.568873
42.555000 108.302536 110.772469 112.573622 112.248005 113.474592 114.661461
42.565000 108.476473 110.887928 112.697907 112.372525 113.584900 114.740811
42.575000 108.646195 111.063652 112.819168 112.494316 113.697730 114.836586
42.585000 108.911660 111.186512 112.932007 112.618790 113.814544 114.933545
42.595000 109.026827 111.393424 113.016930 112.736821 113.917255 115.015617
42.615000 109.427701 111.696559 113.253426 112.986040 114.117298 115.213450
42.635000 109.678165 112.024830 113.452137 113.249471 114.300807 115.374712
42.645000 109.775501 112.130266 113.585423 113.368311 114.408804 115.480574
42.655000 109.958408 112.248563 113.703656 113.482569 114.517214 115.567974
42.675000 110.287486 112.544497 113.927240 113.714119 114.738570 115.746206
42.685000 110.536661 112.730607 114.034544 113.832661 114.863055 115.827191
42.715000 111.035831 113.111912 114.348662 114.174982 115.186640 116.072368
42.775000 112.617763 113.897132 114.855583 114.821218 115.887407 116.554931
42.785000 112.754139 114.029614 114.965355 114.936813 115.989964 116.645465
42.795000 112.881152 114.184705 115.070531 115.054249 116.116606 116.784802
42.805000 112.974654 114.294916 115.182599 115.168134 116.238035 116.872199
42.815000 113.094069 114.415178 115.279903 115.282666 116.357617 116.963749
42.825000 113.222617 114.524026 115.389263 115.399476 116.462629 117.058845
42.835000 113.325644 114.639485 115.508917 115.519343 116.609325 117.158658
42.845000 113.577386 114.737101 115.630479 115.640923 116.702780 117.299399
42.855000 113.733181 114.859666 115.745733 115.754520 116.824542 117.379849
42.865000 113.914583 114.988894 115.854732 115.877069 116.916691 117.525041
42.875000 114.091095 115.129157 115.986405 116.000415 117.039035 117.658196
42.885000 114.261609 115.234698 116.112072 116.119115 117.142315 117.760659
42.895000 114.407951 115.363155 116.243969 116.242291 117.237534 117.914550
42.915000 114.697572 115.637031 116.508314 116.498881 117.457900 118.275015
42.925000 114.800064 115.750785 116.627148 116.627175 117.576643 118.392793
