depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
49.450000 39466.012161 39466.843538 39467.860323 39467.828552 39468.764467 39469.601114
49.480000 39466.855787 39467.812042 39468.847788 39468.898396 39469.890346 39471.434596
49.520000 39467.694909 39468.920850 39470.100401 39470.287331 39471.716723 39473.454244
49.550000 39468.513917 39469.761400 39471.070527 39471.273443 39472.904692 39475.019635
49.580000 39469.439676 39470.608399 39472.122396 39472.300607 39473.970762 39476.233783
49.610000 39470.342928 39471.498596 39473.187598 39473.317757 39474.991057 39477.012819
49.640000 39471.298881 39472.491892 39474.258682 39474.322654 39476.110176 39477.848821
49.670000 39472.257281 39473.468135 39475.327917 39475.332332 39477.081758 39478.929498
49.700000 39473.130571 39474.410986 39476.302926 39476.284246 39477.970120 39479.837636
49.730000 39473.861441 39475.338078 39477.237466 39477.209727 39478.929253 39480.987062
49.760000 39474.700624 39476.238332 39478.217302 39478.155951 39479.935460 39481.839857
49.790000 39475.508757 39477.192411 39479.104993 39479.068649 39480.880170 39482.689529
49.820000 39476.334697 39478.289390 39480.005761 39480.023627 39481.864322 39483.695069
49.850000 39477.268529 39479.172075 39480.931674 39481.006218 39482.864569 39484.684154
49.870000 39477.867623 39479.862443 39481.646456 39481.723270 39483.619552 39485.838122
49.880000 39478.260554 39480.216739 39481.988709 39482.083901 39483.901706 39486.124551
49.900000 39478.904068 39480.984006 39482.765460 39482.795579 39484.539716 39486.912031
49.910000 39479.336631 39481.384451 39483.077129 39483.154964 39484.820184 39487.346410
49.930000 39479.945162 39482.075696 39483.863227 39483.905440 39485.542642 39488.302194
49.940000 39480.324036 39482.514443 39484.190352 39484.272096 39485.963964 39488.581717
49.960000 39481.244630 39483.126993 39484.935449 39484.976454 39486.782923 39489.479778
49.970000 39481.554877 39483.484263 39485.238569 39485.316642 39487.156575 39489.940753
49.990000 39482.296762 39484.196587 39485.833773 39486.024281 39488.007635 39490.770059
50.000000 39482.668966 39484.467236 39486.181163 39486.367969 39488.434918 39491.226227
50.020000 39483.481018 39485.097941 39486.823937 39487.088093 39489.243163 39492.129023
50.030000 39483.743285 39485.412146 39487.130014 39487.423568 39489.724627 39492.613507
50.050000 39484.533221 39485.997835 39487.818984 39488.153510 39490.494693 39493.197405
50.060000 39484.800939 39486.370976 39488.177916 39488.507459 39490.894908 39493.520975
50.080000 39485.506135 39486.978577 39488.861008 39489.232999 39491.724471 39494.241108
50.090000 39485.789539 39487.332831 39489.210798 39489.589640 39492.071324 39494.542611
