depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
232.010000 47982.236717 47983.159941 47984.078916 47984.078428 47985.033044 47986.075588
232.050000 47986.530156 47989.095572 47991.856056 47993.477155 47997.863738 48009.335452
232.090000 47991.979872 47995.465524 48000.640756 48003.042210 48011.957937 48024.606379
232.130000 47998.635860 48002.221510 48010.262996 48012.582459 48024.354413 48036.579708
232.170000 48004.604842 48009.904974 48019.794297 48021.879880 48034.265484 48048.659508
232.210000 48011.524951 48017.936640 48030.486746 48031.539220 48044.858035 48059.031564
232.250000 48018.154927 48026.946954 48040.592175 48041.238512 48054.678957 48068.332626
232.290000 48026.398734 48036.453096 48050.975797 48051.125412 48066.164406 48078.682862
232.330000 48033.846784 48046.145893 48060.865139 48060.796514 48075.713718 48089.349059
232.370000 48041.820328 48055.225988 48069.990492 48070.120538 48084.938406 48098.700721
232.410000 48051.552864 48064.632116 48079.619487 48079.357998 48093.309943 48109.022908
232.450000 48059.846220 48073.385033 48089.084828 48088.850330 48102.866581 48118.094666
232.490000 48070.147794 48084.728462 48099.277226 48099.008724 48113.061402 48128.488298
232.530000 48082.465236 48096.248864 48109.571945 48109.620228 48123.199142 48139.783964
232.570000 48091.836183 48105.390799 48119.374924 48119.521782 48133.096350 48148.744995
232.625000 48105.747233 48119.652776 48132.795926 48133.610394 48147.754632 48163.775601
232.650000 48112.696936 48125.736611 48139.876167 48140.254329 48155.005635 48171.382948
232.690000 48122.706845 48135.432836 48150.351240 48150.537280 48165.876336 48179.707313
232.730000 48131.282141 48145.446912 48160.435034 48160.740645 48177.004550 48189.042258
232.770000 48141.083659 48155.950290 48170.540769 48170.818092 48186.486002 48198.867726
232.810000 48150.753069 48166.176708 48180.743060 48180.524353 48195.448207 48207.909977
232.850000 48160.259929 48175.729561 48190.326936 48190.171471 48204.850916 48218.812789
232.890000 48171.296337 48185.288332 48200.501356 48200.125647 48215.017310 48228.149390
232.930000 48181.813379 48195.053726 48210.153375 48210.348762 48226.089980 48240.882747
232.970000 48190.577079 48205.211100 48220.776778 48220.981224 48236.563707 48252.742944
233.010000 48201.270257 48215.497927 48231.385890 48231.492928 48246.786526 48262.604303
