depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
168.440000 43115.878298 43116.785443 43117.763972 43117.766933 43118.761806 43119.673133
168.480000 43118.360872 43119.953129 43121.835897 43122.633111 43125.209440 43131.708878
168.520000 43121.106595 43123.037684 43126.283726 43127.582556 43132.415563 43140.236206
168.560000 43123.744036 43126.257215 43131.181464 43132.249045 43138.477536 43145.621302
168.600000 43126.986717 43130.125236 43136.201148 43136.946299 43144.031222 43152.032749
168.640000 43130.118471 43134.202711 43141.211962 43141.738448 43149.075196 43157.026966
168.680000 43133.116572 43138.749830 43146.325534 43146.557835 43154.182919 43161.914542
168.720000 43136.621329 43143.498241 43151.008903 43151.268119 43159.406743 43166.237985
168.760000 43141.018039 43148.071041 43156.031246 43156.054177 43164.017549 43170.866297
168.800000 43145.503790 43152.524994 43160.535468 43160.535552 43168.068851 43175.180204
168.840000 43150.646978 43157.915622 43165.047335 43165.137526 43172.634826 43179.789165
168.880000 43155.319545 43162.657047 43169.976136 43169.740813 43176.908410 43183.187912
168.920000 43160.539540 43167.269608 43174.581127 43174.280619 43181.504991 43186.639153
168.960000 43164.196332 43171.415604 43178.980543 43178.517341 43185.548190 43190.710140
169.000000 43168.732293 43175.497811 43183.140053 43182.711080 43189.747644 43194.935076
169.040000 43172.833985 43179.809707 43187.090503 43186.830371 43194.044918 43199.498337
169.080000 43177.580331 43184.170361 43191.457759 43191.063063 43197.969205 43203.632262
169.120000 43182.191539 43188.329341 43195.339055 43195.060526 43201.663438 43207.567499
169.160000 43186.344136 43192.352953 43199.150577 43199.072068 43205.618588 43211.314168
169.200000 43190.305711 43196.535445 43203.089006 43203.106228 43209.893752 43215.410308
169.240000 43194.127539 43200.801895 43207.422137 43207.264855 43213.861480 43219.863115
169.280000 43197.876584 43204.532458 43211.347038 43211.356463 43217.961729 43224.583703
169.320000 43202.365475 43208.995156 43215.468532 43215.602864 43222.142047 43228.334001
169.360000 43207.066712 43212.792771 43219.793370 43219.830662 43226.457701 43233.461792
169.400000 43211.771410 43217.276394 43224.124465 43224.295050 43231.071451 43238.760220
169.440000 43215.247944 43221.271498 43228.732164 43228.629221 43235.763822 43243.381451
169.480000 43219.018284 43225.884009 43232.847001 43233.051509 43240.528439 43247.725442
169.520000 43223.427125 43230.150265 43237.450812 43237.436955 43244.836517 43252.312411
