depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
49.450000 39465.541089 39466.546601 39467.584237 39467.585732 39468.673415 39469.652924
49.480000 39466.341522 39467.374856 39468.482953 39468.536046 39469.657642 39471.283118
49.520000 39467.080599 39468.299146 39469.546175 39469.848246 39471.305500 39474.303798
49.550000 39467.850845 39468.981647 39470.421778 39470.793953 39472.681517 39475.688670
49.580000 39468.591693 39469.765907 39471.280631 39471.770471 39473.997317 39477.195034
49.610000 39469.276487 39470.525126 39472.189933 39472.748663 39475.319884 39478.834331
49.640000 39469.980203 39471.324601 39473.169083 39473.722426 39476.433985 39480.262543
49.670000 39470.802058 39472.086936 39474.097226 39474.694795 39477.724833 39481.197121
49.700000 39471.504637 39472.848830 39474.963101 39475.622670 39478.893732 39482.010042
49.730000 39472.117565 39473.654160 39475.805433 39476.546601 39480.138110 39483.155724
49.760000 39472.902965 39474.515231 39476.696871 39477.512881 39481.321016 39484.255857
49.790000 39473.894329 39475.348938 39477.572749 39478.443940 39482.419442 39485.091362
49.820000 39474.768285 39476.093258 39478.468602 39479.403454 39483.745593 39485.952421
49.850000 39475.555145 39476.899573 39479.237283 39480.323835 39484.751437 39487.262671
49.870000 39476.094274 39477.420783 39479.848773 39480.936277 39485.366891 39487.926594
49.880000 39476.347795 39477.674169 39480.118677 39481.242123 39485.687948 39488.197631
49.900000 39476.999561 39478.228563 39480.827503 39481.867811 39486.452785 39488.756908
49.910000 39477.230416 39478.532589 39481.175434 39482.187721 39486.705359 39489.046959
49.930000 39477.748703 39479.039133 39481.648158 39482.793218 39487.364845 39489.895740
49.940000 39478.026951 39479.363401 39481.975574 39483.107597 39487.684944 39490.105434
49.960000 39478.557532 39479.927158 39482.568754 39483.728062 39488.189234 39490.825064
49.970000 39478.795455 39480.221273 39482.947127 39484.032590 39488.593701 39491.048168
49.990000 39479.390270 39480.798762 39483.616950 39484.675818 39489.266677 39491.569871
50.000000 39479.656441 39481.043641 39484.008777 39485.000455 39489.563733 39491.823724
50.020000 39480.088993 39481.660738 39484.613618 39485.657730 39490.226327 39492.403899
50.030000 39480.446159 39482.015599 39485.011097 39485.978918 39490.536507 39492.727045
50.050000 39481.052066 39482.723589 39485.719088 39486.595371 39491.156575 39493.339583
50.060000 39481.290131 39483.116647 39486.036424 39486.914574 39491.526540 39493.642051
50.080000 39481.759167 39483.663956 39486.782077 39487.541280 39492.121395 39494.183665
50.090000 39482.019087 39484.017590 39487.109083 39487.869075 39492.419393 39494.405861
50.110000 39482.592945 39484.780567 39487.993248 39488.512034 39493.042547 39494.909128
50.120000 39482.830224 39485.096238 39488.345618 39488.836170 39493.287029 39495.195344
50.140000 39483.295218 39485.773642 39488.947831 39489.486292 39493.871968 39495.863384
50.150000 39483.512481 39486.077652 39489.322603 39489.796274 39494.162049 39496.341094
50.170000 39483.970808 39486.613283 39489.999030 39490.409845 39494.708017 39496.831408
50.200000 39484.651229 39487.494098 39491.215735 39491.346570 39495.517939 39497.748050
50.230000 39485.497062 39488.407418 39492.334079 39492.274693 39496.290069 39498.842424
50.260000 39486.331250 39489.306458 39493.336736 39493.225601 39497.235172 39499.831179
50.290000 39487.413775 39490.181263 39494.223850 39494.165348 39498.212665 39500.683082
50.320000 39488.555563 39491.112651 39495.141357 39495.103747 39499.163547 39501.593882
