age(kyr) mean(permil) sigma(permil)
37600.000000 0.799379 0.093883
37700.000000 0.693854 0.088114
37800.000000 0.666946 0.081285
37900.000000 0.620277 0.074652
38000.000000 0.691146 0.072474
38100.000000 0.887491 0.074322
38200.000000 0.841231 0.076022
38300.000000 0.751504 0.081296
38400.000000 0.831842 0.081058
38500.000000 0.845380 0.077258
38600.000000 0.782317 0.076714
38700.000000 0.748794 0.077207
38800.000000 0.738152 0.076210
38900.000000 0.797332 0.072741
39000.000000 0.776588 0.071691
39100.000000 0.683551 0.072131
39200.000000 0.727294 0.073946
39300.000000 0.782773 0.077690
39400.000000 0.851131 0.098256
39500.000000 0.900329 0.114893
39600.000000 0.898502 0.094961
39700.000000 0.887710 0.185079
39800.000000 0.937624 0.170859
39900.000000 0.852792 0.208166
40000.000000 0.788010 0.292796
40100.000000 0.754713 0.298343
40200.000000 0.612711 0.487142
40300.000000 0.535942 0.293625
40400.000000 0.600695 0.214318
40500.000000 0.770501 0.173254
40600.000000 0.994092 0.232184
40700.000000 1.062756 0.190539
40800.000000 1.007439 0.125786
40900.000000 0.928177 0.097282
41000.000000 0.910685 0.086616
41100.000000 0.863509 0.080277
41200.000000 0.782644 0.072426
41300.000000 0.705345 0.069429
41400.000000 0.620176 0.074293
41500.000000 0.564451 0.081057
41600.000000 0.568742 0.080818
41700.000000 0.625737 0.079758
41800.000000 0.641568 0.088616
41900.000000 0.602216 0.120021
42000.000000 0.666416 0.201841
42100.000000 0.797877 0.268556
42200.000000 0.821462 0.262364
42300.000000 0.807628 0.213663
42400.000000 0.790319 0.251629
42500.000000 0.791493 0.186654
42600.000000 0.651211 0.147805
42700.000000 0.592768 0.122561
42800.000000 0.602779 0.090681
42900.000000 0.642223 0.089988
43000.000000 0.669517 0.092670
43100.000000 0.637538 0.101009
43200.000000 0.683999 0.092909
43300.000000 0.709981 0.130198
43400.000000 0.636307 0.200246
43500.000000 0.528128 0.159448
43600.000000 0.534150 0.169989
43700.000000 0.632509 0.129655
43800.000000 0.629070 0.113265
43900.000000 0.557198 0.107256
44000.000000 0.591530 0.096282
44100.000000 0.602171 0.091674
44200.000000 0.538750 0.122689
44300.000000 0.541878 0.166279
44400.000000 0.648644 0.179186
44500.000000 0.639069 0.211784
44600.000000 0.624930 0.157111
44700.000000 0.589775 0.152020
44800.000000 0.627232 0.144705
44900.000000 0.671315 0.097486
45000.000000 0.633682 0.084310
45100.000000 0.576587 0.097280
45200.000000 0.662238 0.106705
45300.000000 0.670416 0.110940
45400.000000 0.608876 0.144559
45500.000000 0.528798 0.157217
45600.000000 0.426522 0.204938
45700.000000 0.472211 0.181302
45800.000000 0.529895 0.150996
45900.000000 0.456696 0.171035
46000.000000 0.446770 0.161696
46100.000000 0.383360 0.137597
46200.000000 0.228404 0.103607
46300.000000 0.142345 0.112205
46400.000000 0.124502 0.120577
46500.000000 0.153280 0.124271
46600.000000 0.197733 0.126153
46700.000000 0.202918 0.127708
46800.000000 0.275199 0.130517
46900.000000 0.372427 0.134195
47000.000000 0.388272 0.138822
47100.000000 0.358500 0.143911
47200.000000 0.356793 0.146230
47300.000000 0.405507 0.145270
47400.000000 0.453054 0.142551
47500.000000 0.473656 0.138506
47600.000000 0.500114 0.132398
47700.000000 0.564712 0.126354
47800.000000 0.573790 0.121236
47900.000000 0.524101 0.118133
48000.000000 0.504592 0.116941
48100.000000 0.553421 0.119202
48200.000000 0.593342 0.125780
48300.000000 0.554084 0.133619
48400.000000 0.523289 0.140616
48500.000000 0.524436 0.145795
48600.000000 0.555696 0.147132
48700.000000 0.581172 0.144584
48800.000000 0.583897 0.140773
48900.000000 0.539186 0.138656
49000.000000 0.463375 0.137689
49100.000000 0.396659 0.136546
49200.000000 0.379529 0.136270
49300.000000 0.404279 0.135223
49400.000000 0.417361 0.134485
49500.000000 0.372201 0.134314
49600.000000 0.305150 0.133387
49700.000000 0.271417 0.132423
49800.000000 0.273246 0.135164
49900.000000 0.276068 0.140862
50000.000000 0.278585 0.145822
50100.000000 0.281102 0.150085
50200.000000 0.283619 0.153805
50300.000000 0.286136 0.157118
50400.000000 0.288652 0.160118
50500.000000 0.291169 0.162847
50600.000000 0.293686 0.165311
50700.000000 0.296203 0.167497
50800.000000 0.298720 0.169395
50900.000000 0.301237 0.171000
51000.000000 0.303753 0.172317
51100.000000 0.306270 0.173357
51200.000000 0.308787 0.174137
51300.000000 0.311304 0.174672
51400.000000 0.313821 0.174979
51500.000000 0.316338 0.175068
51600.000000 0.318854 0.174951
51700.000000 0.321371 0.174633
51800.000000 0.323888 0.174115
51900.000000 0.326405 0.173396
52000.000000 0.328922 0.172473
52100.000000 0.331438 0.171337
52200.000000 0.333955 0.169980
52300.000000 0.336472 0.168388
52400.000000 0.338989 0.166549
52500.000000 0.341506 0.164447
52600.000000 0.344023 0.162062
52700.000000 0.346539 0.159376
52800.000000 0.349056 0.156364
52900.000000 0.351573 0.153001
53000.000000 0.354090 0.149255
53100.000000 0.356607 0.145092
53200.000000 0.359123 0.140469
53300.000000 0.361640 0.135333
53400.000000 0.364157 0.129601
53500.000000 0.366674 0.112748
53600.000000 0.369191 0.098819
53700.000000 0.371708 0.088833
53800.000000 0.374224 0.077769
53900.000000 0.330798 0.057272
54000.000000 0.297515 0.077511
54100.000000 0.338669 0.085459
