depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
205.400000 38052.888654 38053.873181 38054.835411 38054.823804 38055.791471 38056.738017
205.500000 38062.541127 38068.503908 38075.316412 38078.866935 38090.983034 38109.857531
205.600000 38076.413053 38083.760430 38097.242814 38098.946078 38114.575026 38130.512743
205.700000 38091.013669 38100.637354 38116.621988 38117.013812 38133.484147 38146.790011
205.820000 38107.863712 38119.481345 38137.118904 38136.572670 38152.348396 38168.713349
205.900000 38118.349674 38132.501181 38149.072398 38149.128043 38164.139514 38184.784395
206.000000 38132.618453 38148.234808 38165.896036 38165.884294 38183.099142 38202.483054
206.100000 38147.810291 38164.059000 38182.515150 38183.024498 38200.140402 38223.819217
206.200000 38162.123999 38180.053804 38200.669778 38200.757053 38218.984113 38246.205376
206.320000 38178.522801 38201.871766 38221.365288 38222.318827 38240.803983 38278.260147
206.400000 38189.240487 38214.503690 38236.531945 38237.379243 38257.896023 38295.793899
206.500000 38206.040497 38232.440421 38255.139239 38257.739793 38280.650828 38331.372652
206.600000 38226.063055 38251.223737 38275.137502 38281.271378 38319.675508 38354.953877
206.700000 38249.578242 38275.640288 38311.850091 38310.633075 38345.816793 38372.332969
206.800000 38268.646218 38311.304083 38343.410604 38338.945688 38366.526280 38387.267739
206.900000 38291.757417 38338.245324 38363.842855 38360.669006 38382.759431 38404.993726
207.000000 38322.973123 38356.824386 38380.004091 38378.220220 38398.967859 38425.073637
207.100000 38352.186160 38374.440947 38393.939767 38394.932596 38416.567987 38442.128598
207.200000 38370.373317 38389.559202 38409.245437 38410.905150 38433.335986 38459.490841
207.300000 38384.967700 38404.964891 38426.030642 38428.108813 38451.631525 38477.091401
207.400000 38401.423133 38421.762793 38443.945364 38445.947384 38472.940529 38498.357465
207.500000 38416.771516 38437.113426 38463.322538 38464.537822 38491.625504 38523.640718
207.600000 38433.810681 38454.961592 38482.509632 38483.786280 38513.543312 38543.969193
207.700000 38450.184431 38473.266813 38502.109189 38503.751220 38534.656060 38565.358160
207.800000 38463.166701 38492.040394 38522.743047 38523.445016 38553.949623 38583.836464
207.900000 38483.598012 38511.071751 38544.942883 38543.788321 38573.974517 38606.380851
208.000000 38504.549532 38531.355201 38564.955045 38564.329069 38596.147310 38624.357061
208.100000 38523.398697 38551.592014 38586.003435 38584.973824 38617.903522 38640.456240
208.200000 38541.464481 38573.738933 38607.908680 38605.699029 38636.677600 38657.736927
208.300000 38561.622993 38596.312866 38627.503259 38625.638718 38654.676063 38674.601444
208.400000 38583.284000 38621.037527 38645.804399 38645.134910 38671.881023 38694.012111
208.500000 38606.679098 38640.599231 38664.022562 38664.158442 38690.069739 38713.051355
208.600000 38633.405463 38659.110240 38683.180282 38682.966124 38705.984879 38732.456086
208.700000 38651.459433 38677.637585 38702.991261 38701.963952 38724.195188 38750.520046
208.800000 38669.408929 38695.682514 38720.402869 38720.083617 38742.705116 38772.424189
208.900000 38687.131223 38713.299252 38736.773154 38738.921590 38762.871322 38807.255239
209.000000 38705.633635 38730.103248 38756.177733 38759.938690 38789.237801 38836.667307
209.100000 38724.779086 38748.827213 38777.402953 38783.192651 38824.382568 38857.192395
209.200000 38743.285926 38771.050949 38808.952564 38809.675943 38850.284406 38877.201974
209.300000 38763.431306 38798.457386 38835.833927 38834.660303 38870.525878 38894.763558
209.400000 38783.899174 38827.003211 38861.963035 38858.546762 38890.011904 38913.943482
209.500000 38807.969631 38850.695866 38884.694325 38880.530684 38909.882986 38932.411518
209.600000 38834.885280 38872.293995 38904.009778 38901.066082 38927.997060 38948.747872
209.700000 38859.623022 38892.867096 38923.519237 38920.337517 38946.252871 38966.480211
209.800000 38880.791020 38912.793122 38941.319053 38938.800426 38963.516553 38982.732620
209.900000 38900.834208 38932.681451 38959.441915 38956.779915 38980.635410 38996.817411
210.000000 38922.378007 38955.437823 38977.389686 38975.551323 38996.917835 39011.626965
210.100000 38948.272764 38977.764296 38995.079496 38993.777345 39011.292261 39025.576340
210.200000 38977.993073 38998.200716 39013.583674 39011.848671 39025.966072 39041.013053
210.300000 38999.947110 39015.108984 39029.356323 39028.795189 39041.651343 39057.835033
210.400000 39017.339023 39029.772002 39042.565352 39043.076665 39056.102169 39074.616810
210.500000 39029.263091 39042.273087 39054.125704 39055.241943 39068.581923 39088.655967
210.600000 39040.663276 39052.354346 39065.526954 39066.748191 39081.040149 39099.154615
210.700000 39050.743557 39062.893470 39076.418903 39078.128306 39093.450758 39112.370069
210.800000 39059.722183 39073.759711 39087.891884 39089.534652 39106.127079 39127.500651
210.900000 39070.778616 39083.898583 39100.514089 39101.674420 39119.004010 39140.931157
211.000000 39081.914350 39095.595747 39113.065413 39113.837921 39131.064345 39152.429592
211.100000 39091.222142 39108.516946 39126.535468 39126.976203 39143.958060 39165.070442
211.200000 39107.028925 39122.655139 39140.937655 39141.547861 39159.587527 39180.988105
211.300000 39120.175539 39136.640922 39156.940230 39158.751778 39181.590238 39207.299383
211.400000 39133.805633 39152.353271 39180.309766 39184.896641 39219.234596 39258.404852
211.500000 39152.909156 39181.068462 39233.131133 39228.301142 39270.249939 39294.025534
211.600000 39168.870243 39227.703763 39280.692320 39269.877775 39304.876886 39318.854527
211.700000 39210.759389 39286.978583 39314.598636 39306.746795 39328.560227 39339.886399
211.800000 39295.441592 39330.923814 39343.844430 39341.010066 39352.993589 39366.419981
211.900000 39380.645317 39381.630758 39382.521745 39382.538143 39383.521587 39384.335623
