depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
291.497000 53873.985872 53874.930632 53875.926841 53875.907990 53876.892490 53877.766347
291.507000 53874.391189 53875.405458 53876.458858 53876.480254 53877.517572 53878.645605
291.517000 53874.808905 53875.895430 53877.055666 53877.038000 53878.130010 53879.302802
291.526000 53875.235060 53876.334293 53877.545408 53877.534462 53878.723377 53880.024331
291.536000 53875.728191 53876.824691 53878.081551 53878.091957 53879.300353 53880.748563
291.546000 53876.088171 53877.258045 53878.621031 53878.634310 53879.911694 53881.474483
291.555000 53876.443481 53877.680565 53879.056197 53879.117305 53880.511525 53881.974396
291.568000 53876.953980 53878.394273 53879.760053 53879.828913 53881.301476 53882.825787
291.585000 53877.550930 53879.148891 53880.733265 53880.742247 53882.329971 53884.100522
291.602000 53878.531821 53879.910520 53881.670528 53881.654518 53883.353601 53885.238807
291.618000 53878.990458 53880.558067 53882.463311 53882.488136 53884.363565 53886.324591
291.635000 53879.902897 53881.353008 53883.320014 53883.335628 53885.289189 53887.323745
291.651000 53880.556303 53882.079175 53884.107320 53884.166270 53886.324273 53888.221857
291.668000 53881.245047 53882.907290 53885.029816 53885.030982 53887.185396 53889.070858
291.685000 53881.821576 53883.695449 53885.956297 53885.919809 53888.115328 53890.028570
291.701000 53882.527557 53884.422916 53886.652640 53886.695586 53888.857463 53890.834782
291.718000 53883.262705 53885.343526 53887.559928 53887.541985 53889.666306 53891.523794
291.734000 53883.941351 53886.251971 53888.455838 53888.363759 53890.485407 53892.366432
291.751000 53884.730172 53887.160207 53889.320534 53889.202945 53891.430830 53893.236228
291.768000 53885.393169 53887.846305 53890.081113 53890.022084 53892.177558 53894.195384
291.784000 53886.397771 53888.722830 53890.876633 53890.825445 53892.918428 53894.855266
291.801000 53887.315495 53889.616180 53891.769559 53891.694194 53893.691658 53895.743277
291.818000 53888.248938 53890.544207 53892.661514 53892.548774 53894.452932 53896.605307
291.834000 53889.002427 53891.343797 53893.535204 53893.405758 53895.272076 53897.725370
291.851000 53889.972957 53892.270218 53894.353359 53894.318485 53896.224025 53898.924142
291.867000 53890.871782 53893.084274 53895.144993 53895.145011 53896.998358 53899.888431
291.884000 53892.102828 53893.910308 53895.909547 53895.973822 53897.864389 53900.698468
291.901000 53892.897248 53894.717404 53896.687867 53896.769277 53898.726508 53901.561332
291.917000 53893.509522 53895.540536 53897.401021 53897.536393 53899.559354 53902.411006
291.934000 53894.392724 53896.325403 53898.216283 53898.337309 53900.408218 53903.178781
291.951000 53895.149012 53897.126538 53899.044136 53899.168749 53901.299288 53903.810834
291.967000 53895.864103 53897.917355 53899.795066 53899.919692 53902.039375 53904.631749
291.984000 53896.726641 53898.681157 53900.628543 53900.728752 53902.847207 53905.487031
292.000000 53897.393306 53899.416618 53901.365471 53901.502422 53903.711319 53906.231299
292.017000 53898.328705 53900.164158 53902.251041 53902.336651 53904.527765 53906.956577
292.034000 53899.036720 53900.918423 53902.994559 53903.144542 53905.385517 53907.553470
292.050000 53899.782876 53901.634690 53903.770979 53903.874278 53906.174994 53908.267784
292.067000 53900.623580 53902.448515 53904.561012 53904.663681 53906.955605 53908.984907
