depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
105.550000 35603.414462 35604.216180 35605.117459 35605.183825 35606.192806 35607.255879
105.590000 35607.825020 35610.048101 35612.475712 35613.951972 35617.703049 35628.513402
105.630000 35612.983574 35616.027618 35620.522476 35623.092742 35630.506908 35643.852233
105.670000 35618.697388 35622.472580 35629.664856 35632.247682 35643.032744 35656.402224
105.720000 35626.011997 35631.154012 35642.243316 35643.991323 35657.150461 35671.771577
105.750000 35631.142490 35637.481003 35649.946202 35651.575159 35665.731812 35680.797622
105.790000 35638.238438 35646.507604 35660.584671 35661.820859 35677.072488 35690.644597
105.830000 35647.081853 35656.631985 35671.704483 35672.058275 35687.029375 35700.908198
105.870000 35656.716837 35667.194291 35682.471210 35682.404744 35696.914955 35709.817915
105.910000 35665.196956 35678.018003 35692.856001 35692.611289 35706.962631 35718.585234
105.960000 35676.706299 35691.003120 35704.748983 35704.481368 35718.345703 35730.825734
105.990000 35684.867197 35698.554890 35712.227210 35711.814593 35724.920833 35735.647636
106.030000 35695.176017 35708.119915 35721.346013 35720.938777 35733.301591 35744.127881
106.070000 35705.643200 35718.099916 35731.172156 35730.583492 35742.498143 35754.170304
106.110000 35714.395288 35727.873896 35740.451964 35739.961366 35751.375092 35762.388962
106.150000 35726.288564 35737.421021 35749.618169 35749.022434 35759.893740 35769.495494
106.195000 35737.293924 35747.012325 35758.477890 35758.150600 35768.986470 35778.797473
106.230000 35743.650616 35754.366017 35765.512475 35765.202881 35776.501636 35786.372967
106.270000 35751.068689 35762.399868 35772.670023 35772.753809 35783.227420 35793.630059
106.310000 35756.743590 35769.891288 35779.984477 35780.159639 35790.660045 35800.997006
106.350000 35765.880550 35777.142704 35787.335977 35787.584843 35798.310870 35809.096586
106.390000 35775.366256 35784.306144 35795.315569 35795.216761 35805.469309 35816.921545
106.430000 35782.627513 35792.667796 35802.729608 35802.996538 35813.734687 35824.707110
