depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
131.220000 42060.444176 42061.331260 42062.349596 42062.319953 42063.237489 42064.192705
131.260000 42061.573556 42062.594310 42063.803359 42063.926805 42065.160006 42067.410197
131.320000 42063.028140 42064.285042 42065.909130 42066.279923 42068.340448 42071.478945
131.380000 42064.343356 42065.928206 42068.025503 42068.542793 42071.397051 42074.934391
131.440000 42065.718355 42067.516730 42070.304727 42070.693336 42074.234923 42077.402568
131.500000 42067.343802 42069.212737 42072.476286 42072.784347 42076.594797 42080.270629
131.560000 42069.019568 42070.891397 42074.525374 42074.844870 42078.887145 42082.517296
131.620000 42070.426142 42072.785431 42076.788151 42076.929407 42080.863717 42084.635038
131.680000 42072.135762 42074.657358 42078.818364 42078.966291 42082.917897 42086.613852
131.740000 42073.932604 42076.558989 42080.975713 42080.997874 42085.291762 42088.954683
131.800000 42075.505412 42078.536870 42083.024754 42082.972377 42087.263606 42090.901203
131.860000 42077.361328 42080.375413 42085.002262 42084.956865 42089.309799 42092.807480
131.920000 42079.076357 42082.401256 42087.044564 42086.955406 42091.326362 42094.809962
131.980000 42080.653970 42084.447246 42089.143707 42088.961849 42093.093328 42097.569993
132.040000 42082.727835 42086.692246 42091.311365 42091.072589 42095.112565 42099.492689
132.100000 42084.537963 42088.883027 42093.350365 42093.076885 42097.074055 42101.497719
132.160000 42086.728149 42090.792149 42095.199009 42095.096155 42099.178567 42103.324329
132.220000 42088.593996 42093.069901 42097.152167 42097.058748 42101.154373 42105.087899
132.280000 42091.078121 42095.186962 42099.096114 42098.995012 42102.831915 42106.900216
132.340000 42092.986154 42097.114257 42100.973130 42100.997839 42104.705887 42109.044078
132.400000 42095.385142 42099.127552 42102.858093 42102.927820 42106.519025 42111.615084
132.460000 42097.681456 42101.022356 42104.612999 42104.822756 42108.580140 42113.648442
132.520000 42099.265052 42102.948789 42106.567022 42106.713485 42110.439571 42115.308680
132.580000 42101.272791 42104.757965 42108.537581 42108.624024 42112.369903 42116.899545
132.640000 42103.649740 42106.685279 42110.364111 42110.558586 42114.369282 42118.754299
132.700000 42105.027840 42108.364182 42112.123013 42112.337170 42116.131997 42120.488315
132.760000 42106.781406 42110.323961 42114.051774 42114.178860 42117.979312 42122.208425
132.820000 42108.158729 42112.013748 42115.748631 42115.919051 42119.687411 42124.059585
132.880000 42110.007058 42113.797006 42117.547250 42117.691543 42121.652385 42125.963816
132.940000 42111.682824 42115.630790 42119.561945 42119.472059 42123.428552 42127.471152
133.000000 42113.786373 42117.325489 42121.238024 42121.235577 42125.211476 42129.309760
133.060000 42115.810558 42118.896873 42123.080194 42123.018415 42127.086775 42130.875298
133.120000 42117.537446 42120.642071 42124.820040 42124.792648 42128.856529 42132.135821
133.180000 42119.214899 42122.404825 42126.643300 42126.601123 42130.581967 42134.223850
133.240000 42120.809448 42124.284132 42128.388685 42128.338279 42132.324999 42135.632338
133.300000 42122.655017 42126.141743 42130.221905 42130.101614 42133.989321 42137.508430
