age(kyr) mean(permil) sigma(permil)
35601.000000 1.078056 0.131247
35604.000000 1.082384 0.127026
35607.000000 1.085845 0.124762
35610.000000 1.087832 0.124094
35613.000000 1.087250 0.123712
35616.000000 1.084247 0.123583
35619.000000 1.080695 0.123452
35622.000000 1.077461 0.123507
35625.000000 1.074475 0.123587
35628.000000 1.071751 0.123701
35631.000000 1.069354 0.123663
35634.000000 1.067187 0.123556
35637.000000 1.065268 0.123693
35640.000000 1.063825 0.123973
35643.000000 1.062619 0.124149
35646.000000 1.061163 0.124237
35649.000000 1.059527 0.124375
35652.000000 1.057820 0.124545
35655.000000 1.056136 0.124833
35658.000000 1.054804 0.124957
35661.000000 1.053799 0.124961
35664.000000 1.053442 0.125016
35667.000000 1.053678 0.124968
35670.000000 1.054183 0.124984
35673.000000 1.054953 0.124947
35676.000000 1.056210 0.125065
35679.000000 1.058204 0.125145
35682.000000 1.060753 0.125223
35685.000000 1.064369 0.125422
35688.000000 1.069329 0.125472
35691.000000 1.073867 0.125261
35694.000000 1.078116 0.124882
35697.000000 1.082022 0.124604
35700.000000 1.085445 0.124368
35703.000000 1.088227 0.123960
35706.000000 1.089775 0.123728
35709.000000 1.090114 0.123675
35712.000000 1.090376 0.123765
35715.000000 1.090306 0.124028
35718.000000 1.091110 0.124424
35721.000000 1.092851 0.124914
35724.000000 1.096143 0.125558
35727.000000 1.101711 0.126384
35730.000000 1.109096 0.127077
35733.000000 1.117625 0.127534
35736.000000 1.126948 0.127619
35739.000000 1.136255 0.127606
35742.000000 1.144888 0.127782
35745.000000 1.153275 0.127529
35748.000000 1.161328 0.126908
35751.000000 1.168375 0.126319
35754.000000 1.173914 0.125902
35757.000000 1.178580 0.125495
35760.000000 1.182329 0.125143
35763.000000 1.185039 0.124963
35766.000000 1.187248 0.124801
35769.000000 1.188851 0.124774
35772.000000 1.189783 0.124931
35775.000000 1.190312 0.125129
35778.000000 1.190199 0.125241
35781.000000 1.189289 0.125468
35784.000000 1.187931 0.125711
35787.000000 1.185840 0.125876
35790.000000 1.183054 0.126155
35793.000000 1.179824 0.126382
35796.000000 1.175968 0.126527
35799.000000 1.172221 0.126522
35802.000000 1.168849 0.126205
35805.000000 1.166210 0.125662
35808.000000 1.163723 0.125255
35811.000000 1.162520 0.124851
35814.000000 1.161855 0.124478
35817.000000 1.160994 0.124103
35820.000000 1.161251 0.123945
35823.000000 1.162785 0.123994
35826.000000 1.165096 0.124119
35829.000000 1.166658 0.124357
35832.000000 1.167199 0.124657
35835.000000 1.167615 0.124863
35838.000000 1.167433 0.125164
35841.000000 1.166118 0.125623
35844.000000 1.163390 0.126152
35847.000000 1.159874 0.126646
35850.000000 1.155501 0.127068
35853.000000 1.150243 0.127439
35856.000000 1.144644 0.127679
35859.000000 1.139096 0.127714
35862.000000 1.133232 0.127564
35865.000000 1.127662 0.127222
35868.000000 1.122710 0.126838
35871.000000 1.118058 0.126491
35874.000000 1.114068 0.126082
35877.000000 1.110148 0.125820
35880.000000 1.106238 0.125611
35883.000000 1.102415 0.125415
35886.000000 1.097879 0.125281
35889.000000 1.093199 0.125060
35892.000000 1.088910 0.124823
35895.000000 1.084528 0.124582
35898.000000 1.080223 0.124245
35901.000000 1.077247 0.123925
35904.000000 1.075136 0.123483
35907.000000 1.072903 0.123128
35910.000000 1.070963 0.122747
35913.000000 1.069648 0.122384
35916.000000 1.068643 0.122074
35919.000000 1.068886 0.122074
35922.000000 1.069074 0.122048
