depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
107.490000 52532.286093 52533.091979 52533.852367 52533.865488 52534.650887 52535.394083
107.500000 52532.765530 52533.612051 52534.475761 52534.460264 52535.288001 52536.200736
107.510000 52533.243154 52534.107069 52535.034394 52535.004469 52535.802833 52536.936563
107.540000 52534.543763 52535.477039 52536.448608 52536.530600 52537.424884 52539.454094
107.550000 52534.998156 52535.992427 52536.954845 52537.086974 52538.055012 52540.266573
107.560000 52535.516788 52536.505605 52537.447937 52537.632607 52538.722018 52541.303588
107.570000 52536.018736 52537.001671 52538.000148 52538.193263 52539.317094 52542.032041
107.580000 52536.541065 52537.508098 52538.540170 52538.775939 52539.975979 52542.656984
107.590000 52537.103429 52538.011410 52539.091220 52539.364843 52540.727390 52543.289318
107.600000 52537.548639 52538.566412 52539.645218 52539.944095 52541.339182 52543.920697
107.610000 52538.041174 52539.047462 52540.230790 52540.527674 52542.003068 52544.552381
107.620000 52538.534117 52539.530971 52540.779076 52541.118682 52542.845717 52545.114971
107.630000 52538.996980 52540.007851 52541.379962 52541.731653 52543.647968 52545.695170
107.640000 52539.459972 52540.538123 52541.990548 52542.321505 52544.228084 52546.534725
107.650000 52539.963643 52541.080129 52542.619299 52542.915887 52544.886835 52547.212183
107.660000 52540.526551 52541.670949 52543.255104 52543.517387 52545.466711 52547.864562
107.670000 52541.060967 52542.254317 52543.902583 52544.095339 52545.926134 52548.376062
107.690000 52542.002057 52543.395107 52544.895333 52545.173260 52547.051622 52549.505079
107.700000 52542.545315 52544.008373 52545.451289 52545.739279 52547.634457 52549.984929
107.710000 52543.120599 52544.552982 52546.024155 52546.297972 52548.168366 52550.831321
107.720000 52543.685595 52545.050878 52546.504947 52546.848201 52548.705914 52551.820358
107.730000 52544.236113 52545.537616 52547.054269 52547.412201 52549.226435 52553.009668
107.740000 52544.686784 52546.048191 52547.573564 52547.979928 52549.812157 52553.910769
107.750000 52545.176443 52546.542142 52548.065259 52548.549657 52550.411254 52555.147589
107.760000 52545.699853 52547.093438 52548.551073 52549.174601 52551.241838 52556.088567
107.770000 52546.275166 52547.627807 52549.053844 52549.841771 52552.314823 52558.298187
107.780000 52546.746676 52548.146332 52549.489476 52550.493421 52553.498586 52559.176478
107.790000 52547.305521 52548.626943 52549.989877 52551.145419 52554.653603 52559.928579
107.800000 52547.883055 52549.062179 52550.454701 52551.820126 52555.498420 52560.668341
107.810000 52548.381555 52549.553659 52551.084537 52552.538308 52556.532885 52561.530678
107.820000 52548.772508 52550.059592 52551.789622 52553.306124 52558.072260 52562.098315
107.830000 52549.325586 52550.740878 52552.588875 52554.104844 52558.897210 52563.085062
107.940000 52555.145360 52558.794026 52565.048029 52565.570384 52572.133694 52579.841807
108.050000 52564.000507 52570.073477 52577.599601 52577.352652 52583.930944 52590.138910
108.080000 52567.076474 52574.374393 52580.943387 52580.499600 52586.539543 52592.969590
108.110000 52570.295917 52577.844724 52583.482492 52583.490603 52589.894885 52594.986893
108.140000 52573.982132 52581.195089 52586.078971 52586.361886 52592.577894 52597.845663
108.170000 52578.103040 52584.002943 52588.634096 52589.287061 52595.139430 52599.906228
108.200000 52580.921893 52586.839460 52591.640447 52592.272566 52598.203011 52603.182095
108.230000 52584.728730 52589.725729 52594.541992 52595.056935 52601.641972 52605.156028
108.260000 52587.676559 52592.159235 52598.351979 52597.772896 52603.454123 52607.092814
108.290000 52590.758785 52594.649134 52601.500764 52600.559728 52605.764546 52608.784697
108.320000 52593.287098 52598.523290 52603.663110 52603.173447 52607.688952 52611.007873
108.350000 52595.481567 52601.957075 52605.953355 52605.599189 52609.351498 52612.900980
108.380000 52599.620829 52604.432050 52608.107660 52607.824495 52611.378285 52614.551390
108.410000 52602.390582 52606.335885 52610.050181 52609.980151 52613.770709 52617.368570
108.440000 52604.955766 52608.422690 52611.930437 52612.020153 52615.688090 52619.870451
108.470000 52607.017721 52610.494787 52614.038009 52614.057905 52617.526826 52623.081809
108.500000 52608.739354 52612.321202 52615.860127 52616.229019 52620.128750 52626.286161
108.530000 52610.965861 52614.369327 52617.682798 52618.588585 52623.809618 52628.690208
108.560000 52613.162004 52616.418223 52620.747244 52621.173944 52626.811536 52632.292168
108.590000 52614.876172 52618.514421 52623.364000 52623.729590 52629.448402 52634.059665
108.620000 52617.495325 52620.996138 52626.282424 52626.231638 52632.238663 52636.079479
108.650000 52619.478768 52623.803187 52628.249811 52628.726655 52634.434812 52638.204051
108.680000 52621.314640 52626.634605 52630.449005 52631.092785 52636.576461 52639.886871
108.710000 52623.218353 52628.873477 52632.862585 52633.400314 52638.815591 52642.311771
108.740000 52625.691597 52630.879683 52635.482894 52635.654575 52640.811778 52644.516927
108.770000 52628.802335 52632.857071 52638.083271 52637.909680 52642.871239 52646.993891
108.800000 52631.999741 52635.148913 52640.350162 52640.166320 52644.823621 52648.750907
108.830000 52633.969093 52637.082807 52642.668049 52642.411911 52646.921885 52650.816863
108.860000 52636.139209 52639.398463 52644.976791 52644.648046 52649.341428 52653.196853
108.890000 52637.975267 52642.034992 52647.132972 52646.919656 52651.610428 52656.375497
108.920000 52640.109081 52644.211400 52649.397376 52649.151748 52653.957706 52658.018054
108.950000 52642.047138 52646.334316 52651.757022 52651.376863 52656.165808 52660.476258
108.980000 52644.120624 52648.598571 52653.796248 52653.569942 52658.144459 52662.350437
109.010000 52646.108012 52650.994157 52655.812401 52655.737205 52660.041430 52664.239549
109.040000 52648.954362 52653.459256 52657.768754 52657.946316 52662.184771 52666.723424
109.070000 52651.074344 52655.861111 52660.014458 52660.149061 52664.484365 52669.348847
109.100000 52652.981495 52658.446083 52662.316682 52662.424623 52666.746735 52672.402276
109.130000 52655.397406 52660.687395 52664.385134 52664.683013 52669.099444 52674.515765
109.160000 52657.590690 52663.149256 52666.523514 52667.030562 52671.597608 52676.940651
109.190000 52660.297945 52665.357332 52669.141223 52669.480665 52674.235279 52678.740845
109.220000 52662.821871 52667.567287 52671.742666 52671.944725 52676.514886 52681.211022
109.250000 52666.070694 52670.023001 52674.422713 52674.507563 52679.091054 52684.083952
109.280000 52668.896081 52672.599939 52677.029362 52677.146911 52681.500204 52686.856096
109.310000 52671.625863 52675.234265 52679.700242 52679.778976 52684.026193 52689.213055
109.340000 52674.152318 52678.105300 52682.319358 52682.525399 52686.567552 52691.671707
109.370000 52677.129067 52681.103512 52685.310378 52685.497599 52690.153577 52694.587682
109.400000 52680.173993 52683.791237 52688.086814 52688.607632 52693.869371 52699.508384
109.460000 52686.179551 52690.941186 52695.855132 52696.081655 52702.611092 52708.888634
109.490000 52688.074187 52693.600141 52698.762290 52699.217122 52706.795235 52712.101493
109.520000 52690.922500 52696.167487 52701.358985 52702.713936 52710.632698 52716.381379
109.550000 52695.485986 52700.414626 52705.098817 52706.393002 52714.170564 52720.466298
109.580000 52698.308505 52703.652522 52709.355206 52710.361147 52717.362908 52723.985343
109.610000 52703.229595 52707.478378 52714.767234 52714.806577 52721.954548 52727.927536
109.640000 52706.565314 52711.580790 52719.486236 52719.189883 52726.585703 52731.916368
109.670000 52710.311552 52716.760117 52724.053022 52723.503762 52730.300738 52735.094176
109.700000 52714.342066 52721.231806 52728.453664 52727.624946 52733.672772 52736.716967
109.730000 52719.203172 52726.366456 52732.360712 52731.412823 52735.996877 52738.458263
109.760000 52723.739278 52730.728506 52735.630008 52734.500413 52737.835567 52739.677026
109.790000 52729.110108 52735.171970 52737.480618 52736.888938 52739.311225 52741.265699
109.820000 52732.985896 52737.504543 52738.904315 52738.751765 52741.057946 52742.808110
109.850000 52735.848496 52739.097141 52740.313351 52740.290774 52742.091301 52743.923696
109.880000 52737.975089 52740.726310 52741.572020 52741.753041 52743.293359 52745.746074
109.910000 52739.523618 52741.902414 52742.842003 52743.172649 52745.059447 52747.135038
109.940000 52741.265876 52743.260070 52743.922725 52744.627855 52746.581243 52749.336359
109.970000 52742.909438 52744.617664 52745.591860 52746.207350 52748.211151 52751.623330
110.000000 52744.051442 52746.010469 52747.065652 52747.756441 52750.057742 52753.392904
110.030000 52745.703702 52747.289667 52748.635377 52749.327961 52751.785104 52755.162244
110.060000 52747.154558 52748.725745 52750.222216 52750.916754 52753.647062 52757.089407
110.090000 52748.754232 52750.022298 52751.805732 52752.464309 52755.425747 52759.089442
110.120000 52749.920380 52751.410316 52753.309853 52754.049028 52757.005011 52761.602342
110.150000 52751.437845 52752.772568 52754.825169 52755.611216 52758.554903 52764.437102
110.180000 52752.824697 52754.248251 52756.282757 52757.193804 52760.385114 52766.213673
110.210000 52754.219366 52755.736473 52757.808173 52758.915908 52762.859185 52768.029621
110.240000 52755.822152 52757.366866 52759.654969 52761.016851 52766.177485 52771.008255
110.270000 52757.487265 52759.122609 52762.074759 52763.343965 52768.414496 52773.428940
110.300000 52759.172768 52761.036564 52765.252556 52765.722014 52770.524607 52775.382773
110.330000 52760.969582 52763.140456 52768.224145 52768.121322 52772.734076 52777.231634
110.360000 52762.827191 52765.664489 52770.818094 52770.649218 52775.272127 52779.178275
110.390000 52764.873108 52768.555784 52773.253700 52773.281516 52778.082355 52781.218320
110.420000 52766.981555 52771.526440 52775.702681 52775.697434 52780.228027 52783.140749
110.450000 52769.543887 52773.895906 52778.748146 52778.165340 52782.272575 52785.455884
110.480000 52772.345661 52776.287080 52781.034176 52780.543926 52784.238158 52787.594079
110.510000 52774.621084 52778.867024 52782.818283 52782.675715 52786.214541 52789.657683
110.540000 52777.491144 52781.431815 52784.971812 52784.816178 52788.378986 52791.582366
110.570000 52779.279225 52783.375976 52786.951924 52786.825945 52790.304982 52793.431041
110.600000 52781.424963 52785.572194 52788.960033 52788.871647 52792.140170 52795.347484
110.630000 52783.614497 52787.648669 52790.885776 52790.776054 52793.938034 52797.354356
110.660000 52785.505749 52789.543046 52792.638235 52792.611058 52795.593358 52799.819414
110.690000 52787.620976 52791.402029 52794.415546 52794.522441 52797.721285 52801.943583
110.720000 52789.664560 52793.183925 52796.138679 52796.405008 52799.767249 52803.856404
110.750000 52791.447588 52795.153884 52798.361310 52798.439054 52801.815708 52805.608857
110.780000 52793.739041 52797.378623 52800.339564 52800.516114 52803.864087 52807.923070
110.810000 52795.900685 52799.418280 52802.124706 52802.565091 52805.879472 52811.852042
110.840000 52798.216222 52801.179093 52803.884651 52804.701499 52808.321743 52816.397406
110.870000 52800.168556 52802.864458 52806.008247 52807.046605 52811.155865 52818.998835
110.900000 52802.040528 52804.578906 52808.574390 52809.669442 52816.174077 52821.074961
110.930000 52803.897405 52806.618455 52811.255435 52812.503664 52818.906235 52823.362178
110.960000 52805.507970 52808.869625 52815.226043 52815.240833 52821.744106 52825.032629
110.990000 52807.676278 52811.099866 52817.985769 52817.894387 52824.097038 52827.123835
111.020000 52809.604671 52813.724636 52820.925241 52820.430371 52826.706351 52829.082945
111.050000 52811.317804 52817.056994 52823.464358 52822.870562 52828.798024 52831.404184
111.080000 52813.436286 52819.919306 52826.025529 52825.311698 52830.752234 52833.957911
111.110000 52815.759493 52822.325691 52828.830713 52827.874316 52833.108336 52836.237061
111.140000 52819.260412 52825.152424 52831.424232 52830.657677 52835.458126 52839.023538
111.170000 52822.667264 52828.390740 52834.096275 52833.493667 52837.867013 52842.547987
111.200000 52826.112277 52831.951917 52836.802070 52836.623879 52840.923081 52847.836262
111.260000 52832.632766 52837.901929 52842.637252 52842.970828 52847.074623 52857.244560
111.290000 52835.909771 52840.921600 52845.797889 52846.479076 52851.689813 52862.887580
111.320000 52840.070735 52844.940579 52848.995021 52850.003912 52856.046708 52867.338576
111.350000 52843.642343 52848.903762 52852.125532 52853.719555 52860.366635 52870.959535
111.380000 52846.520376 52852.774774 52856.333626 52858.426624 52866.725240 52874.255099
111.410000 52850.394355 52856.292273 52862.568528 52863.525797 52872.152642 52877.245866
111.440000 52855.092129 52860.637346 52869.991028 52869.137804 52876.718009 52880.765146
111.470000 52859.415901 52867.441726 52875.919611 52874.334020 52880.365923 52883.959865
111.500000 52864.652360 52873.651675 52879.407998 52878.529743 52883.340777 52887.608007
111.530000 52872.586464 52878.145252 52882.344574 52882.057308 52886.172717 52890.334316
111.560000 52877.086691 52881.849550 52884.970038 52885.128400 52888.808188 52893.336001
111.590000 52880.537439 52884.841623 52887.820852 52888.090403 52891.948163 52896.522941
111.620000 52883.523267 52887.496916 52890.702329 52891.171091 52895.028705 52900.244556
111.650000 52886.737784 52890.233357 52893.726614 52894.464535 52898.519690 52904.250903
111.680000 52889.823719 52893.278538 52897.363432 52898.297858 52903.155880 52915.667953
111.710000 52892.893651 52896.559316 52900.968888 52903.270558 52910.827340 52923.135986
111.740000 52896.117233 52900.036516 52909.048412 52909.343621 52920.299529 52928.747860
111.770000 52899.330853 52904.109119 52917.556891 52916.684783 52926.912803 52932.079016
111.800000 52903.079069 52913.466223 52924.979537 52923.065806 52931.129480 52934.598020
111.830000 52909.779758 52922.007627 52929.727679 52928.100187 52934.195726 52937.765019
111.860000 52917.839749 52927.230197 52932.915426 52932.030011 52936.971770 52940.784031
111.890000 52924.178627 52930.943268 52935.980130 52935.348964 52939.716908 52943.424551
111.920000 52929.028478 52933.872991 52938.956698 52938.343194 52942.511379 52945.658904
111.950000 52932.867321 52936.810571 52941.793097 52941.150325 52945.111239 52947.808234
111.980000 52935.816602 52940.089528 52944.223588 52943.866455 52947.494998 52950.083856
112.010000 52938.302816 52942.855920 52946.784779 52946.430310 52949.868300 52952.169911
112.040000 52941.406695 52945.709427 52949.234972 52948.935631 52952.058586 52954.186700
112.070000 52944.322452 52948.764431 52951.630777 52951.332728 52953.958780 52956.521646
112.100000 52947.105594 52951.488364 52953.610409 52953.660619 52955.983890 52959.173055
112.130000 52951.248130 52953.798923 52956.116102 52956.338013 52958.865821 52962.903272
112.160000 52955.125337 52956.950367 52959.499641 52959.973098 52962.889537 52967.971957
112.190000 52957.980336 52959.907331 52962.953379 52963.580127 52967.212949 52972.946564
112.220000 52960.342822 52962.864161 52966.521525 52967.166337 52971.262725 52977.905857
112.250000 52962.737082 52965.981390 52970.599888 52971.071745 52975.859668 52982.915732
112.280000 52965.795058 52969.310830 52974.898788 52974.986475 52980.337926 52987.812845
112.310000 52968.807495 52973.479333 52979.813831 52979.342609 52985.381783 52990.897303
112.320000 52969.936748 52974.839996 52980.940161 52980.696034 52986.692221 52991.701219
112.340000 52972.841703 52978.132369 52983.345881 52983.703926 52989.879763 52993.682170
112.350000 52974.037441 52979.829529 52985.019797 52985.097294 52991.424449 52995.540267
112.370000 52977.151244 52982.989586 52987.876275 52988.226728 52994.151798 52997.970592
112.380000 52978.214886 52984.258810 52989.262141 52989.628265 52995.502289 52998.836984
112.400000 52983.494789 52986.571270 52993.895958 52992.681802 52998.121947 53000.577235
112.410000 52984.476545 52988.150164 52995.123814 52993.997002 52999.112304 53001.517186
112.430000 52986.865089 52992.112314 52997.908937 52996.908753 53001.078607 53003.453085
