depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
157.980000 57034.498092 57035.369028 57036.264165 57036.258431 57037.165396 57038.040544
158.010000 57036.437688 57037.599678 57038.844144 57039.555315 57041.093716 57047.612487
158.040000 57038.428749 57039.799800 57041.644572 57043.328938 57047.801126 57053.424383
158.070000 57040.412139 57042.232390 57045.268222 57047.152861 57052.684862 57058.973291
158.100000 57043.169686 57045.392380 57049.134915 57050.894129 57057.160775 57062.377735
158.120000 57044.974634 57047.451205 57052.870267 57053.346652 57060.013039 57066.342637
158.150000 57047.559756 57050.029127 57057.225741 57057.164939 57063.310112 57070.953993
158.180000 57049.705478 57053.885456 57060.996406 57061.126845 57067.793475 57074.418510
158.210000 57053.180732 57057.709066 57064.992595 57065.078739 57071.838159 57077.538718
158.240000 57055.936893 57061.830811 57069.248244 57068.779341 57075.425715 57080.060253
158.270000 57059.663308 57065.171903 57072.965085 57072.142768 57078.133140 57082.771327
158.300000 57062.775918 57069.937368 57076.167229 57075.525388 57081.130537 57085.130441
158.340000 57067.127837 57074.571594 57079.833411 57079.436846 57084.537711 57088.359777
158.370000 57071.369115 57077.432216 57082.627897 57082.244549 57086.865668 57091.256177
158.400000 57075.453776 57080.719438 57085.337878 57085.080974 57089.262459 57094.559673
158.430000 57079.140023 57083.674201 57087.981709 57087.914276 57091.818928 57097.468830
158.460000 57082.861297 57086.377739 57090.788139 57090.868327 57094.723108 57100.243285
158.490000 57085.783086 57089.739293 57093.768949 57093.946338 57098.286019 57103.351762
158.510000 57087.918091 57091.855257 57095.725370 57095.972892 57100.768813 57104.848809
158.570000 57092.022484 57097.060064 57101.272612 57101.592593 57106.826398 57109.728473
158.600000 57094.627598 57099.537152 57104.515030 57104.506310 57109.502811 57112.489705
158.630000 57097.588601 57102.309277 57108.496632 57107.647818 57112.539404 57116.784118
158.660000 57100.358975 57104.931091 57111.919725 57110.878182 57115.932466 57119.531804
158.700000 57104.945361 57109.087199 57116.110176 57114.884691 57119.788100 57122.983765
158.730000 57107.248632 57112.539212 57118.903233 57117.974768 57122.464739 57125.152498
158.760000 57110.448913 57116.912733 57121.709605 57120.937246 57124.854565 57127.179657
158.790000 57113.583631 57120.231822 57124.286164 57123.623063 57126.999757 57129.119491
158.820000 57118.718387 57123.380285 57126.602905 57126.221978 57129.035202 57131.428362
158.850000 57122.464585 57125.894974 57128.859689 57128.575338 57131.284398 57133.737975
158.880000 57124.729482 57128.134415 57131.037732 57130.807897 57133.214885 57135.873832
158.900000 57126.537183 57129.733780 57132.655085 57132.513572 57134.779850 57139.549934
158.930000 57128.837643 57132.227007 57135.098986 57135.448416 57138.499029 57144.777160
158.960000 57131.553309 57134.880654 57137.849891 57138.753121 57143.255933 57149.480887
158.990000 57134.179588 57137.776760 57141.578941 57142.264595 57147.141537 57154.056297
159.020000 57137.062317 57140.872644 57144.906602 57145.676350 57150.390276 57158.208363
159.050000 57139.914001 57144.094328 57148.269939 57148.969078 57155.001102 57161.318941
159.080000 57143.084727 57146.779337 57151.099386 57152.058577 57158.214209 57163.824438
159.090000 57144.106236 57147.841961 57152.127460 57153.098245 57159.442200 57164.772834
159.110000 57145.941501 57149.501475 57154.320789 57155.139472 57161.126534 57166.792412
159.140000 57148.784250 57152.441921 57157.783692 57158.296285 57164.286328 57169.011898
159.180000 57152.222253 57156.662764 57162.608353 57162.448435 57168.747045 57172.901854
159.210000 57154.806335 57159.792321 57165.920580 57165.629762 57171.888470 57175.304500
159.240000 57157.656863 57162.483089 57169.120338 57168.653171 57174.158559 57178.532854
159.270000 57160.489243 57165.730525 57171.950768 57171.670049 57176.934800 57181.981317
159.300000 57163.147121 57169.334233 57174.836366 57174.614906 57179.515368 57184.903834
159.330000 57166.121133 57172.701946 57177.841780 57177.544834 57182.090106 57187.799162
159.360000 57169.145389 57175.465374 57180.778432 57180.401770 57184.953690 57190.109867
159.390000 57172.419982 57178.674090 57183.547608 57183.408071 57188.212335 57192.973873
159.420000 57175.712182 57181.901258 57186.227297 57186.429809 57191.492870 57195.767617
159.450000 57178.971097 57185.057452 57189.213529 57189.491967 57194.919300 57199.580773
159.480000 57182.014325 57187.577474 57192.246576 57192.425607 57197.995245 57202.289103
159.510000 57184.869402 57190.203013 57195.251547 57195.437127 57201.096946 57204.935665
159.540000 57187.108572 57192.864328 57198.745168 57198.368404 57203.896647 57207.072589
159.570000 57190.263797 57195.431253 57202.185947 57201.294457 57206.377947 57209.107586
159.600000 57193.607143 57198.900264 57205.163764 57204.104626 57208.571219 57211.308173
159.630000 57196.815794 57202.523237 57208.038979 57206.944625 57210.872631 57213.325932
159.660000 57199.792825 57205.441143 57210.636539 57209.682428 57213.116137 57215.615341
159.690000 57202.695524 57208.916208 57212.937234 57212.261256 57215.303257 57218.356967
159.720000 57206.879002 57212.250298 57214.908632 57214.627023 57217.161703 57221.042379
159.750000 57211.155286 57214.930018 57217.005602 57216.992855 57219.092626 57222.819446
159.780000 57214.601514 57216.945523 57218.820129 57219.013106 57221.011334 57225.411248
159.810000 57216.717966 57218.734713 57220.666533 57220.998803 57223.220117 57227.635895
159.840000 57218.689374 57220.548537 57222.819484 57223.235767 57225.620392 57231.581654
