depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
1.033051 102.529053 104.513527 105.407875 105.434873 106.583613 108.164907
1.036525 102.803110 104.746007 105.645362 105.679451 106.837783 108.330272
1.040000 102.991475 105.010847 105.881159 105.927146 107.079778 108.531885
1.043185 103.221375 105.252463 106.111556 106.148694 107.299340 108.709490
1.046660 103.563708 105.488290 106.319580 106.395914 107.532204 108.974281
1.050134 103.759354 105.744685 106.561698 106.643674 107.756245 109.175088
1.053609 104.061602 105.968186 106.838986 106.890948 108.009740 109.333133
1.057084 104.445205 106.197156 107.081113 107.133347 108.244695 109.520672
1.060558 104.883481 106.444308 107.311864 107.392302 108.475433 109.706431
1.064323 105.219135 106.704325 107.598845 107.653555 108.728236 109.949666
1.070693 106.026700 107.112036 108.087616 108.100688 109.171247 110.265430
1.074168 106.281427 107.299916 108.314435 108.325489 109.401129 110.454037
1.077642 106.521167 107.502118 108.567895 108.556323 109.643045 110.681223
1.081117 106.833018 107.689021 108.797739 108.788006 109.889085 110.849028
1.084012 107.051480 107.881283 108.962314 108.972974 110.051778 111.018136
1.087487 107.309388 108.127043 109.189043 109.207328 110.336536 111.180595
1.091251 107.558449 108.369723 109.446613 109.451117 110.574314 111.394304
1.094147 107.720647 108.550434 109.641502 109.639824 110.745601 111.563769
1.098201 107.968072 108.820735 109.912444 109.906170 111.021327 111.915052
1.101675 108.192502 109.041631 110.152122 110.129146 111.234884 112.047954
1.105150 108.383265 109.267926 110.416998 110.368964 111.462981 112.273470
1.108335 108.610287 109.483051 110.628484 110.594451 111.660046 112.485875
1.111520 108.821105 109.743123 110.839465 110.803305 111.843989 112.640643
1.125708 109.637837 110.878682 111.912844 111.796389 112.676355 113.457551
1.132079 110.056193 111.334216 112.402683 112.258659 113.110942 113.891040
1.135553 110.256832 111.624827 112.655669 112.507345 113.357524 114.210024
1.139028 110.503562 111.882841 112.881526 112.763556 113.570648 114.471240
1.142213 110.741761 112.135232 113.124967 112.992093 113.837462 114.665160
1.145688 111.031025 112.402824 113.384215 113.258859 114.094908 114.917372
1.149452 111.321095 112.693579 113.652593 113.544609 114.382638 115.158165
1.152637 111.590035 112.929650 113.889240 113.789881 114.649613 115.426576
1.156112 111.823337 113.201723 114.157004 114.052620 114.914103 115.662904
1.162771 112.431706 113.803414 114.720072 114.667474 115.536260 116.449356
1.166246 112.806272 114.131827 115.034165 114.988250 115.862130 116.797863
1.169431 113.199974 114.448938 115.334611 115.289442 116.144704 117.040743
1.176381 114.300701 115.239899 116.113217 116.129387 117.013586 117.869940
1.178118 114.441256 115.413460 116.263844 116.280793 117.186536 118.050220
1.179855 114.569655 115.579402 116.409149 116.433928 117.324864 118.227422
1.181882 114.796749 115.741626 116.580772 116.621166 117.482026 118.474301
1.183330 114.879795 115.854794 116.708652 116.735400 117.609087 118.557063
1.186515 115.170832 116.280304 117.126356 117.121017 117.946793 119.385194
1.188252 115.281170 116.432433 117.290136 117.273638 118.104983 119.603698
1.189990 115.403447 116.582068 117.476301 117.427216 118.249555 119.803149
1.192885 115.634995 116.874974 117.757611 117.742848 118.586864 120.057457
1.193754 115.677499 116.941328 117.826679 117.812392 118.657586 120.129190
1.194912 115.754362 117.045021 117.929182 117.904380 118.756264 120.219305
1.195491 115.780103 117.070036 117.981084 117.947885 118.811546 120.248678
1.198387 116.045820 117.294618 118.238226 118.218145 119.106993 120.498913
1.199545 116.166951 117.368395 118.326724 118.314134 119.197745 120.625626
1.200703 116.217376 117.472934 118.414180 118.412148 119.304414 120.721993
1.202441 116.542177 117.639869 118.580218 118.588476 119.487397 120.815594
1.203888 116.686908 117.785866 118.713867 118.714288 119.615928 120.872084
1.205047 116.922446 117.868302 118.800950 118.817020 119.707185 120.970244
1.206494 117.036697 118.014402 118.906766 118.943949 119.821255 121.038541
1.207942 117.173844 118.158886 119.012222 119.072492 119.994200 121.202197
1.209390 117.294389 118.279695 119.103426 119.192261 120.161116 121.353316
1.210838 117.490047 118.382086 119.207282 119.305708 120.293915 121.437332
1.211996 117.551605 118.471237 119.273331 119.392538 120.398152 121.517614
1.213444 117.658935 118.561714 119.391983 119.505325 120.590535 121.617424
1.214602 117.704069 118.645044 119.483131 119.589307 120.653799 121.705900
1.216050 117.783632 118.729153 119.606083 119.697450 120.747794 121.785232
1.217787 117.914911 118.863200 119.725631 119.830250 120.896005 121.894692
1.219235 118.030435 118.982216 119.836257 119.943007 121.034455 122.035942
1.220393 118.114038 119.048999 119.938167 120.026701 121.102293 122.106725
1.221551 118.169626 119.144601 120.030965 120.111508 121.214646 122.194565
1.222999 118.239374 119.252752 120.151349 120.214122 121.321214 122.295871
1.224447 118.298052 119.382480 120.244533 120.322800 121.419066 122.379775
1.225605 118.355181 119.449405 120.361674 120.406294 121.524339 122.447522
1.227053 118.436535 119.546818 120.477329 120.513580 121.634351 122.535495
1.228501 118.520801 119.645601 120.590848 120.617685 121.741137 122.622765
1.229659 118.586715 119.719834 120.674936 120.699078 121.820098 122.666690
1.231396 118.673848 119.837390 120.810136 120.825749 121.933104 122.772478
1.232844 118.785085 119.930807 120.930971 120.928698 122.022945 122.840897
1.233713 118.832717 119.987199 120.990484 120.987668 122.067982 122.923334
1.236608 118.981878 120.177294 121.239789 121.193260 122.235055 123.075701
1.239504 119.166027 120.359260 121.456987 121.401046 122.424993 123.240022
1.242110 119.327789 120.533941 121.661293 121.580348 122.592474 123.314952
1.245005 119.498606 120.761952 121.877992 121.769583 122.764246 123.494056
1.247611 119.635767 120.913575 122.069457 121.939755 122.944144 123.620660
1.250507 119.883584 121.128606 122.269287 122.134315 123.163414 123.768383
1.253113 120.020413 121.306929 122.453123 122.300882 123.349724 123.934145
1.256008 120.174320 121.466970 122.637229 122.487504 123.548316 124.108807
1.258904 120.331275 121.626645 122.829112 122.669477 123.731994 124.277939
1.261220 120.495897 121.766568 122.987667 122.818314 123.875814 124.432813
1.264116 120.655134 121.973266 123.147195 122.994979 124.058437 124.604943
1.267011 120.849605 122.183081 123.348276 123.175325 124.216991 124.744399
1.272513 121.121168 122.515363 123.694106 123.504734 124.530333 124.998772
1.275408 121.312086 122.706474 123.883895 123.683211 124.693301 125.163187
1.278014 121.444570 122.881260 124.047242 123.842279 124.835895 125.299827
1.280620 121.604537 123.044523 124.199720 123.998923 124.979259 125.430013
1.283806 121.753494 123.249305 124.381835 124.196284 125.144281 125.620142
1.289018 122.017910 123.585408 124.678319 124.504064 125.424605 125.885808
1.291624 122.188849 123.730887 124.838713 124.663902 125.567406 126.005296
1.294809 122.372735 123.952901 125.032862 124.860830 125.754549 126.232974
1.297415 122.488168 124.151243 125.178381 125.023718 125.898958 126.377191
1.300021 122.618339 124.325907 125.355173 125.188541 126.040580 126.523669
1.302627 122.798694 124.488172 125.517652 125.358141 126.204639 126.709204
1.305812 123.034619 124.768261 125.725690 125.565482 126.392718 126.938277
1.308418 123.217307 124.947175 125.913105 125.745690 126.584832 127.119404
