depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
16.010000 301.449678 302.572355 303.814525 303.722585 304.803617 305.736919
16.020000 301.585088 302.755972 303.977027 303.891515 304.951575 305.906990
16.040000 301.931812 303.082317 304.330462 304.236497 305.295863 306.165708
16.070000 302.581922 303.659478 304.792729 304.764775 305.802918 306.673437
16.100000 303.230642 304.298398 305.280107 305.278334 306.276540 307.106432
16.110000 303.502284 304.514629 305.463459 305.453094 306.457808 307.217442
16.140000 303.978614 305.005542 305.929356 305.930105 306.899606 307.682621
16.170000 304.539600 305.531203 306.384973 306.406905 307.353130 308.126728
16.200000 304.992527 305.999726 306.850706 306.868525 307.801672 308.574307
16.210000 305.140631 306.157838 306.996204 307.028095 307.948160 308.721600
16.240000 305.701849 306.631430 307.474867 307.485221 308.417064 309.128018
16.270000 306.251435 307.108683 307.972868 307.944422 308.800517 309.544354
16.300000 306.809893 307.571864 308.447005 308.425543 309.249734 310.010122
16.310000 307.065644 307.739574 308.614611 308.585031 309.389171 310.155766
16.340000 307.537096 308.231658 309.077163 309.054540 309.857910 310.607291
16.370000 308.043898 308.720427 309.520003 309.535990 310.343007 311.121888
16.400000 308.530829 309.248090 310.031583 310.047262 310.853255 311.636172
16.410000 308.707956 309.397035 310.206376 310.213369 311.023543 311.843677
16.440000 309.136347 309.869969 310.636508 310.673050 311.498642 312.317194
16.470000 309.614861 310.352922 311.075226 311.136195 311.990122 312.791992
16.500000 310.021170 310.801726 311.532062 311.610567 312.506100 313.320808
16.510000 310.155212 310.962614 311.674763 311.764189 312.687589 313.530652
16.540000 310.653265 311.395268 312.112168 312.212454 313.161024 314.019884
16.570000 311.102193 311.819824 312.556277 312.679380 313.645365 314.471850
16.600000 311.545115 312.266008 313.031506 313.149962 314.166341 314.921628
16.610000 311.665990 312.448691 313.181079 313.314807 314.338345 315.093619
16.640000 312.102558 312.895768 313.679923 313.786967 314.779759 315.571159
16.670000 312.580689 313.390101 314.167741 314.274635 315.255961 316.142937
16.700000 313.012518 313.877200 314.717136 314.781754 315.760519 316.666926
16.740000 313.602880 314.483422 315.460836 315.475348 316.465496 317.390779
16.770000 314.050239 315.029017 316.045326 316.018187 316.992473 317.913821
16.800000 314.548213 315.572270 316.621514 316.591427 317.601553 318.548291
16.840000 315.316632 316.355171 317.460006 317.429803 318.454236 319.389113
16.870000 316.082461 317.036541 318.173015 318.125513 319.195441 320.138316
16.900000 316.672674 317.749014 318.888304 318.845460 319.915277 320.815777
16.920000 317.115077 318.247491 319.358916 319.310592 320.400052 321.295179
16.940000 317.490424 318.675476 319.828952 319.768084 320.864350 321.721007
16.970000 318.031280 319.459807 320.651419 320.571953 321.665872 322.573122
17.000000 318.643768 320.261580 321.446836 321.350268 322.407569 323.349510
17.020000 319.103651 320.741638 321.932227 321.839302 322.896587 323.767920
17.100000 322.707340 323.384745 324.145319 324.142477 324.845740 325.561522
17.120000 323.150642 323.824030 324.540089 324.540172 325.224054 325.929907
17.140000 323.544709 324.219669 324.906056 324.909659 325.553707 326.301803
17.170000 324.139043 324.727780 325.409748 325.414851 326.077834 326.694266
17.200000 324.717419 325.222028 325.870749 325.895092 326.549218 327.273331
17.210000 324.857506 325.408021 326.039919 326.050730 326.702953 327.437381
17.240000 325.303070 325.846149 326.472175 326.491097 327.132688 328.002466
17.270000 325.694919 326.258506 326.888688 326.911062 327.535757 328.413338
17.300000 326.076808 326.648894 327.315729 327.336968 327.985005 328.828279
17.310000 326.257197 326.776768 327.467398 327.487929 328.126666 328.957908
17.340000 326.653922 327.227284 327.885294 327.924503 328.571562 329.449047
17.370000 327.067251 327.649746 328.325582 328.355973 329.010503 329.879223
17.400000 327.483243 328.113066 328.776616 328.800515 329.470132 330.322146
17.410000 327.636674 328.268393 328.949136 328.958030 329.648240 330.452958
17.500000 328.964641 329.641751 330.320324 330.338834 331.048014 331.805422
17.530000 329.495667 330.202342 330.910641 330.893346 331.558939 332.286884
17.570000 330.418231 331.069873 331.725721 331.728491 332.394294 333.139895
17.600000 331.022301 331.720536 332.359376 332.369019 333.021503 333.753841
17.620000 331.446250 332.114903 332.783733 332.781181 333.448252 334.112606
17.640000 331.776877 332.538992 333.175058 333.189436 333.855790 334.476288
17.690000 332.857347 333.557841 334.195742 334.257857 334.980933 335.771015
17.700000 333.072722 333.726678 334.396396 334.465036 335.211540 336.039230
17.740000 334.001323 334.559256 335.347279 335.405635 336.223790 337.086530
17.770000 334.604223 335.203651 336.090203 336.087902 336.927686 337.857282
17.800000 335.214863 335.922438 336.780858 336.782866 337.630120 338.529461
17.810000 335.427595 336.098024 336.953179 336.979644 337.823008 338.748585
17.840000 336.003377 336.678061 337.559108 337.563513 338.411574 339.293992
17.870000 336.534461 337.264950 338.149010 338.136493 338.971179 339.761491
17.900000 336.961350 337.831905 338.685738 338.680118 339.518073 340.329236
17.910000 337.190171 338.032244 338.884383 338.873679 339.728277 340.586764
17.940000 337.889326 338.609411 339.425649 339.459448 340.285758 341.204475
17.970000 338.383998 339.196759 339.970890 340.038425 340.922173 341.917423
18.000000 338.907526 339.707466 340.477954 340.569289 341.550779 342.552510
18.020000 339.219914 340.034947 340.824141 340.948979 341.925797 343.033845
18.040000 339.564053 340.397687 341.229087 341.334259 342.363278 343.468789
18.070000 340.057813 340.905216 341.742532 341.887647 342.969145 344.129425
18.100000 340.506458 341.348204 342.308456 342.437782 343.593757 344.849593
18.110000 340.693483 341.519603 342.495837 342.617736 343.795281 345.029044
