depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
12.650000 295.423675 300.389445 303.768497 303.589082 306.785992 310.225117
12.740000 298.840650 302.873875 306.004052 305.999421 309.113408 313.095455
12.850000 302.112147 305.730508 308.623803 308.819662 312.219855 315.743836
12.930000 305.491426 308.373005 311.256181 311.423357 314.696777 317.545948
13.040000 309.386673 312.337188 315.413172 315.190249 318.086169 319.922281
13.140000 312.506122 315.682961 318.520867 318.147378 320.477893 321.898656
13.240000 316.497762 319.556681 321.539919 321.214892 322.922697 323.996447
13.340000 319.472599 322.179890 323.667034 323.508163 325.056196 326.041913
13.450000 322.963687 324.690694 325.988484 325.914845 327.203069 328.594819
13.540000 324.739504 326.341663 327.723948 327.621098 328.945622 330.206825
13.640000 327.083676 328.412226 329.639607 329.571592 330.717061 331.856569
13.740000 329.731456 330.987319 332.094708 332.075507 333.178302 334.441573
13.840000 332.746346 333.670552 334.873041 335.050738 336.522193 338.029506
13.940000 334.730947 335.780772 337.255685 337.353882 339.054140 340.349767
14.040000 336.404960 337.531409 339.176845 339.195761 340.792967 342.193296
14.170000 338.293058 339.798354 341.419571 341.379392 342.925605 344.153095
14.260000 339.718324 341.252246 342.947045 342.888207 344.505463 345.786721
14.350000 341.192899 342.696129 344.535863 344.468309 346.139183 347.697054
14.430000 342.476153 344.041740 345.909655 345.875474 347.645749 349.419345
14.550000 344.349257 345.931852 347.997155 348.024230 349.966664 352.124441
14.600000 345.202898 346.849514 349.048446 349.054844 351.030866 353.453273
14.700000 346.890987 348.841973 351.295400 351.198015 353.314677 355.551206
14.770000 348.197838 350.279132 352.940331 352.753203 354.993038 357.038043
14.800000 348.870678 351.019698 353.714537 353.526337 355.687169 357.641220
14.850000 350.189815 352.402735 354.939861 354.733465 356.895334 358.667717
14.900000 351.368370 353.608597 356.017530 355.899002 358.011140 359.776463
14.950000 352.512500 354.929005 357.096162 357.043004 359.071035 361.109431
15.000000 353.710935 356.173941 358.240747 358.164076 360.099374 362.050864
15.050000 354.861723 357.368332 359.303361 359.267608 361.178723 363.103599
15.100000 356.115588 358.555066 360.439547 360.435528 362.328088 364.284440
15.140000 357.241102 359.557246 361.450029 361.436802 363.306983 365.232080
15.200000 359.307881 361.065413 363.100796 363.096126 365.094536 367.296247
15.250000 360.747617 362.544492 364.631483 364.769353 367.042695 370.052197
15.300000 362.025158 363.810465 366.166049 366.372336 369.026558 371.718404
15.350000 363.302970 365.281614 367.909829 368.156234 371.241631 374.275929
15.400000 364.942818 367.114166 369.880052 370.137047 373.319810 376.365095
15.500000 368.706260 371.626601 375.025938 375.018680 378.294539 381.273657
15.550000 370.818768 374.096096 377.588689 377.474652 380.636623 383.740679
15.600000 373.013318 376.382722 379.647656 379.524742 382.611902 385.647234
15.670000 376.480641 379.560157 382.638847 382.621925 385.682532 388.639022
15.700000 377.918995 380.890341 383.904061 383.873656 386.903222 389.828442
15.750000 380.195661 383.435552 386.555085 386.413796 389.516988 392.132797
15.780000 381.322600 384.723376 387.990911 387.798241 390.789791 393.041243
15.850000 386.546633 389.445362 392.058903 391.806462 393.985762 395.791267
15.900000 389.437462 391.635550 393.983840 393.727844 395.741422 397.160301
15.930000 390.372058 392.734140 394.909761 394.651742 396.578751 397.913712
16.000000 392.851893 394.881405 396.610159 396.491532 398.148473 399.423416
16.080000 395.518324 396.995341 398.634181 398.567065 400.019055 401.512158
16.140000 397.071382 398.498472 400.038273 399.979164 401.406298 403.012218
16.240000 399.011531 400.613682 402.121282 402.205922 403.716327 405.883500
16.345000 401.035066 402.750313 404.392518 404.486404 406.290273 408.431426
16.450000 402.869962 404.866037 406.721272 406.775017 408.739260 410.844639
16.540000 405.037613 407.090726 409.068469 409.168107 411.246726 413.573085
16.640000 408.327254 410.256988 412.752807 412.881821 415.472403 418.500606
16.740000 412.484678 414.960165 417.752848 417.765473 420.527320 423.307004
16.840000 418.455982 420.959009 423.475677 423.240762 425.280754 426.813936
16.930000 423.539797 425.636667 427.275413 427.272369 428.843612 430.854685
17.030000 427.768431 429.689603 432.245759 433.004255 436.765162 441.122572
17.136667 431.117172 433.971441 438.049305 438.323498 442.976385 446.488939
17.243333 434.201848 439.324837 443.453373 443.142740 446.834866 450.235975
17.350000 440.185147 444.435458 447.639137 447.366020 450.502333 453.148469
17.450000 443.134560 446.865540 449.994722 449.804313 452.896923 455.272188
17.550000 445.868794 449.003086 452.009325 451.966055 454.823990 457.589016
17.650000 448.298320 451.216102 454.076378 454.047382 456.896817 459.540541
17.750000 450.232020 453.330881 456.128632 456.055632 458.739522 461.499596
17.850000 452.332819 455.336343 458.041693 458.030374 460.797818 463.418858
17.920000 454.099042 456.844814 459.495473 459.446597 462.164269 464.609764
18.050000 456.530906 459.421998 462.043095 461.971111 464.689502 466.861127
18.150000 458.544435 461.325602 463.958088 463.924895 466.635649 468.918160
18.225000 459.951574 462.971697 465.515035 465.457461 468.182983 470.428610
18.300000 461.708194 464.431717 466.992707 466.984625 469.682134 471.793599
18.410000 464.154771 466.614492 469.329159 469.233433 471.881215 473.762805
18.450000 464.942510 467.555513 470.266840 470.128789 472.748181 474.466006
18.550000 467.460140 469.950416 472.477091 472.351782 474.783792 476.622002
18.650000 469.869080 472.252778 474.780606 474.622684 476.918917 478.713260
18.750000 472.421436 474.722710 477.206105 476.989171 479.054620 480.736880
18.850000 475.520843 477.688879 479.646709 479.530314 481.382936 482.950120
18.950000 478.836579 480.528239 482.068052 482.078811 483.689181 485.278856
19.050000 481.060560 482.548446 484.081374 484.153932 485.765523 487.292765
19.150000 483.000084 484.487770 486.100628 486.148841 487.812475 489.864655
19.250000 484.649189 486.160757 487.927424 487.984432 489.712490 491.925546
19.375000 486.565374 488.071701 490.067641 490.095609 491.972743 494.118404
19.500000 488.081004 490.125427 492.187044 492.193912 494.332498 496.484194
19.575000 489.397859 491.495382 493.421552 493.509724 495.649515 497.716900
19.650000 490.619525 492.795975 494.769972 494.862537 497.044797 498.947847
19.730000 491.955086 494.175480 496.263528 496.278623 498.472305 500.370965
19.850000 494.191399 496.357977 498.585707 498.459375 500.643606 502.355933
19.900000 495.315550 497.428307 499.682225 499.531089 501.681404 503.213588
19.950000 496.455367 498.687008 500.876305 500.747280 502.825622 504.452429
20.050000 498.861609 500.997742 503.302786 503.254230 505.263006 507.604152
20.150000 501.605129 503.708086 505.579079 505.718759 507.570367 511.222335
20.250000 503.730276 506.033412 507.853873 508.192621 510.679292 514.048817
20.350000 506.083728 508.038312 510.416726 510.690887 513.404589 516.701703
20.450000 508.335706 510.369519 513.002606 513.139628 515.998539 518.556128
20.550000 510.288070 512.801213 515.640710 515.586922 518.319226 521.073503
20.650000 512.615475 515.320320 518.010790 517.896825 520.309635 523.130030
20.750000 514.977410 517.802142 520.210836 520.153455 522.467271 525.114331
20.840000 517.461311 519.952911 522.113135 522.130247 524.354372 526.942074
20.900000 518.863759 521.275105 523.378542 523.454284 525.765251 528.384315
21.030000 521.468390 523.900038 526.188959 526.287783 528.819516 531.750227
21.100000 522.973343 525.380063 527.911821 528.135291 531.037686 533.715930
21.220000 525.705234 528.329939 531.924732 532.273410 536.564103 540.326791
