depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
11.800000 302.761892 306.164808 308.914401 308.757284 311.480234 313.392424
11.870000 305.265421 307.957502 310.347635 310.335265 312.854662 314.743454
11.940000 307.730292 309.902733 312.107535 312.063743 314.323605 315.922206
12.030000 309.948042 311.958776 314.065517 314.035441 316.104406 317.792180
12.090000 311.276291 313.308614 315.410023 315.316298 317.313096 318.571977
12.200000 313.566864 315.484153 317.512057 317.329452 319.079453 320.367539
12.330000 316.068072 317.914201 319.812368 319.595075 321.158010 322.360084
12.380000 316.970833 318.797527 320.723078 320.468502 321.973425 323.035852
12.430000 317.953603 319.811827 321.603334 321.377799 322.767518 323.905367
12.510000 319.701748 321.456677 322.928412 322.800076 324.131983 325.349624
12.530000 320.323703 321.995539 323.404452 323.289280 324.538764 325.752291
12.620000 323.580797 324.602658 325.759458 325.743819 326.871966 327.959097
12.640000 324.043670 325.079916 326.247946 326.221176 327.315878 328.447444
12.710000 325.293977 326.426758 327.556327 327.549948 328.702279 329.702779
12.790000 326.540109 327.843102 329.075770 329.033836 330.245371 331.281702
12.810000 326.902763 328.230943 329.500907 329.450510 330.705013 331.738013
12.890000 328.422644 329.669280 330.836227 330.867674 332.094801 333.441437
12.970000 329.994608 331.155072 332.267185 332.309927 333.549877 334.908720
13.050000 331.855574 332.768801 333.927239 333.966338 335.107331 336.603487
13.180000 334.631349 335.802850 337.019810 337.365116 338.694114 342.903908
13.200000 335.078590 336.229583 337.474791 337.886479 339.289101 343.776192
13.270000 336.816312 337.917330 339.432086 339.938739 341.789471 346.397285
13.290000 337.214246 338.399033 339.929226 340.471391 342.405018 346.907873
13.330000 338.176456 339.449871 341.225212 341.667446 343.897443 347.915906
13.370000 339.094447 340.560234 342.499429 342.862678 345.313084 348.571711
13.390000 339.500121 341.101582 343.148973 343.459981 345.844337 349.295055
13.460000 341.064028 342.965571 345.440975 345.603966 348.086365 351.454338
13.540000 342.702480 345.297615 347.873853 348.020142 350.740600 353.942828
13.560000 343.089202 345.828761 348.539324 348.593177 351.450512 354.446882
13.670000 346.018869 348.665145 351.399817 351.413170 354.072225 356.830307
13.770000 347.951776 351.051556 353.998819 353.797414 356.405214 358.860696
13.850000 349.975761 353.143416 355.876737 355.652404 358.164249 360.470867
13.910000 351.335999 354.611579 357.184464 357.076745 359.573585 361.948911
13.960000 352.802527 355.864918 358.363583 358.321253 360.821569 363.564625
14.020000 354.451266 357.373095 360.040677 359.959631 362.437810 365.555541
14.080000 355.951317 359.226203 361.852573 361.891987 364.523003 368.453754
14.180000 360.546836 363.379938 366.309895 366.565375 369.915340 374.108603
14.320000 364.770154 367.939805 371.409026 371.483147 374.901902 378.604704
14.460000 368.242598 371.908765 375.242531 375.209389 378.803075 381.989555
14.590000 372.938435 376.192283 379.510947 379.464731 382.738891 385.849724
14.690000 375.867072 379.184744 382.306353 382.350078 385.517945 388.518954
14.770000 378.171175 381.640844 384.721503 384.605676 387.698117 390.302678
14.860000 380.966585 384.124131 387.231745 387.136113 390.254697 392.266259
14.950000 383.707281 386.583165 389.766457 389.528766 392.375184 393.903254
15.060000 387.128205 390.086646 392.864624 392.498879 394.823647 396.118985
15.180000 390.358960 393.354661 395.706781 395.306889 397.139281 398.342334
15.255000 392.486664 395.349464 397.248672 396.909243 398.511410 399.432432
15.330000 394.828163 397.288508 398.711065 398.486548 399.747648 400.710816
15.420000 397.947390 399.354702 400.426004 400.332999 401.335790 402.408982
15.470000 399.245163 400.375443 401.338541 401.336132 402.277941 403.461076
15.520000 400.357011 401.284647 402.205228 402.253400 403.165355 404.425457
15.600000 401.608687 402.566906 403.461888 403.530363 404.537181 405.809346
15.630000 402.096442 403.039445 403.962369 404.041332 405.063486 406.297120
15.740000 403.428168 404.618742 405.659933 405.682939 406.777339 407.960522
15.850000 405.102357 406.110141 407.275083 407.313120 408.500745 409.920723
15.950000 406.583142 407.635941 408.858184 408.944465 410.226502 412.006504
16.028000 407.905056 408.990892 410.392412 410.527545 411.952671 414.251489
16.060000 408.578237 409.658813 411.148230 411.333989 412.895736 415.130311
16.170000 410.814973 412.561818 414.612021 414.998846 417.520763 421.371862
16.270000 413.937879 416.818634 420.380300 420.250557 423.453809 426.019112
16.410000 420.545377 423.808118 426.423941 426.244849 428.567763 431.093917
16.510000 425.243315 427.667098 429.963306 430.070787 432.510956 435.608019
16.610000 428.223760 430.622662 433.101042 433.084311 435.537286 438.090945
16.710000 430.566891 433.178640 435.651022 435.653176 438.082290 440.574563
16.820000 433.189110 435.791072 438.197749 438.201819 440.679775 443.071457
16.920000 436.041179 438.383679 440.867112 440.893299 443.433326 445.866510
17.020000 438.773899 441.307647 443.931049 443.939021 446.546252 449.329888
17.110000 440.852219 443.188391 446.067088 446.087914 448.843857 451.718211
