depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
5.330000 290.587787 294.628021 298.458734 298.043251 301.127596 303.453935
5.380000 292.573336 296.832096 300.498074 300.022879 302.893721 305.716761
5.440000 294.960284 299.474719 302.689276 302.457268 305.174279 308.875629
5.500000 298.410421 302.021471 304.980555 305.132227 307.935272 313.348692
5.550000 301.467662 304.712476 307.643098 308.400326 312.350414 318.553767
5.625000 305.824232 310.060951 318.109464 318.643357 327.598334 332.539070
5.700000 309.828241 315.811368 333.800765 328.897490 336.666836 339.302781
5.800000 333.024276 337.335045 341.632938 341.137725 345.400721 348.022712
5.910000 337.483431 343.990406 348.154587 347.243665 350.327055 352.614520
6.010000 341.240680 348.603677 351.184614 350.734404 353.375956 356.002329
6.110000 346.333940 351.536752 353.861559 353.651726 356.130819 358.700913
6.185000 348.910830 353.771916 355.929678 355.758402 357.976468 360.624072
6.260000 351.516756 356.072201 358.003566 357.922701 360.101669 362.959825
6.270000 351.786259 356.332770 358.319335 358.237246 360.407279 363.168626
6.410000 356.715047 359.777300 361.742226 361.707455 363.801075 366.435270
6.510000 359.529803 362.286112 364.298410 364.393286 366.563864 369.108233
6.610000 362.643512 364.944095 367.049339 367.122071 369.389699 372.193152
6.710000 365.638704 367.554623 369.713297 369.847616 372.098008 374.960564
6.770000 367.325834 369.163979 371.403834 371.493985 373.822066 376.242581
6.890000 370.092921 372.169233 374.633173 374.686667 377.045925 379.779284
7.010000 373.200696 375.428140 377.850868 377.902979 380.384924 382.727410
7.110000 375.817099 378.185907 380.628349 380.667390 383.150141 385.640160
7.195000 378.023888 380.459675 382.900854 383.044346 385.721194 388.649231
7.280000 380.430552 382.860328 385.457517 385.536203 388.223254 391.317477
7.365000 382.957582 385.729371 388.538598 388.641810 391.731610 394.882581
7.450000 385.712899 388.823898 392.262394 392.259539 395.799883 398.736687
7.530000 389.931907 394.051251 398.137914 397.994022 401.795344 405.249242
7.610000 397.568711 401.402606 404.059807 404.035991 406.883316 409.578936
7.750000 404.404722 408.846995 411.163770 411.000433 413.560538 415.725345
7.760000 404.661531 409.279983 411.640725 411.447454 414.023424 416.052142
7.860000 410.746647 413.008723 415.273375 415.207029 417.380337 419.429603
7.970000 414.739085 416.613415 418.933176 418.919544 421.207221 423.193155
8.070000 417.865352 419.926645 422.098644 422.070599 424.253871 426.419448
8.210000 422.174955 424.485011 426.516207 426.560376 428.518101 430.502884
8.315000 425.098565 427.436764 430.053888 430.376379 433.094075 437.861738
8.420000 428.204200 430.402704 433.713329 434.265218 438.090297 442.954626
8.525000 431.209276 433.740032 437.496314 438.037767 442.461269 447.715240
8.630000 434.339663 437.324690 441.382171 441.866166 446.099356 453.660104
8.735000 437.826258 440.918850 445.660906 446.237732 451.182363 458.156311
8.840000 441.377461 445.048501 450.313166 450.928883 456.784809 463.767852
8.945000 445.234457 448.885249 455.291026 455.902146 462.915242 469.820573
9.050000 448.829509 454.027919 461.157810 461.345466 469.120449 474.053336
