depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
6.030000 323.949295 327.840173 329.980049 329.540877 331.342322 332.754821
6.080000 329.372228 331.382773 332.591138 332.525870 333.773957 335.054243
6.130000 332.834044 333.919631 335.121379 335.339695 336.565067 339.766140
6.180000 334.758736 335.870243 337.183103 337.461841 338.782356 343.100536
6.230000 336.938182 338.114267 339.429489 339.838733 341.313480 346.494283
6.280000 339.256447 340.594855 342.281625 342.713419 344.745807 349.403647
6.330000 341.292100 343.018779 345.190254 345.668020 348.196480 352.220607
6.380000 343.413527 345.681936 348.079216 348.482921 351.618343 355.092386
6.430000 345.906629 348.012960 350.925030 351.113763 354.303841 357.346227
6.480000 348.175418 350.591960 353.625635 353.685356 356.734484 359.355961
6.530000 350.535552 353.344208 356.350110 356.280903 359.193585 361.363794
6.580000 353.148260 356.308329 359.163958 359.021567 361.744381 364.434145
6.630000 356.213961 359.077260 361.903013 361.941881 364.719325 368.214106
6.680000 359.349750 362.207681 365.074748 365.183040 368.217153 372.028158
6.730000 362.717354 365.485660 368.521882 368.770807 372.302002 376.269459
6.780000 366.324091 369.053085 372.558822 372.829064 376.554822 380.934056
6.830000 369.689590 372.818497 376.770091 376.877152 380.767198 384.051931
6.880000 373.117493 376.835537 380.808505 380.664525 384.302056 387.622580
6.930000 376.744560 380.375029 384.516272 384.253332 387.843950 391.505280
6.980000 380.855031 384.629204 388.836270 388.381683 391.843572 394.623213
7.030000 386.253429 390.250117 393.413395 393.043222 395.801705 397.824096
7.080000 392.325611 395.148379 397.406497 397.253838 399.439087 401.431975
7.130000 396.626754 398.835978 400.568300 400.568467 402.288075 404.712988
7.180000 400.467719 402.183403 403.776392 403.919898 405.727929 408.019485
7.230000 403.254444 404.973337 406.986620 407.163556 409.309149 412.147270
7.280000 406.346552 408.293189 410.901896 411.339557 414.380018 419.476960
7.330000 412.212849 416.260682 420.499523 420.170325 424.079956 426.400881
7.380000 419.162934 423.055851 425.836087 425.511512 427.942277 429.787786
7.430000 425.855211 428.036544 429.864032 429.834005 431.701477 433.483177
7.480000 428.825811 430.803039 432.476312 432.475516 434.247593 435.978532
7.530000 430.980310 432.885144 434.592052 434.620118 436.368964 438.180961
7.580000 433.010478 434.887490 436.665869 436.669493 438.391974 440.230926
7.630000 435.000140 436.899764 438.653063 438.730998 440.535556 442.434587
7.680000 437.279756 439.000679 440.769878 440.869442 442.737595 445.049788
7.730000 439.456154 441.098689 442.772091 442.920423 444.674018 447.548461
7.780000 441.702933 442.977009 444.957801 445.106004 447.090773 449.842637
7.830000 443.626382 445.194877 447.076666 447.369336 449.507646 452.958176
7.880000 445.796460 447.331338 449.426238 449.776521 452.334572 455.710087
7.930000 447.807130 449.399810 451.859162 452.181941 454.939540 458.348413
7.980000 449.465025 451.453645 454.163857 454.468706 457.499387 460.660852
8.030000 451.334060 453.418351 456.327962 456.588501 459.628852 462.675074
8.080000 453.261555 455.556647 458.502033 458.697246 461.950677 464.703972
8.130000 455.319435 457.596487 460.584314 460.737391 463.948433 466.971334
8.180000 457.113094 459.864129 462.824603 462.875581 466.020816 468.808961
8.230000 459.312476 461.907667 464.945698 464.976927 468.056138 470.607128
8.280000 461.073017 464.155109 467.198882 467.165094 470.236172 472.671607
8.330000 463.200983 466.445944 469.546817 469.402638 472.365686 474.734591
8.380000 465.750715 468.947453 471.915052 471.737233 474.668213 476.727222
8.430000 468.097645 471.578559 474.456556 474.215047 476.962322 478.780726
8.480000 471.781899 474.819902 477.403488 477.267606 479.817914 481.644884
8.530000 476.067391 478.497210 480.879772 480.773219 482.885101 484.740072
8.580000 480.090935 482.308068 484.287161 484.233820 486.198366 488.212558
8.630000 483.298847 485.302008 487.182598 487.299696 489.375340 491.335684
8.680000 485.841680 487.780133 489.662444 489.806846 491.876601 494.062245
8.730000 488.262095 490.169893 492.101825 492.261882 494.485885 497.459165
8.780000 490.460351 492.440881 494.626447 494.916794 497.513925 500.684928
8.830000 493.182560 495.191891 498.216579 498.366895 501.613665 504.356289
8.930000 499.762616 504.186363 507.016836 507.435502 510.740134 516.055099
8.980000 503.417585 507.357076 510.513091 510.957051 514.986646 519.806427
