depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
9.120000 307.200864 309.922601 313.179375 312.971946 315.853821 317.911106
9.170000 309.174850 311.560447 314.531808 314.279728 316.929202 318.655381
9.220000 310.859557 313.301809 315.998634 315.782929 318.141866 319.664135
9.270000 312.958827 315.087236 317.462907 317.319448 319.413073 320.723644
9.320000 314.465574 316.836818 318.934691 318.717508 320.553753 321.801252
9.370000 316.498582 318.699705 320.522362 320.325745 321.992438 323.120435
9.420000 318.332567 320.333613 321.914221 321.796288 323.227329 324.705677
9.470000 320.275603 322.199519 323.503425 323.494951 324.862248 326.165965
9.520000 322.310805 323.754816 324.920887 324.981645 326.325892 327.591496
9.570000 323.604819 324.914474 326.238586 326.214320 327.555084 328.762666
9.620000 324.394885 325.960126 327.306835 327.273490 328.632207 329.752672
9.695000 326.041142 327.361784 328.832970 328.750847 330.110177 331.130185
9.770000 327.345684 328.936063 330.317692 330.177971 331.393616 332.208651
9.845000 328.895389 330.566055 331.629298 331.555207 332.595595 333.408704
9.920000 330.818792 331.937588 332.866878 332.827656 333.742754 334.599270
10.060000 332.943663 333.740725 334.646832 334.598243 335.397520 336.120861
10.100000 333.567772 334.422227 335.243333 335.204860 335.969748 336.687182
10.110000 333.746703 334.589834 335.403353 335.370039 336.124190 336.850669
10.140000 334.199678 335.072881 335.893826 335.850419 336.611745 337.320851
10.150000 334.405768 335.232057 336.055111 336.011797 336.743537 337.499792
10.200000 335.119047 335.907786 336.739080 336.692654 337.463430 338.148872
10.210000 335.239798 336.056014 336.895099 336.846351 337.631559 338.323517
10.250000 335.790258 336.596801 337.457793 337.420668 338.172871 338.914043
10.260000 335.952434 336.762261 337.635246 337.585296 338.342783 339.082434
10.290000 336.463500 337.286452 338.115036 338.075737 338.830513 339.614649
10.340000 337.317518 338.089223 338.871629 338.885949 339.639933 340.700777
10.360000 337.653335 338.420557 339.220272 339.244373 340.035883 341.128434
10.390000 338.111439 338.983388 339.785715 339.857704 340.735925 342.064642
10.410000 338.444284 339.342812 340.152433 340.252735 341.198895 342.459595
10.460000 339.239475 340.063702 341.009166 341.115350 342.190528 343.601810
10.500000 339.748853 340.659904 341.715990 341.819138 343.028350 344.305674
10.560000 340.623870 341.537585 342.765532 342.886983 344.326228 345.684584
10.590000 341.060649 342.084414 343.365427 343.459582 344.949915 346.172111
10.610000 341.400802 342.450469 343.785286 343.866262 345.402462 346.655689
10.710000 342.750819 343.941812 345.677051 345.772804 347.579439 349.496987
10.740000 343.204024 344.486307 346.339192 346.418913 348.359952 350.210624
10.760000 343.620462 344.872809 346.782467 346.852677 348.877904 350.698259
