depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
9.010000 305.613492 310.157641 314.940544 314.273271 318.118642 320.084244
9.110000 310.601885 314.248359 317.858918 317.312953 320.351949 321.966723
9.210000 313.710629 317.202992 319.997381 319.610183 321.953675 323.460760
9.310000 316.204731 319.443525 321.724980 321.421636 323.426398 324.853860
9.410000 317.957309 321.136518 323.171039 322.947905 324.810849 326.103579
9.510000 319.849513 322.595412 324.482631 324.321201 326.249102 327.540899
9.610000 321.294918 323.728497 325.852449 325.667955 327.616515 328.838351
9.710000 322.967815 325.188629 327.303705 327.048108 328.897180 330.102683
9.810000 324.844884 326.901945 328.707909 328.512041 330.113713 331.172842
9.910000 326.587862 328.701498 330.184882 330.007309 331.375828 332.309386
9.960000 327.891211 329.601438 330.898877 330.787143 332.038119 332.858982
10.010000 329.207968 330.603728 331.804865 331.721067 332.775368 333.648623
10.060000 331.064687 331.957367 332.870536 332.865753 333.767442 334.675302
10.110000 332.013001 332.796954 333.672594 333.682105 334.535285 335.379732
10.150000 332.644163 333.381433 334.232545 334.275320 335.158995 336.065741
10.210000 333.419981 334.210501 335.127942 335.164233 336.091220 337.180569
10.250000 334.085636 334.901574 335.825873 335.878315 336.830107 338.022749
10.310000 335.065947 335.971479 337.067004 337.114846 338.237053 339.638515
10.410000 336.763795 337.756976 339.195041 339.450419 341.224415 343.257683
10.510000 338.176436 339.309945 341.134072 341.387949 343.671019 345.495275
10.560000 338.949320 340.067616 342.137329 342.314062 344.690713 346.694615
10.610000 339.499189 340.938861 343.114528 343.233452 345.652098 347.532470
10.660000 340.131870 341.753756 344.020531 344.114924 346.498111 348.454924
10.710000 340.916726 342.513810 344.818027 344.976020 347.341057 349.305038
10.760000 341.833724 343.364669 345.682448 345.766027 348.086541 350.044322
10.810000 342.778682 344.268212 346.505352 346.597988 348.836641 350.910354
10.910000 344.343067 346.119305 348.299773 348.395632 350.677964 353.199363
10.960000 345.311065 347.065351 349.304019 349.430834 351.730151 354.613754
11.010000 346.088561 347.988000 350.278496 350.426644 352.732447 355.907992
11.060000 347.296331 348.963736 351.249116 351.524969 353.975649 357.494770
11.110000 348.260219 350.051750 352.223723 352.561692 355.069389 359.175459
